,Place,Year,median_age,n_pop_under_14,n_pop_under_18,n_pop_18-65,n_pop_65-85,n_pop_over_85,n_families,median_family_income,n_households,n_houses,n_occupied_houses,house_vacancy_rate,n_people_below_poverty,n_households_below_poverty,n_people_under_18_below_poverty,n_people_18-64_below_poverty,n_people_65_plus_below_poverty,n_population_native,n_population_non_native,n_population_white,n_population_black,n_population_asian,n_population_male,n_population_female,n_total_population(ACS),p_pop_under_14,p_pop_under_18,p_pop_18_65,p_pop_65_85,p_pop_over_85,p_families,p_households,p_occupied_houses,p_people_below_poverty,p_households_below_poverty,p_people_under_18_below_poverty,p_people_18_64_below_poverty,p_people_65_plus_below_poverty,p_population_native,p_population_non_native,p_population_white,p_population_black,p_population_asian,ratio_male_over_female
1222,Marshall,2012,21.6,118,150,201,14,0,,,91,104,91,12.5,58.0,14.0,30.0,28.0,0.0,360,5,0,0,0,190,175,365,32.32876712328767,41.0958904109589,55.06849315068493,3.8356164383561646,0.0,,87.5,87.5,15.890410958904111,15.384615384615385,8.21917808219178,7.671232876712329,0.0,98.63013698630137,1.36986301369863,0.0,0.0,0.0,1.0857142857142856
1223,McCarthy,2012,62.1,15,24,58,15,0,,,35,77,35,54.54545454545454,0.0,0.0,0.0,0.0,0.0,0,97,97,0,0,54,43,97,15.463917525773196,24.742268041237114,59.79381443298969,15.463917525773196,0.0,,45.45454545454545,45.45454545454545,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,1.255813953488372
1224,McGrath,2012,33.7,93,102,234,33,0,,,144,194,144,25.773195876288657,50.0,10.0,20.0,29.0,1.0,164,205,127,1,6,187,182,369,25.203252032520325,27.64227642276423,63.41463414634146,8.94308943089431,0.0,,74.22680412371135,74.22680412371135,13.550135501355012,6.944444444444445,5.420054200542006,7.8590785907859075,0.27100271002710025,44.44444444444444,55.55555555555556,34.417344173441734,0.27100271002710025,1.6260162601626018,1.0274725274725274
1225,Denali Park,2012,34.7,27,27,332,0,0,,,115,289,115,60.207612456747405,79.0,0.0,0.0,79.0,0.0,18,341,330,8,0,139,220,359,7.520891364902507,7.520891364902507,92.47910863509749,0.0,0.0,,39.792387543252595,39.792387543252595,22.00557103064067,0.0,0.0,22.00557103064067,0.0,5.013927576601671,94.98607242339833,91.92200557103064,2.2284122562674096,0.0,0.6318181818181818
1226,Meadow Lakes,2012,37.5,1338,1738,4113,527,27,,,2453,3026,2453,18.9358889623265,705.0,171.0,318.0,359.0,28.0,234,6171,5740,4,53,3283,3122,6405,20.88992974238876,27.13505074160812,64.21545667447307,8.227946916471506,0.4215456674473068,,81.0641110376735,81.0641110376735,11.00702576112412,6.971055849979617,4.964871194379391,5.6049960967993755,0.4371584699453552,3.6533957845433256,96.34660421545668,89.61748633879782,0.0624512099921936,0.8274785323965652,1.0515695067264574
1227,Mekoryuk,2012,47.2,28,34,114,25,0,,,89,116,89,23.275862068965516,41.0,4.0,10.0,31.0,0.0,173,0,0,0,0,116,57,173,16.184971098265898,19.653179190751445,65.89595375722543,14.450867052023122,0.0,,76.72413793103449,76.72413793103449,23.699421965317917,4.49438202247191,5.780346820809249,17.91907514450867,0.0,100.0,0.0,0.0,0.0,0.0,2.0350877192982457
1228,Mendeltna,2012,26.2,0,0,19,0,0,,,7,14,7,50.0,0.0,0.0,0.0,0.0,0.0,0,19,19,0,0,7,12,19,0.0,0.0,100.0,0.0,0.0,,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.5833333333333334
1229,Mentasta Lake,2012,27.8,32,36,113,4,5,,,54,120,54,55.00000000000001,76.0,19.0,30.0,46.0,0.0,131,27,11,0,0,79,79,158,20.253164556962027,22.78481012658228,71.51898734177216,2.5316455696202533,3.1645569620253164,,45.0,45.0,48.10126582278481,35.18518518518518,18.9873417721519,29.11392405063291,0.0,82.91139240506328,17.088607594936708,6.962025316455696,0.0,0.0,1.0
1230,Mertarvik,2012,,0,0,0,0,0,,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
1231,Metlakatla,2012,31.4,415,463,959,133,3,,,527,582,527,9.450171821305842,183.0,40.0,79.0,104.0,0.0,1283,275,118,9,2,837,721,1558,26.63671373555841,29.717586649550704,61.55327342747111,8.536585365853659,0.19255455712451863,,90.54982817869416,90.54982817869416,11.745827984595635,7.590132827324478,5.070603337612323,6.675224646983311,0.0,82.34916559691912,17.65083440308087,7.573812580231065,0.5776636713735559,0.12836970474967907,1.160887656033287
1232,Minto,2012,27.8,60,68,148,23,0,,,69,115,69,40.0,48.0,4.0,14.0,27.0,7.0,218,21,5,0,0,131,108,239,25.10460251046025,28.451882845188287,61.92468619246861,9.623430962343097,0.0,,60.0,60.0,20.0836820083682,5.797101449275362,5.857740585774058,11.297071129707113,2.928870292887029,91.21338912133892,8.786610878661087,2.092050209205021,0.0,0.0,1.212962962962963
1233,Moose Creek,2012,24.0,72,135,494,34,0,,,266,266,266,0.0,79.0,0.0,0.0,79.0,0.0,41,622,622,0,0,367,296,663,10.85972850678733,20.361990950226243,74.50980392156863,5.128205128205128,0.0,,100.0,100.0,11.91553544494721,0.0,0.0,11.91553544494721,0.0,6.184012066365008,93.81598793363499,93.81598793363499,0.0,0.0,1.239864864864865
1234,Moose Pass,2012,43.4,64,70,223,55,0,,,134,211,134,36.492890995260666,0.0,0.0,0.0,0.0,0.0,0,348,348,0,0,224,124,348,18.39080459770115,20.114942528735632,64.08045977011494,15.804597701149426,0.0,,63.507109004739334,63.507109004739334,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,1.8064516129032258
1235,Mosquito Lake,2012,52.5,0,0,81,10,0,,,65,128,65,49.21875,9.0,0.0,0.0,9.0,0.0,0,91,82,0,0,64,27,91,0.0,0.0,89.01098901098901,10.989010989010989,0.0,,50.78125,50.78125,9.89010989010989,0.0,0.0,9.89010989010989,0.0,0.0,100.0,90.10989010989012,0.0,0.0,2.3703703703703702
1236,Mountain Village,2012,21.4,277,337,378,47,6,,,170,203,170,16.25615763546798,147.0,29.0,86.0,59.0,2.0,725,43,22,0,7,383,385,768,36.06770833333333,43.88020833333333,49.21875,6.119791666666666,0.78125,,83.74384236453201,83.74384236453201,19.140625,17.058823529411764,11.197916666666668,7.682291666666667,0.26041666666666663,94.40104166666666,5.598958333333334,2.864583333333333,0.0,0.9114583333333334,0.9948051948051948
1237,Mud Bay,2012,48.1,0,0,107,0,0,,,61,133,61,54.13533834586466,9.0,0.0,0.0,9.0,0.0,0,107,102,0,0,61,46,107,0.0,0.0,100.0,0.0,0.0,,45.86466165413533,45.86466165413533,8.411214953271028,0.0,0.0,8.411214953271028,0.0,0.0,100.0,95.32710280373831,0.0,0.0,1.326086956521739
1238,Nabesna,2012,,0,0,0,0,0,,,0,28,0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,,,,,,,,,,,
1239,Naknek,2012,40.4,148,182,352,41,3,,,223,440,223,49.31818181818181,25.0,1.0,7.0,18.0,0.0,166,412,328,2,3,281,297,578,25.60553633217993,31.4878892733564,60.89965397923876,7.093425605536333,0.5190311418685121,,50.68181818181819,50.68181818181819,4.325259515570934,0.4484304932735426,1.2110726643598615,3.1141868512110724,0.0,28.719723183391004,71.280276816609,56.747404844290664,0.34602076124567477,0.5190311418685121,0.9461279461279462
1240,Nanwalek,2012,27.1,67,77,121,11,0,,,56,76,56,26.31578947368421,69.0,18.0,30.0,39.0,0.0,201,8,5,0,0,104,105,209,32.057416267942585,36.84210526315789,57.89473684210527,5.263157894736842,0.0,,73.68421052631578,73.68421052631578,33.014354066985646,32.142857142857146,14.354066985645932,18.660287081339714,0.0,96.17224880382776,3.827751196172249,2.3923444976076556,0.0,0.0,0.9904761904761905
1241,Napakiak,2012,22.7,113,133,171,33,3,,,92,103,92,10.679611650485436,120.0,24.0,57.0,57.0,6.0,334,6,0,0,0,193,147,340,33.23529411764706,39.11764705882353,50.294117647058826,9.705882352941178,0.8823529411764706,,89.32038834951457,89.32038834951457,35.294117647058826,26.08695652173913,16.76470588235294,16.76470588235294,1.7647058823529411,98.23529411764706,1.7647058823529411,0.0,0.0,0.0,1.3129251700680271
1242,Napaskiak,2012,30.6,94,123,194,41,0,,,85,120,85,29.166666666666668,73.0,16.0,39.0,30.0,4.0,335,23,18,0,0,184,174,358,26.256983240223462,34.357541899441344,54.18994413407822,11.452513966480447,0.0,,70.83333333333334,70.83333333333334,20.391061452513966,18.823529411764707,10.893854748603351,8.379888268156424,1.1173184357541899,93.57541899441341,6.424581005586592,5.027932960893855,0.0,0.0,1.0574712643678161
1243,Naukati Bay,2012,35.7,0,0,39,8,0,,,31,43,31,27.906976744186046,3.0,0.0,0.0,3.0,0.0,0,47,47,0,0,37,10,47,0.0,0.0,82.97872340425532,17.02127659574468,0.0,,72.09302325581395,72.09302325581395,6.382978723404255,0.0,0.0,6.382978723404255,0.0,0.0,100.0,100.0,0.0,0.0,3.7
1244,Nelchina,2012,31.1,39,39,41,0,0,,,19,48,19,60.416666666666664,0.0,0.0,0.0,0.0,0.0,0,80,80,0,0,39,41,80,48.75,48.75,51.24999999999999,0.0,0.0,,39.58333333333333,39.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.9512195121951219
1245,Nelson Lagoon,2012,38.5,4,8,18,5,0,,,11,26,11,57.692307692307686,14.0,1.0,8.0,6.0,0.0,22,9,1,0,0,12,19,31,12.903225806451612,25.806451612903224,58.06451612903226,16.129032258064516,0.0,,42.30769230769231,42.30769230769231,45.16129032258064,9.090909090909092,25.806451612903224,19.35483870967742,0.0,70.96774193548387,29.03225806451613,3.225806451612903,0.0,0.0,0.631578947368421
1246,Nenana,2012,44.5,81,101,318,47,6,,,177,232,177,23.70689655172414,94.0,18.0,33.0,58.0,3.0,153,319,247,2,0,256,216,472,17.16101694915254,21.398305084745765,67.37288135593221,9.957627118644067,1.2711864406779663,,76.29310344827587,76.29310344827587,19.915254237288135,10.16949152542373,6.991525423728813,12.288135593220339,0.6355932203389831,32.41525423728814,67.58474576271186,52.33050847457628,0.423728813559322,0.0,1.1851851851851851
1247,New Allakaket,2012,26.8,18,22,48,7,2,,,17,18,17,5.555555555555555,4.0,2.0,2.0,2.0,0.0,79,0,0,0,0,45,34,79,22.78481012658228,27.848101265822784,60.75949367088608,8.860759493670885,2.5316455696202533,,94.44444444444444,94.44444444444444,5.063291139240507,11.76470588235294,2.5316455696202533,2.5316455696202533,0.0,100.0,0.0,0.0,0.0,0.0,1.3235294117647058
1248,New Stuyahok,2012,23.3,151,190,284,45,2,,,99,116,99,14.655172413793101,199.0,23.0,72.0,125.0,2.0,484,37,15,0,0,296,225,521,28.982725527831093,36.46833013435701,54.510556621881,8.637236084452974,0.3838771593090211,,85.34482758620689,85.34482758620689,38.1957773512476,23.232323232323232,13.81957773512476,23.99232245681382,0.3838771593090211,92.89827255278311,7.1017274472168905,2.8790786948176583,0.0,0.0,1.3155555555555556
1249,Newhalen,2012,21.7,73,98,129,1,2,,,55,63,55,12.698412698412698,59.0,9.0,29.0,30.0,0.0,183,47,19,0,23,104,126,230,31.73913043478261,42.608695652173914,56.086956521739125,0.43478260869565216,0.8695652173913043,,87.3015873015873,87.3015873015873,25.65217391304348,16.363636363636363,12.608695652173912,13.043478260869565,0.0,79.56521739130434,20.434782608695652,8.26086956521739,0.0,10.0,0.8253968253968254
1250,Newtok,2012,16.8,171,205,164,20,0,,,64,69,64,7.246376811594203,112.0,17.0,68.0,42.0,2.0,385,4,0,0,0,221,168,389,43.958868894601544,52.69922879177378,42.159383033419026,5.141388174807198,0.0,,92.7536231884058,92.7536231884058,28.79177377892031,26.5625,17.480719794344473,10.796915167095115,0.5141388174807198,98.97172236503856,1.0282776349614395,0.0,0.0,0.0,1.3154761904761905
1251,Nightmute,2012,22.9,109,136,186,21,0,,,61,66,61,7.575757575757576,59.0,8.0,21.0,35.0,3.0,324,19,15,0,0,185,158,343,31.778425655976676,39.650145772594755,54.22740524781341,6.122448979591836,0.0,,92.42424242424242,92.42424242424242,17.20116618075802,13.114754098360656,6.122448979591836,10.204081632653061,0.8746355685131195,94.46064139941691,5.539358600583091,4.373177842565598,0.0,0.0,1.1708860759493671
1252,Nikiski,2012,42.5,889,1080,3188,424,16,,,1794,2128,1794,15.695488721804512,468.0,86.0,121.0,335.0,12.0,319,4389,4101,13,17,2557,2151,4708,18.882752761257436,22.939677145284623,67.71452846219202,9.005947323704333,0.33984706881903143,,84.30451127819549,84.30451127819549,9.940526762956669,4.793756967670011,2.570093457943925,7.115548003398471,0.2548853016142736,6.775700934579438,93.22429906542055,87.10705182667799,0.27612574341546303,0.3610875106202209,1.188749418874942
1253,Nikolaevsk,2012,45.5,37,45,121,17,0,,,79,128,79,38.28125,42.0,7.0,13.0,29.0,0.0,0,183,183,0,0,82,101,183,20.21857923497268,24.59016393442623,66.12021857923497,9.289617486338798,0.0,,61.71875,61.71875,22.950819672131146,8.860759493670885,7.103825136612022,15.846994535519126,0.0,0.0,100.0,100.0,0.0,0.0,0.8118811881188119
1254,Nikolai,2012,39.1,12,14,33,0,0,,,22,46,22,52.17391304347826,26.0,4.0,6.0,20.0,0.0,36,11,5,0,0,34,13,47,25.53191489361702,29.78723404255319,70.2127659574468,0.0,0.0,,47.82608695652174,47.82608695652174,55.319148936170215,18.181818181818183,12.76595744680851,42.5531914893617,0.0,76.59574468085107,23.404255319148938,10.638297872340425,0.0,0.0,2.6153846153846154
1255,Nikolski,2012,51.0,4,6,13,11,0,,,18,19,18,5.263157894736842,6.0,3.0,1.0,4.0,1.0,18,12,5,0,0,23,7,30,13.333333333333334,20.0,43.333333333333336,36.666666666666664,0.0,,94.73684210526315,94.73684210526315,20.0,16.666666666666664,3.3333333333333335,13.333333333333334,3.3333333333333335,60.0,40.0,16.666666666666664,0.0,0.0,3.2857142857142856
1256,Ninilchik,2012,50.2,127,141,369,119,14,,,271,861,271,68.52497096399536,143.0,25.0,54.0,79.0,10.0,29,614,597,0,5,325,318,643,19.751166407465007,21.928460342146188,57.38724727838258,18.506998444790046,2.177293934681182,,31.47502903600465,31.47502903600465,22.23950233281493,9.22509225092251,8.398133748055987,12.28615863141524,1.5552099533437014,4.5101088646967336,95.48989113530327,92.84603421461898,0.0,0.7776049766718507,1.0220125786163523
1257,Noatak,2012,23.4,143,165,258,40,2,,,106,122,106,13.114754098360656,37.0,5.0,16.0,19.0,2.0,417,48,13,2,0,238,227,465,30.752688172043012,35.483870967741936,55.483870967741936,8.60215053763441,0.43010752688172044,,86.88524590163934,86.88524590163934,7.956989247311828,4.716981132075472,3.4408602150537635,4.086021505376344,0.43010752688172044,89.6774193548387,10.32258064516129,2.795698924731183,0.43010752688172044,0.0,1.0484581497797356
1258,Nome,2012,34.2,814,999,2383,244,12,,,1314,1561,1314,15.823190262652146,338.0,36.0,109.0,200.0,29.0,1643,1995,1287,124,79,1928,1710,3638,22.374931280923587,27.460142935678945,65.50302363936228,6.706981858163827,0.32985156679494226,,84.17680973734785,84.17680973734785,9.290819131390874,2.73972602739726,2.9961517317207256,5.497526113249037,0.7971412864211105,45.16217702034085,54.83782297965916,35.37658053875756,3.4084661902144036,2.17152281473337,1.127485380116959
1259,Nondalton,2012,21.7,83,95,106,6,1,,,53,110,53,51.81818181818182,115.0,19.0,70.0,44.0,1.0,154,54,49,0,0,106,102,208,39.90384615384615,45.67307692307692,50.96153846153846,2.8846153846153846,0.4807692307692308,,48.18181818181818,48.18181818181818,55.28846153846154,35.84905660377358,33.65384615384615,21.153846153846153,0.4807692307692308,74.03846153846155,25.961538461538463,23.557692307692307,0.0,0.0,1.0392156862745099
1260,Noorvik,2012,22.1,260,302,353,45,8,,,155,171,155,9.35672514619883,155.0,22.0,65.0,84.0,6.0,673,35,16,0,0,404,304,708,36.72316384180791,42.65536723163842,49.85875706214689,6.3559322033898304,1.1299435028248588,,90.64327485380117,90.64327485380117,21.89265536723164,14.193548387096774,9.180790960451978,11.864406779661017,0.847457627118644,95.05649717514125,4.943502824858757,2.2598870056497176,0.0,0.0,1.3289473684210527
1261,North Pole,2012,30.3,498,600,1492,169,12,,,866,988,866,12.348178137651821,129.0,27.0,40.0,85.0,4.0,34,2239,1935,109,56,1116,1157,2273,21.90937087549494,26.39683238011439,65.64012318521777,7.435107787065552,0.5279366476022878,,87.65182186234817,87.65182186234817,5.675318961724593,3.117782909930716,1.759788825340959,3.739551253849538,0.1759788825340959,1.4958205015398152,98.50417949846019,85.12978442586889,4.795424549054114,2.4637043554773426,0.9645635263612792
1262,Northway,2012,52.0,27,27,91,0,0,,,41,68,41,39.705882352941174,11.0,3.0,5.0,6.0,0.0,98,20,8,0,0,60,58,118,22.88135593220339,22.88135593220339,77.11864406779661,0.0,0.0,,60.29411764705882,60.29411764705882,9.322033898305085,7.317073170731707,4.23728813559322,5.084745762711865,0.0,83.05084745762711,16.94915254237288,6.779661016949152,0.0,0.0,1.0344827586206897
1263,Northway Junction,2012,40.0,9,15,27,2,0,,,11,29,11,62.06896551724138,11.0,2.0,6.0,5.0,0.0,35,9,7,0,0,16,28,44,20.454545454545457,34.090909090909086,61.36363636363637,4.545454545454546,0.0,,37.93103448275862,37.93103448275862,25.0,18.181818181818183,13.636363636363635,11.363636363636363,0.0,79.54545454545455,20.454545454545457,15.909090909090908,0.0,0.0,0.5714285714285714
1264,Northway Village,2012,29.4,17,17,41,18,3,,,26,46,26,43.47826086956522,43.0,5.0,12.0,26.0,5.0,69,10,0,0,0,41,38,79,21.518987341772153,21.518987341772153,51.89873417721519,22.78481012658228,3.79746835443038,,56.52173913043478,56.52173913043478,54.43037974683544,19.230769230769234,15.18987341772152,32.91139240506329,6.329113924050633,87.34177215189874,12.658227848101266,0.0,0.0,0.0,1.0789473684210527
1265,Nuiqsut,2012,24.2,122,144,329,14,0,,,108,131,108,17.557251908396946,4.0,0.0,0.0,4.0,0.0,426,61,48,3,0,259,228,487,25.051334702258725,29.568788501026695,67.5564681724846,2.8747433264887063,0.0,,82.44274809160305,82.44274809160305,0.8213552361396305,0.0,0.0,0.8213552361396305,0.0,87.47433264887063,12.525667351129362,9.856262833675565,0.6160164271047228,0.0,1.1359649122807018
1266,Nulato,2012,30.4,53,71,186,28,4,,,87,124,87,29.838709677419356,71.0,10.0,39.0,29.0,3.0,269,20,14,0,0,164,125,289,18.33910034602076,24.567474048442904,64.3598615916955,9.688581314878892,1.384083044982699,,70.16129032258065,70.16129032258065,24.567474048442904,11.494252873563218,13.494809688581316,10.034602076124568,1.0380622837370241,93.07958477508652,6.920415224913495,4.844290657439446,0.0,0.0,1.312
1267,Nunam Iqua,2012,25.8,49,53,78,9,3,,,36,44,36,18.181818181818183,22.0,3.0,5.0,16.0,1.0,129,14,9,0,0,80,63,143,34.26573426573427,37.06293706293706,54.54545454545454,6.293706293706294,2.097902097902098,,81.81818181818183,81.81818181818183,15.384615384615385,8.333333333333332,3.4965034965034967,11.188811188811188,0.6993006993006993,90.20979020979021,9.79020979020979,6.293706293706294,0.0,0.0,1.2698412698412698
1268,Nunapitchuk,2012,22.4,150,170,207,26,0,,,96,125,96,23.200000000000003,99.0,13.0,57.0,42.0,0.0,374,29,22,0,0,225,178,403,37.220843672456574,42.18362282878412,51.36476426799007,6.451612903225806,0.0,,76.8,76.8,24.56575682382134,13.541666666666666,14.1439205955335,10.421836228287841,0.0,92.80397022332507,7.196029776674938,5.459057071960298,0.0,0.0,1.2640449438202248
1269,Old Harbor,2012,32.9,70,100,134,9,0,,,84,113,84,25.663716814159294,54.0,9.0,20.0,34.0,0.0,193,50,34,0,0,150,93,243,28.80658436213992,41.1522633744856,55.144032921810705,3.7037037037037033,0.0,,74.33628318584071,74.33628318584071,22.22222222222222,10.714285714285714,8.23045267489712,13.991769547325102,0.0,79.42386831275721,20.5761316872428,13.991769547325102,0.0,0.0,1.6129032258064515
1270,Oscarville,2012,35.9,31,38,48,9,0,,,16,45,16,64.44444444444444,48.0,3.0,16.0,29.0,3.0,76,19,0,0,0,55,40,95,32.631578947368425,40.0,50.526315789473685,9.473684210526317,0.0,,35.55555555555556,35.55555555555556,50.526315789473685,18.75,16.842105263157894,30.526315789473685,3.1578947368421053,80.0,20.0,0.0,0.0,0.0,1.375
1271,Ouzinkie,2012,32.8,75,87,186,33,0,,,104,124,104,16.129032258064516,83.0,18.0,41.0,42.0,0.0,217,89,55,0,18,175,131,306,24.509803921568626,28.431372549019606,60.78431372549019,10.784313725490197,0.0,,83.87096774193549,83.87096774193549,27.124183006535947,17.307692307692307,13.398692810457517,13.725490196078432,0.0,70.91503267973856,29.08496732026144,17.973856209150327,0.0,5.88235294117647,1.3358778625954197
1272,Palmer,2012,30.8,1389,1732,3813,391,71,,,2040,2183,2040,6.550618415025195,670.0,96.0,238.0,406.0,26.0,435,5572,4744,63,67,3007,3000,6007,23.123023139670384,28.833028133843847,63.475944731146996,6.50907274846013,1.181954386549026,,93.4493815849748,93.4493815849748,11.153654070251374,4.705882352941177,3.9620442816713832,6.758781421674713,0.4328283669052772,7.241551523222907,92.75844847677709,78.97452971533211,1.0487764275012486,1.1153654070251373,1.0023333333333333
1273,Paxson,2012,54.4,0,4,14,0,0,,,6,140,6,95.71428571428572,0.0,0.0,0.0,0.0,0.0,0,18,18,0,0,8,10,18,0.0,22.22222222222222,77.77777777777779,0.0,0.0,,4.285714285714286,4.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.8
1274,Pedro Bay,2012,53.5,4,10,14,2,0,,,15,33,15,54.54545454545454,2.0,0.0,0.0,0.0,2.0,15,11,10,0,0,9,17,26,15.384615384615385,38.46153846153847,53.84615384615385,7.6923076923076925,0.0,,45.45454545454545,45.45454545454545,7.6923076923076925,0.0,0.0,0.0,7.6923076923076925,57.692307692307686,42.30769230769231,38.46153846153847,0.0,0.0,0.5294117647058824
1275,Pelican,2012,50.5,10,20,54,17,0,,,38,90,38,57.77777777777777,5.0,0.0,0.0,0.0,5.0,23,68,49,0,4,44,47,91,10.989010989010989,21.978021978021978,59.34065934065934,18.681318681318682,0.0,,42.22222222222222,42.22222222222222,5.4945054945054945,0.0,0.0,0.0,5.4945054945054945,25.274725274725274,74.72527472527473,53.84615384615385,0.0,4.395604395604396,0.9361702127659575
1276,Perryville,2012,22.0,32,37,49,12,0,,,37,56,37,33.92857142857143,40.0,11.0,19.0,17.0,4.0,87,11,7,0,0,42,56,98,32.6530612244898,37.755102040816325,50.0,12.244897959183673,0.0,,66.07142857142857,66.07142857142857,40.816326530612244,29.72972972972973,19.387755102040817,17.346938775510203,4.081632653061225,88.77551020408163,11.224489795918368,7.142857142857142,0.0,0.0,0.75
1277,Petersburg,2012,42.1,514,649,2208,275,31,,,1392,1542,1392,9.72762645914397,343.0,52.0,92.0,211.0,40.0,172,2991,2460,50,76,1673,1490,3163,16.25039519443566,20.518495099589,69.80714511539678,8.69427758457161,0.9800822004426177,,90.27237354085604,90.27237354085604,10.844135314574771,3.7356321839080464,2.9086310464748655,6.6708820739803985,1.2646221941195068,5.437875434713879,94.56212456528613,77.77426493834967,1.5807777426493836,2.4027821688270627,1.1228187919463086
1278,Petersville,2012,,0,0,0,0,0,,,0,96,0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,,,,,,,,,,,
1279,Pilot Point,2012,43.8,13,19,41,1,0,,,27,72,27,62.5,12.0,1.0,5.0,7.0,0.0,48,13,4,0,0,36,25,61,21.311475409836063,31.147540983606557,67.21311475409836,1.639344262295082,0.0,,37.5,37.5,19.672131147540984,3.7037037037037033,8.19672131147541,11.475409836065573,0.0,78.68852459016394,21.311475409836063,6.557377049180328,0.0,0.0,1.44
1280,Pilot Station,2012,23.5,167,199,292,19,0,,,115,125,115,8.0,143.0,24.0,72.0,68.0,3.0,493,17,15,0,0,273,237,510,32.745098039215684,39.01960784313726,57.25490196078431,3.7254901960784315,0.0,,92.0,92.0,28.03921568627451,20.869565217391305,14.117647058823529,13.333333333333334,0.5882352941176471,96.66666666666667,3.3333333333333335,2.941176470588235,0.0,0.0,1.1518987341772151
1281,Pitkas Point,2012,34.3,50,62,94,4,0,,,44,52,44,15.384615384615385,34.0,6.0,21.0,13.0,0.0,137,23,10,0,0,81,79,160,31.25,38.75,58.75,2.5,0.0,,84.61538461538461,84.61538461538461,21.25,13.636363636363635,13.125,8.125,0.0,85.625,14.374999999999998,6.25,0.0,0.0,1.0253164556962024
1282,Platinum,2012,34.8,15,19,29,5,0,,,17,26,17,34.61538461538461,29.0,5.0,13.0,16.0,0.0,53,0,0,0,0,32,21,53,28.30188679245283,35.84905660377358,54.71698113207547,9.433962264150944,0.0,,65.38461538461539,65.38461538461539,54.71698113207547,29.411764705882355,24.528301886792452,30.18867924528302,0.0,100.0,0.0,0.0,0.0,0.0,1.5238095238095237
1283,Pleasant Valley,2012,39.9,52,52,337,0,0,,,175,231,175,24.242424242424242,0.0,0.0,0.0,0.0,0.0,0,389,304,0,0,237,152,389,13.367609254498714,13.367609254498714,86.63239074550128,0.0,0.0,,75.75757575757575,75.75757575757575,0.0,0.0,0.0,0.0,0.0,0.0,100.0,78.1491002570694,0.0,0.0,1.5592105263157894
1284,Point Baker,2012,65.5,0,0,8,8,0,,,16,24,16,33.33333333333333,8.0,0.0,0.0,0.0,8.0,8,8,0,0,0,8,8,16,0.0,0.0,50.0,50.0,0.0,,66.66666666666666,66.66666666666666,50.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,1.0
1285,Point Hope,2012,28.1,236,284,535,56,19,,,214,250,214,14.399999999999999,64.0,6.0,29.0,35.0,0.0,715,179,67,3,30,468,426,894,26.39821029082774,31.767337807606268,59.8434004474273,6.263982102908278,2.1252796420581657,,85.6,85.6,7.158836689038031,2.803738317757009,3.2438478747203576,3.9149888143176734,0.0,79.97762863534675,20.022371364653242,7.4944071588366885,0.33557046979865773,3.3557046979865772,1.0985915492957747
1286,Point Lay,2012,26.5,67,88,206,7,0,,,64,72,64,11.11111111111111,33.0,4.0,19.0,14.0,0.0,210,91,81,0,0,187,114,301,22.259136212624583,29.2358803986711,68.43853820598007,2.3255813953488373,0.0,,88.88888888888889,88.88888888888889,10.96345514950166,6.25,6.312292358803987,4.651162790697675,0.0,69.76744186046511,30.23255813953488,26.910299003322258,0.0,0.0,1.6403508771929824
1287,Point MacKenzie,2012,47.8,0,0,315,92,0,,,78,192,78,59.375,0.0,0.0,0.0,0.0,0.0,84,323,296,20,2,336,71,407,0.0,0.0,77.39557739557739,22.604422604422606,0.0,,40.625,40.625,0.0,0.0,0.0,0.0,0.0,20.638820638820636,79.36117936117935,72.72727272727273,4.914004914004914,0.4914004914004914,4.732394366197183
1288,Point Possession,2012,63.1,0,6,20,9,0,,,9,185,9,95.13513513513514,0.0,0.0,0.0,0.0,0.0,0,35,35,0,0,26,9,35,0.0,17.142857142857142,57.14285714285714,25.71428571428571,0.0,,4.864864864864865,4.864864864864865,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,2.888888888888889
1289,Pope-Vannoy Landing,2012,,0,0,9,0,0,,,9,13,9,30.76923076923077,9.0,0.0,0.0,9.0,0.0,0,9,0,0,0,9,0,9,0.0,0.0,100.0,0.0,0.0,,69.23076923076923,69.23076923076923,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,inf
