,Place,Year,median_age,n_pop_under_14,n_pop_under_18,n_pop_18-65,n_pop_65-85,n_pop_over_85,n_families,median_family_income,n_households,n_houses,n_occupied_houses,house_vacancy_rate,n_people_below_poverty,n_households_below_poverty,n_people_under_18_below_poverty,n_people_18-64_below_poverty,n_people_65_plus_below_poverty,n_population_native,n_population_non_native,n_population_white,n_population_black,n_population_asian,n_population_male,n_population_female,n_total_population(ACS),p_pop_under_14,p_pop_under_18,p_pop_18_65,p_pop_65_85,p_pop_over_85,p_families,p_households,p_occupied_houses,p_people_below_poverty,p_households_below_poverty,p_people_under_18_below_poverty,p_people_18_64_below_poverty,p_people_65_plus_below_poverty,p_population_native,p_population_non_native,p_population_white,p_population_black,p_population_asian,ratio_male_over_female
75,Ketchikan Gateway Borough,2011,37.9,2628,3227,8909,1206,75,3392.0,5855.0,5479,6182,5479,11.371724361048205,,167.0,,,,1968,11449,9158,61,748,6825,6592,13417,19.587091003950214,24.051576358351344,66.40083476186926,8.98859655660729,0.558992323172095,61.909107501368865,88.62827563895179,88.62827563895179,,3.04800146012046,,,,14.667958560035776,85.33204143996423,68.25668927480064,0.454647089513304,5.575016769769695,1.0353458737864079
76,Kodiak Island Borough,2011,31.9,3222,3907,8718,719,144,3158.0,10393.0,4445,5323,4445,16.494458012399026,,289.0,,,,2136,11352,7702,150,2735,7151,6337,13488,23.887900355871885,28.966488730723604,64.63523131672598,5.330664294187426,1.0676156583629894,71.04611923509562,83.50554198760098,83.50554198760098,,6.501687289088864,,,,15.836298932384341,84.16370106761566,57.10260972716489,1.112099644128114,20.277283511269275,1.1284519488717057
77,Lake and Peninsula Borough,2011,31.2,366,473,989,73,5,412.0,6178.0,562,1605,562,64.98442367601245,,61.0,,,,903,637,529,7,17,769,771,1540,23.766233766233764,30.714285714285715,64.22077922077922,4.740259740259741,0.3246753246753247,73.30960854092527,35.01557632398754,35.01557632398754,,10.85409252669039,,,,58.63636363636363,41.36363636363637,34.35064935064935,0.45454545454545453,1.103896103896104,0.9974059662775616
78,Matanuska-Susitna Borough,2011,34.9,20591,25134,54959,6323,401,22192.0,2403.0,30609,40206,30609,23.869571705715565,,1476.0,,,,4045,82772,74058,859,1056,44822,41995,86817,23.717705057765183,28.950551159335152,63.304421945010766,7.283135791377266,0.4618911042768121,72.50155183116077,76.13042829428444,76.13042829428444,,4.822111143781241,,,,4.659225727680063,95.34077427231993,85.30356957738692,0.9894375525530715,1.2163516362002833,1.0673175378021194
79,Nome Census Area,2011,28.1,2675,3228,5661,526,28,1896.0,5140.0,2756,3975,2756,30.666666666666664,,371.0,,,,6806,2637,1580,148,85,5058,4385,9443,28.327861908291858,34.184051678492004,59.94916869638885,5.570263687387483,0.2965159377316531,68.79535558780842,69.33333333333334,69.33333333333334,,13.461538461538462,,,,72.07455257862966,27.925447421370325,16.731970772000423,1.5672985280101661,0.9001376681139468,1.153477765108324
80,North Slope Borough,2011,29.2,2269,2907,5790,358,33,1394.0,5610.0,1966,2517,1966,21.891140246324987,,122.0,,,,5268,3820,2878,47,95,5368,3720,9088,24.96698943661972,31.987235915492956,63.710387323943664,3.939260563380282,0.36311619718309857,70.90539165818922,78.108859753675,78.108859753675,,6.205493387589013,,,,57.96654929577465,42.03345070422535,31.6681338028169,0.5171654929577465,1.0453345070422535,1.4430107526881721
81,Northwest Arctic Borough,2011,25.8,2203,2656,4427,415,34,1384.0,3922.0,1797,2699,1797,33.41978510559466,,236.0,,,,5955,1577,887,26,91,4048,3484,7532,29.248539564524695,35.26287838555496,58.775889537971324,5.509824747742964,0.4514073287307488,77.0172509738453,66.58021489440533,66.58021489440533,,13.132999443516974,,,,79.06266595857674,20.937334041423263,11.776420605416888,0.34519383961763145,1.20817843866171,1.1618828932261769
82,Prince of Wales-Hyder Census Area,2011,39.5,1149,1408,3577,540,16,1501.0,4572.0,2351,2996,2351,21.528704939919894,,193.0,,,,2292,3249,2773,7,49,3018,2523,5541,20.73632918245804,25.410575708355893,64.55513445226494,9.745533297238767,0.28875654214040786,63.845172267120375,78.47129506008011,78.47129506008011,,8.209272649936198,,,,41.36437466161343,58.635625338386575,50.045118209709436,0.12633098718642843,0.8843169103049991,1.1961950059453033
83,Sitka,2011,38.8,1604,1972,6027,791,89,,,3632,4078,3632,10.936733692986758,,89.0,,,,1629,7250,5992,34,379,4376,4503,8879,18.06509742088073,22.209708300484287,67.87926568307242,8.908660885234823,1.0023651312084694,,89.06326630701325,89.06326630701325,,2.450440528634361,,,,18.34666065998423,81.65333934001576,67.4850771483275,0.3829260051807636,4.2684987048091,0.9717965800577393
115,Skagway,2011,40.4,190,214,801,90,0,,,430,638,430,32.60188087774294,,0.0,,,,14,1091,911,10,108,631,474,1105,17.194570135746606,19.366515837104075,72.48868778280543,8.144796380090497,0.0,,67.39811912225704,67.39811912225704,,0.0,,,,1.2669683257918551,98.73303167420815,82.44343891402714,0.904977375565611,9.773755656108598,1.3312236286919832
