,year,commname,region,subreg,resource,used,trying,hrvsting,giving,receving,xtotnum,xtotlbs,units,numharv,percap,totlbhrv,mupch,pcttotal,mupc,xupc,commhh
1598,2018,Akhiok,Southwest,Kodiak and Afognak Islands,Fish,0.909,0.909,0.909,0.727,0.545,13501.7001953125,13501.7001953125,Lbs.,10608.478515625,279.170715332031,10608.478515625,307.087768554688,0.755176544189453,,444.443878173828,14.0
1728,2018,Akhiok,Southwest,Kodiak and Afognak Islands,Land Mammals,0.909,0.727,0.727,0.636,0.545,1539.49096679688,1539.49096679688,Lbs.,1209.59997558594,31.8316020965576,1209.59997558594,35.014762878418,0.0861067399382591,,62.6327018737793,14.0
1776,2018,Akhiok,Southwest,Kodiak and Afognak Islands,Marine Mammals,0.545,0.455,0.273,0.273,0.364,427.636352539063,427.636352539063,Lbs.,112.0,8.84211158752441,112.0,16.2105388641357,0.0239185392856598,,18.1544055938721,14.0
1804,2018,Akhiok,Southwest,Kodiak and Afognak Islands,Birds and Eggs,0.727,0.727,0.636,0.364,0.182,137.838912963867,137.838912963867,Lbs.,108.302001953125,2.85005474090576,108.302001953125,3.91882538795471,0.0077096000313758,,6.48012351989746,14.0
2265,2018,Akhiok,Southwest,Kodiak and Afognak Islands,Plants/Greens/Mushrooms,0.455,0.455,0.455,0.364,0.091,68.7272720336914,68.7272720336914,Lbs.,54.0,1.421053647995,54.0,3.12631821632385,0.0038440509233623,,4.70455360412598,14.0
2289,1998,Akiachak,Western,Lower Kuskokwim,Fish,0.988,0.963,0.951,0.778,0.741,469321.0,469321.0,lb.,322161.3125,897.390014648438,322161.3125,908.289489746094,0.0067559694871306,1095.28405761719,4033.65649414063,118.0
2409,1998,Akiachak,Western,Lower Kuskokwim,Land Mammals,0.988,0.901,0.901,0.765,0.815,4088.0,141666.0,Ind.,2806.0,270.880004882813,97245.5,274.170043945313,0.0020393105223774,350.185943603516,622.015991210938,118.0
2437,1998,Akiachak,Western,Lower Kuskokwim,Marine Mammals,0.58,0.173,0.136,0.148,0.531,16057.0,16057.0,lb.,11022.0,30.7000007629395,11022.0,52.9310340881348,0.0002311437274329,0.0,3204.86499023438,118.0
2450,1998,Akiachak,Western,Lower Kuskokwim,Birds and Eggs,0.975,0.914,0.914,0.728,0.679,24649.0,35824.0,Ind.,16919.998046875,68.5,24591.13671875,70.2564086914063,0.0005156936240382,90.3697509765625,327.467987060547,118.0
2805,1998,Akiachak,Western,Lower Kuskokwim,Plants/Greens/Mushrooms,0.938,0.926,0.926,0.272,0.296,5437.0,7006.0,Gal.,3732.5,13.3999996185303,4809.0,14.2857131958008,0.0001008527760859,12.7821836471558,108.176681518555,118.0
2813,2010,Akiak,Western,Lower Kuskokwim,Fish,0.968,0.81,0.794,0.635,0.667,46554.0,193091.0,lb.,32335.166015625,500.666961669922,133714.265625,517.082275390625,0.813214898109436,,,89.0
2918,2010,Akiak,Western,Lower Kuskokwim,Land Mammals,0.937,0.746,0.571,0.508,0.825,852.0,25913.0,lb.,603.0,67.1895599365234,18342.75,71.7447814941406,0.109133519232273,,,89.0
2950,2010,Akiak,Western,Lower Kuskokwim,Marine Mammals,0.603,0.095,0.079,0.079,0.556,13.0,2187.0,lb.,9.0,5.67032957077026,1548.0,9.40081024169922,0.0092101069167256,,,89.0
2960,2010,Akiak,Western,Lower Kuskokwim,Birds and Eggs,0.841,0.698,0.683,0.397,0.349,5336.0,8003.0,lb.,3715.0,20.7516803741455,5599.21142578125,24.6670913696289,0.0337061882019043,,,89.0
3195,2010,Akiak,Western,Lower Kuskokwim,Plants/Greens/Mushrooms,0.683,0.651,0.635,0.159,0.095,4030.0,1611.0,Gal.,2852.60009765625,4.1772894859314,1140.40002441406,6.12021446228027,0.0067850174382329,,,89.0
3220,1990,Akutan,Southwest,Aleutians,Fish,1.0,0.92,0.92,0.88,0.96,26921.0,26921.0,lb.,21710.220703125,264.760009765625,21710.220703125,264.760009765625,0.0056798951700329,,,31.0
3358,1990,Akutan,Southwest,Aleutians,Land Mammals,0.72,0.28,0.2,0.24,0.64,19.0,2822.0,Ind.,15.4499998092651,27.75,2276.06005859375,38.5416679382324,0.0005953963263891,,,31.0
3380,1990,Akutan,Southwest,Aleutians,Marine Mammals,0.92,0.48,0.44,0.4,0.84,142.0,10767.0,Ind.,114.809997558594,105.889999389648,8683.2900390625,115.09782409668,0.0022716626990586,,,31.0
3395,1990,Akutan,Southwest,Aleutians,Birds and Eggs,0.92,0.72,0.68,0.52,0.84,4840.0,2882.0,Ind.,3903.0,28.3400001525879,2323.8798828125,30.8043479919434,0.0006080553866922,,,31.0
3503,1990,Akutan,Southwest,Aleutians,Plants/Greens/Mushrooms,0.96,0.92,0.92,0.32,0.32,400.0,400.0,lb.,322.630004882813,3.9300000667572,322.630004882813,4.09375,8.43935267766938e-05,,,31.0
3522,1996,Akutan,Southwest,Aleutians,Birds and Eggs,0.929,0.464,0.429,0.464,0.714,1824.0,1201.0,Ind.,1596.0,15.0100002288818,1050.84997558594,16.1571578979492,,,,32.0
3799,2008,Akutan,Southwest,Aleutians,Fish,0.944,0.694,0.694,0.722,0.889,8803.0,18636.09765625,,7922.6640625,226.655227661133,16772.48828125,240.100875854492,0.693000018596649,,,40.0
3836,2008,Akutan,Southwest,Aleutians,Land Mammals,0.639,0.056,0.056,0.083,0.611,4.40000009536743,1214.66662597656,,4.0,14.7729730606079,1093.19995117188,23.1188945770264,0.0450000017881393,,,40.0
3863,2008,Akutan,Southwest,Aleutians,Marine Mammals,0.694,0.278,0.278,0.361,0.583,40.0,2151.11108398438,,36.0,26.1621627807617,1936.0,37.697639465332,0.0799999982118607,,,40.0
3880,2008,Akutan,Southwest,Aleutians,Birds and Eggs,0.833,0.583,0.556,0.5,0.583,1796.69995117188,817.265319824219,,1617.0,9.93971347808838,735.538818359375,11.9324293136597,0.0299999993294477,,,40.0
4014,2008,Akutan,Southwest,Aleutians,Plants/Greens/Mushrooms,0.444,0.444,0.417,0.222,0.139,75.0999984741211,246.527770996094,,67.5625,2.99831080436707,221.875,6.75295209884644,0.0089999996125698,,,40.0
4028,1980,Alakanuk,Western,Lower Yukon River Basin,Fish,,,1.0,,,189026.0,284056.0,Ind.,44106.0,476.829986572266,66279.8984375,,0.0065768319182097,,,90.0
4049,1980,Alakanuk,Western,Lower Yukon River Basin,Land Mammals,,,0.857,,,10196.0,41126.0,Ind.,2379.0,69.0400009155274,9596.2998046875,,0.0009522023028694,,,90.0
4065,1980,Alakanuk,Western,Lower Yukon River Basin,Marine Mammals,,,0.762,,,664.0,75424.0,Ind.,155.0,126.610000610352,17599.0,,0.0017463139956817,,,90.0
4074,1980,Alakanuk,Western,Lower Yukon River Basin,Birds and Eggs,,,0.905,,,10740.0,31297.0,Ind.,2506.0,52.5400009155274,7302.5,,0.0007246286259032,,,90.0
4093,2014,Alakanuk,Western,Lower Yukon River Basin,Fish,0.984,0.774,0.742,0.532,0.806,53945.19140625,53945.19140625,lb.,25334.130859375,82.2658920288086,25334.130859375,83.6145095825195,1.0,136.266235351563,136.266235351563,132.0
4206,2015,Alakanuk,Western,Lower Yukon River Basin,Fish,0.926,0.765,0.753,0.63,0.63,37156.1328125,37156.1328125,lb.,23417.919921875,66.5556564331055,23417.919921875,71.8801116943359,0.975347459316254,,453.490570068359,133.0
4344,2002,Alatna,Interior,Koyukuk River Basin,Fish,0.75,0.583,0.583,0.167,0.5,443.0,1076.0,Ind.,443.0,33.625,1076.0,,,,,12.0
4364,2011,Alatna,Interior,Koyukuk River Basin,Fish,0.833,0.833,0.667,0.667,0.667,1536.0,1536.0,lb.,1024.30334472656,48.7763519287109,1024.30334472656,58.5316200256348,0.162971198558807,127.291442871094,127.291442871094,9.0
4489,2011,Alatna,Interior,Koyukuk River Basin,Land Mammals,1.0,0.833,0.833,0.833,1.0,7204.0,7204.0,lb.,4803.0,228.714279174805,4803.0,228.714279174805,0.764178454875946,426.694152832031,426.694152832031,9.0
4527,2011,Alatna,Interior,Koyukuk River Basin,Marine Mammals,1.0,,,0.333,1.0,,,lb.,0.0,,,,,0.0,0.0,9.0
4544,2011,Alatna,Interior,Koyukuk River Basin,Birds and Eggs,1.0,0.833,0.833,0.833,1.0,571.0,571.0,lb.,378.440002441406,18.116189956665,378.440002441406,18.116189956665,0.0605296790599823,33.5922889709473,33.5922889709473,9.0
4717,2011,Alatna,Interior,Koyukuk River Basin,Plants/Greens/Mushrooms,0.167,0.167,0.167,,,0.0,0.0,Gal.,0.1875,0.0089285718277096,0.1875,0.0005357142654247,2.98320755973691e-05,0.0,0.174756422638893,9.0
4724,1989,Aleknagik,Southwest,Bristol Bay,Fish,0.974,0.921,0.921,0.816,0.868,22305.0,22305.0,lb.,20180.3203125,156.440002441406,20180.3203125,160.616012573242,0.0041245217435061,,,42.0
4843,1989,Aleknagik,Southwest,Bristol Bay,Land Mammals,0.921,0.763,0.711,0.763,0.789,820.0,23288.0,Ind.,741.5,163.330001831055,21069.80078125,177.339859008789,0.0043062926270067,,,42.0
4867,1989,Aleknagik,Southwest,Bristol Bay,Marine Mammals,0.816,0.474,0.263,0.421,0.684,21.0,2171.0,Ind.,19.0,15.2299995422363,1964.0,18.6642150878906,0.0004014497390016,,,42.0
4877,1989,Aleknagik,Southwest,Bristol Bay,Birds and Eggs,0.816,0.711,0.658,0.553,0.553,2007.0,2007.0,lb.,1815.75,14.0799999237061,1815.75,17.2549018859863,0.0003711237513925,,,42.0
4994,1989,Aleknagik,Southwest,Bristol Bay,Plants/Greens/Mushrooms,0.553,0.526,0.526,0.368,0.289,148.0,148.0,Quarts,134.0,1.03999996185303,134.0,1.88065099716187,2.73673704214161e-05,,,42.0
5144,2008,Aleknagik,Southwest,Bristol Bay,Fish,1.0,0.906,0.906,0.656,0.719,6686.0,29537.0,lb.,4552.0,168.993270874023,20110.19921875,168.993270874023,0.570891857147217,,,47.0
5280,2008,Aleknagik,Southwest,Bristol Bay,Land Mammals,0.938,0.594,0.5,0.406,0.75,373.0,11551.0,lb.,254.0,66.0861358642578,7864.25,70.4918746948242,0.223251685500145,,,47.0
5312,2008,Aleknagik,Southwest,Bristol Bay,Marine Mammals,0.563,0.219,0.188,0.344,0.469,16.0,1654.0,lb.,11.0,9.4603967666626,1391.0,16.8184833526611,0.0319590419530869,,,47.0
5325,2008,Aleknagik,Southwest,Bristol Bay,Birds and Eggs,0.875,0.656,0.656,0.469,0.594,4485.0,2207.0,lb.,3053.33325195313,12.6277313232422,1502.69995117188,14.4316930770874,0.042658906430006,,,47.0
5432,2008,Aleknagik,Southwest,Bristol Bay,Plants/Greens/Mushrooms,0.313,0.313,0.313,0.188,0.063,388.0,1551.0,Gal.,264.0,8.87395000457764,1056.0,28.3966388702393,0.029977910220623,,,47.0
5435,1982,Allakaket/Alatna,Interior,Koyukuk River Basin,Fish,,,,,,24187.0,111689.0,Ind.,21706.0,731.630004882813,100233.8984375,,0.0080792382359504,,,39.0
5454,1982,Allakaket/Alatna,Interior,Koyukuk River Basin,Land Mammals,,,,,,2829.0,21666.0,Ind.,2539.0,141.929992675781,19444.0,,0.0015672516310587,,,39.0
5473,1982,Allakaket/Alatna,Interior,Koyukuk River Basin,Birds and Eggs,,,,,,1658.0,3766.0,Ind.,1488.0,24.6700000762939,3379.5,,0.0002724208170548,,,39.0
5485,1983,Allakaket/Alatna,Interior,Koyukuk River Basin,Fish,,,,,,29433.0,108511.0,Ind.,25970.0,583.809997558594,95745.203125,,0.0083840182051062,,,51.0
5533,1983,Allakaket/Alatna,Interior,Koyukuk River Basin,Land Mammals,,,,,,1967.0,15991.0,Ind.,1736.0,86.0299987792969,14109.900390625,,0.0012355322251096,,,51.0
5551,1983,Allakaket/Alatna,Interior,Koyukuk River Basin,Birds and Eggs,,,,,,1780.0,4091.0,Ind.,1571.0,22.0100002288818,3609.30004882813,,0.0003160879714414,,,51.0
5656,1984,Allakaket/Alatna,Interior,Koyukuk River Basin,Fish,,,0.75,,,18736.0,84060.0,Ind.,15506.0,463.779998779297,69566.8984375,,0.0073774373158812,,,58.0
5704,1984,Allakaket/Alatna,Interior,Koyukuk River Basin,Land Mammals,,,,,,1410.0,22868.0,Ind.,1167.0,126.169998168945,18925.5,,0.002006985945627,,,58.0
5722,1984,Allakaket/Alatna,Interior,Koyukuk River Basin,Birds and Eggs,,,,,,2203.0,5428.0,Ind.,1823.0,29.9500007629395,4492.2001953125,,0.0004763827018905,,,58.0
5826,1997,Ambler,Arctic,Kotzebue,Birds and Eggs,,,0.743,,,2405.0,4955.0,Ind.,1093.0,15.0200004577637,2252.330078125,,,,,77.0
6367,2009,Ambler,Arctic,Kotzebue,Land Mammals,0.8,0.78,0.76,0.56,0.46,567.0,64824.0,lb.,423.0,271.775268554688,48376.0,339.719085693359,1.0,545.976745605469,1698.53918457031,67.0
6396,2012,Ambler,Arctic,Kotzebue,Fish,0.924,0.792,0.735,0.584,0.754,59506.3984375,59506.3984375,lb.,41380.19921875,210.649505615234,41380.19921875,227.975646972656,0.349000006914139,,,76.0
6465,2012,Ambler,Arctic,Kotzebue,Land Mammals,0.943,0.735,0.641,0.641,0.773,104682.1015625,104682.1015625,lb.,72591.5,370.568603515625,72591.5,392.9677734375,0.614000022411346,,,76.0
6499,2012,Ambler,Arctic,Kotzebue,Marine Mammals,0.622,0.018,0.018,0.264,0.603,602.200012207031,602.200012207031,lb.,420.0,2.1319797039032,420.0,3.42762017250061,0.003000000026077,,,76.0
6509,2012,Ambler,Arctic,Kotzebue,Birds and Eggs,0.698,0.547,0.509,0.358,0.377,2732.89990234375,2732.89990234375,lb.,1905.90002441406,9.67461967468262,1905.90002441406,13.8604860305786,0.0160000007599592,,,76.0
6703,2012,Ambler,Arctic,Kotzebue,Plants/Greens/Mushrooms,0.264,0.245,0.226,0.094,0.075,387.700012207031,387.700012207031,lb.,270.299987792969,1.37246191501617,270.299987792969,5.19871950149536,0.0020000000949949,,,76.0
6737,1994,Anaktuvuk Pass,Arctic,Eastern North Slope,Fish,,,,,,2033.18395996094,2033.18395996094,lb.,1961.30004882813,7.1090350151062,1961.30004882813,,0.0387336276471615,,,85.0
6745,1994,Anaktuvuk Pass,Arctic,Eastern North Slope,Land Mammals,,,,,,50181.80078125,50181.80078125,lb.,48411.0,175.460845947266,48411.0,,0.955999672412872,,,85.0
6761,1994,Anaktuvuk Pass,Arctic,Eastern North Slope,Birds and Eggs,,,,,,189.257507324219,189.257507324219,lb.,182.570007324219,0.661739528179169,182.570007324219,,0.0036054924130439,,,85.0
6804,1996,Anaktuvuk Pass,Arctic,Eastern North Slope,Fish,,,,,,1938.12182617188,1938.12182617188,lb.,1606.33996582031,6.33373117446899,1606.33996582031,,0.0613259822130203,,,79.0
6814,1996,Anaktuvuk Pass,Arctic,Eastern North Slope,Land Mammals,,,,,,29331.44921875,29331.44921875,lb.,25282.5,95.8544082641602,25282.5,,0.92810469865799,,,79.0
6829,1996,Anaktuvuk Pass,Arctic,Eastern North Slope,Birds and Eggs,,,,,,108.828002929688,108.828002929688,lb.,88.4199981689453,0.355647057294846,88.4199981689453,,0.003443531692028,,,79.0
6861,1998,Anaktuvuk Pass,Arctic,Eastern North Slope,Fish,,,,,,2309.08911132813,2309.08911132813,lb.,2309.08911132813,7.47277975082398,2309.08911132813,,0.0309911388903856,,,90.0
6871,1998,Anaktuvuk Pass,Arctic,Eastern North Slope,Land Mammals,,,,,,70397.5,70397.5,lb.,70397.5,227.823623657227,70397.5,,0.94483095407486,,,90.0
6886,1998,Anaktuvuk Pass,Arctic,Eastern North Slope,Birds and Eggs,,,,,,326.448333740234,326.448333740234,lb.,326.448333740234,1.05646705627441,326.448333740234,,0.0043813842348754,,,90.0
6939,1999,Anaktuvuk Pass,Arctic,Eastern North Slope,Fish,,,,,,3338.71997070313,3338.71997070313,lb.,2844.30004882813,10.6328659057617,2844.30004882813,,0.0667706355452538,,,80.0
6947,1999,Anaktuvuk Pass,Arctic,Eastern North Slope,Land Mammals,,,,,,45746.3984375,45746.3984375,lb.,42556.0,145.689178466797,42556.0,,0.914876461029053,,,80.0
6955,1999,Anaktuvuk Pass,Arctic,Eastern North Slope,Birds and Eggs,,,,,,84.7975006103516,84.7975006103516,lb.,66.875,0.270055741071701,66.875,,0.0016958544729277,,,80.0
6973,2000,Anaktuvuk Pass,Arctic,Eastern North Slope,Fish,,,,,,3345.30004882813,7155.10009765625,lb.,1314.0,25.3726959228516,2002.90002441406,,0.065276712179184,,,93.0
6981,2000,Anaktuvuk Pass,Arctic,Eastern North Slope,Land Mammals,,,,,,740.200012207031,101713.203125,lb.,255.0,360.685119628906,35726.0,,0.92793995141983,,,93.0
6986,2000,Anaktuvuk Pass,Arctic,Eastern North Slope,Birds and Eggs,,,,,,79.5,190.535003662109,lb.,12.0,0.675656020641327,28.7600002288818,,0.00173827027902,,,93.0
7017,2001,Anaktuvuk Pass,Arctic,Eastern North Slope,Fish,,,,,,5060.35009765625,5060.35009765625,lb.,1861.21997070313,16.7561264038086,1861.21997070313,,0.107248164713383,,,89.0
7025,2001,Anaktuvuk Pass,Arctic,Eastern North Slope,Land Mammals,,,,,,41169.5,41169.5,lb.,15559.5,136.322845458984,15559.5,,0.872539103031158,,,89.0
7034,2001,Anaktuvuk Pass,Arctic,Eastern North Slope,Birds and Eggs,,,,,,77.3079986572266,77.3079986572266,lb.,26.9500007629395,0.255986750125885,26.9500007629395,,0.0016384520567953,,,89.0
7050,2002,Anaktuvuk Pass,Arctic,Eastern North Slope,Fish,,,,,,1773.96997070313,1773.96997070313,lb.,1551.80004882813,5.75964307785034,1551.80004882813,,0.0275907330214977,,,89.0
7061,2002,Anaktuvuk Pass,Arctic,Eastern North Slope,Land Mammals,,,,,,62083.94921875,62083.94921875,lb.,57309.0,201.571273803711,57309.0,,0.965597927570343,,,89.0
7075,2002,Anaktuvuk Pass,Arctic,Eastern North Slope,Birds and Eggs,,,,,,245.542755126953,245.542755126953,lb.,186.429992675781,0.797216713428497,186.429992675781,,0.0038189510814845,,,89.0
7153,2011,Anaktuvuk Pass,Arctic,Eastern North Slope,Fish,0.887,0.806,0.71,0.597,0.694,5789.0,5789.0,lb.,4160.51708984375,18.6837215423584,4160.51708984375,21.0616493225098,0.0589836128056049,37.1820030212402,75.0944595336914,85.0
7281,2011,Anaktuvuk Pass,Arctic,Eastern North Slope,Land Mammals,0.952,0.629,0.532,0.581,0.823,89920.0,89920.0,lb.,65588.5,290.214599609375,65588.5,304.971252441406,0.916193604469299,801.368591308594,801.368591308594,85.0
7321,2011,Anaktuvuk Pass,Arctic,Eastern North Slope,Marine Mammals,0.597,0.016,,0.274,0.597,,,lb.,0.0,,,,,0.0,0.0,85.0
7342,2011,Anaktuvuk Pass,Arctic,Eastern North Slope,Birds and Eggs,0.452,0.306,0.258,0.226,0.29,432.0,432.0,lb.,315.100006103516,1.39424777030945,315.100006103516,3.0872631072998,0.0044015734456479,0.851859271526337,7.6667332649231,85.0
