,year,commname,adj_households_in_community,relying_on_substinence,BoroughCensusArea,sqMiLand,sqMiWater,resource,using,trying,harvesting,giving,receving,units_harvested,pounds_harvested,harv_mes_units,units_harvested_by_sample,lbs_harvested_percapita,lbs_harvested_by_sample,lbs_used_percapita,perc_contribution_to_harvest,labor_force,employed,unemployed,unemployment_rate,median_age,n_families,median_family_income,n_households,n_houses,n_occupied_houses,house_vacancy_rate,n_total_population(ACS),p_people_below_poverty,p_households_below_poverty,p_population_native,p_population_non_native,p_population_white,p_population_black,p_population_asian,ratio_male_over_female,local_tax_burden,federal_tax_burden,Gini,AGI,pop_density
2749,2011,Dry Creek,30.0,YES,Southeast Fairbanks Census Area,,,Birds and Eggs,0.37,0.37,0.333,0.037,0.074,129.0,129.0,lb.,113.433486938477,1.41654348373413,113.433486938477,3.82466745376587,0.0101107014343143,3194.0,2789.0,405.0,12.7,36.5,1747.0,8652.0,2523.0,3873.0,2523.0,34.856700232378,7000.0,,5.469678953626635,9.1,90.9,81.24285714285713,2.3285714285714283,0.8999999999999999,1.2335673261008295,0.001937085801161,0.0142170357891276,0.3028331216654724,2861820.0,
168,2011,Anvik,32.0,YES,Yukon-Koyukuk Census Area,9.5,2.4,Birds and Eggs,0.708,0.458,0.458,0.208,0.333,760.0,1127.6533203125,,570.0,12.8142423629761,845.739990234375,18.0915470123291,0.0328000001609325,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,590.8421052631579
2682,2011,Wiseman,5.0,YES,Yukon-Koyukuk Census Area,,,Fish,1.0,0.8,0.8,0.6,1.0,323.0,323.0,lb.,323.381988525391,24.8755378723145,323.381988525391,24.8755378723145,0.0846881866455078,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,
2755,2011,Evansville,13.0,YES,Yukon-Koyukuk Census Area,0.0,0.0,Plants/Greens/Mushrooms,0.077,0.077,0.077,,,0.0,0.0,Gal.,0.0625,0.0031250000465661,0.0625,0.0004062500083819,5.91600073676091e-05,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,
2754,2011,Evansville,13.0,YES,Yukon-Koyukuk Census Area,0.0,0.0,Birds and Eggs,0.615,0.462,0.385,0.308,0.385,31.0,31.0,lb.,31.2999992370606,1.56500005722046,31.2999992370606,2.54312515258789,0.0296273324638605,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,
2753,2011,Evansville,13.0,YES,Yukon-Koyukuk Census Area,0.0,0.0,Marine Mammals,0.231,,,,0.231,,,lb.,0.0,,,,,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,
2683,2011,Wiseman,5.0,YES,Yukon-Koyukuk Census Area,,,Land Mammals,1.0,0.8,0.6,0.6,0.6,2906.0,2906.0,lb.,2905.5,223.5,2905.5,223.5,0.760900497436523,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,
169,2011,Anvik,32.0,YES,Yukon-Koyukuk Census Area,9.5,2.4,Plants/Greens/Mushrooms,0.417,0.417,0.292,0.042,0.0,124.321159362793,29.8933334350586,,89.9800033569336,0.339696973562241,22.4200000762939,0.0081527270376682,0.0009000000427477,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,590.8421052631579
166,2011,Anvik,32.0,YES,Yukon-Koyukuk Census Area,9.5,2.4,Land Mammals,0.875,0.75,0.5,0.292,0.583,453.333343505859,9620.0,,340.0,109.318183898926,7215.0,124.935066223145,0.279599994421005,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,590.8421052631579
165,2011,Anvik,32.0,YES,Yukon-Koyukuk Census Area,9.5,2.4,Fish,1.0,0.833,0.833,0.458,0.5,3767.3623046875,23458.017578125,,2783.0,266.568389892578,17204.80859375,266.568389892578,0.681900024414063,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,590.8421052631579
