Quarter,Area,"Number of Loans","Average Loan","Total Loan","% Loan Volume","Average Sales Price","Total Sales Volume","% Market Value"
2017Q4,"Statewide Total",1497,283708,424711378,100.0,324135,485230227,100.0
2017YR,Anchorage,2425,330493,801446158,48.4,375424,910404364,48.8
2017YR,Matanuska-Susitna,1119,258399,289148419,17.4,286155,320207234,17.2
2017YR,"Fairbanks North Star",671,231100,155068350,9.4,252961,169737011,9.1
2017YR,"Kenai Peninsula",629,237477,149373232,9.0,270377,170067384,9.1
2017YR,Juneau,219,351249,76923597,4.6,394909,86485018,4.6
2017YR,"Ketchikan Gateway",71,263731,18724893,1.1,299389,21256600,1.1
2017YR,"Kodiak Island",82,278072,22801875,1.4,315329,25856965,1.4
2017YR,Bethel,11,298875,3287630,.2,320591,3526500,.2
2017YR,"Rest of State",536,261893,140374631,8.5,292112,156572156,8.4
2017YR,"Statewide Total",5763,287550,1657148785,100.0,323462,1864113232,100.0
2016Q1,Anchorage,516,341205,176062025,48.2,381800,197008644,48.7
2016Q1,Matanuska-Susitna,265,263054,69709407,19.1,288038,76330013,18.9
2016Q1,"Fairbanks North Star",118,229128,27037097,7.4,252840,29835118,7.4
2016Q1,"Kenai Peninsula",150,237784,35667632,9.8,264626,39693930,9.8
2016Q1,Juneau,54,335000,18090025,5.0,363398,19623518,4.9
2016Q1,"Ketchikan Gateway",15,253914,3808711,1.0,270133,4052000,1.0
2016Q1,"Kodiak Island",23,232848,5355500,1.5,255922,5886200,1.5
2016Q1,Bethel,3,242513,727538,.2,261667,785000,.2
2016Q1,"Rest of State",114,250771,28587858,7.8,273729,31205069,7.7
2016Q1,"Statewide Total",1258,290179,365045793,100.0,321478,404419492,100.0
2016Q2,Anchorage,687,342940,235600091,44.8,388216,266704720,45.5
2016Q2,Matanuska-Susitna,350,274697,96143775,18.3,295447,103406608,17.7
2016Q2,"Fairbanks North Star",231,241090,55691693,10.6,271246,62657751,10.7
2016Q2,"Kenai Peninsula",206,242135,49879873,9.5,268789,55370579,9.5
2016Q2,Juneau,66,332758,21962059,4.2,374932,24745500,4.2
2016Q2,"Ketchikan Gateway",18,321971,5795482,1.1,375111,6751999,1.2
2016Q2,"Kodiak Island",33,286121,9441989,1.8,299117,9870875,1.7
2016Q2,Bethel,3,164467,493400,.1,196667,590000,.1
2016Q2,"Rest of State",192,265586,50992525,9.7,289642,55611195,9.5
2016Q2,"Statewide Total",1786,294513,526000887,100.0,327945,585709227,100.0
2016Q3,Anchorage,777,343530,266922456,47.3,380288,295483470,47.6
2016Q3,Matanuska-Susitna,392,250036,98014305,17.4,269462,105629193,17.0
2016Q3,"Fairbanks North Star",242,234800,56821587,10.1,253506,61348469,9.9
2016Q3,"Kenai Peninsula",200,246161,49232268,8.7,280086,56017146,9.0
2016Q3,Juneau,97,340583,33036572,5.9,377635,36630599,5.9
2016Q3,"Ketchikan Gateway",15,276537,4148061,.7,338600,5079000,.8
2016Q3,"Kodiak Island",39,308731,12040525,2.1,327311,12765120,2.1
2016Q3,Bethel,1,316000,316000,.1,395000,395000,.1
2016Q3,"Rest of State",172,255176,43890190,7.8,277824,47785691,7.7
2016Q3,"Statewide Total",1935,291691,564421964,100.0,320999,621133688,100.0
2016Q4,Anchorage,652,337517,220060989,49.7,385038,251044848,50.4
2016Q4,Matanuska-Susitna,292,254630,74351833,16.8,282590,82516303,16.6
2016Q4,"Fairbanks North Star",167,228715,38195354,8.6,248265,41460291,8.3
2016Q4,"Kenai Peninsula",175,232590,40703302,9.2,262150,45876200,9.2
2016Q4,Juneau,62,330270,20476763,4.6,372262,23080250,4.6
2016Q4,"Ketchikan Gateway",14,269421,3771893,.9,294839,4127750,.8
2016Q4,"Kodiak Island",19,298138,5664622,1.3,319206,6064923,1.2
2016Q4,Bethel,5,190374,951872,.2,220400,1102000,.2
2016Q4,"Rest of State",147,264312,38853927,8.8,290893,42761289,8.6
2016Q4,"Statewide Total",1533,288996,443030555,100.0,324875,498033854,100.0
2016YR,Anchorage,2632,341431,898645561,47.3,383830,1010241682,47.9
2016YR,Matanuska-Susitna,1299,260369,338219320,17.8,283204,367882117,17.4
2016YR,"Fairbanks North Star",758,234493,177745731,9.4,257654,195301629,9.3
2016YR,"Kenai Peninsula",731,240059,175483075,9.2,269436,196957855,9.3
2016YR,Juneau,279,335360,93565419,4.9,373046,104079867,4.9
2016YR,"Ketchikan Gateway",62,282648,17524147,.9,322754,20010749,.9
2016YR,"Kodiak Island",114,285111,32502636,1.7,303396,34587118,1.6
2016YR,Bethel,12,207401,2488810,.1,239333,2872000,.1
2016YR,"Rest of State",625,259719,162324500,8.6,283781,177363244,8.4
2016YR,"Statewide Total",6512,291539,1898499199,100.0,323909,2109296261,100.0
2015Q1,Anchorage,621,322512,200280228,52.0,361983,224791382,52.6
2015Q1,Matanuska-Susitna,279,255055,71160480,18.5,275262,76798038,18.0
2015Q1,"Fairbanks North Star",130,216375,28128775,7.3,232339,30204040,7.1
2015Q1,"Kenai Peninsula",147,226205,33252094,8.6,260510,38294912,9.0
2015Q1,Juneau,67,317631,21281271,5.5,349759,23433825,5.5
2015Q1,"Ketchikan Gateway",15,260333,3904991,1.0,284200,4263000,1.0
2015Q1,"Kodiak Island",18,272455,4904191,1.3,284722,5125000,1.2
2015Q1,Bethel,0,,0,.0,,0,.0
2015Q1,"Rest of State",90,243231,21890776,5.7,268652,24178639,5.7
2015Q1,"Statewide Total",1367,281494,384802806,100.0,312428,427088836,100.0
2015Q2,Anchorage,890,333214,296560901,50.0,376751,335308610,50.7
2015Q2,Matanuska-Susitna,411,253813,104317100,17.6,275208,113110600,17.1
2015Q2,"Fairbanks North Star",218,219450,47840019,8.1,243632,53111745,8.0
2015Q2,"Kenai Peninsula",193,234975,45350182,7.7,270026,52115113,7.9
2015Q2,Juneau,96,329801,31660928,5.3,357616,34331111,5.2
2015Q2,"Ketchikan Gateway",15,221875,3328130,.6,252093,3781400,.6
2015Q2,"Kodiak Island",44,328467,14452567,2.4,346489,15245500,2.3
2015Q2,Bethel,16,246539,3944624,.7,271688,4347000,.7
2015Q2,"Rest of State",175,258441,45227261,7.6,284894,49856372,7.5
2015Q2,"Statewide Total",2058,287989,592681712,100.0,321286,661207451,100.0
2015Q3,Anchorage,888,334724,297234487,47.8,377538,335253499,48.8
2015Q3,Matanuska-Susitna,460,253215,116478972,18.7,274808,126411893,18.4
2015Q3,"Fairbanks North Star",244,245608,59928393,9.6,266964,65139115,9.5
2015Q3,"Kenai Peninsula",235,224359,52724451,8.5,246441,57913537,8.4
2015Q3,Juneau,81,344648,27916502,4.5,380368,30809830,4.5
2015Q3,"Ketchikan Gateway",13,292065,3796848,.6,325038,4225500,.6
2015Q3,"Kodiak Island",36,285923,10293241,1.7,300583,10821000,1.6
2015Q3,Bethel,2,260825,521649,.1,312500,625000,.1
2015Q3,"Rest of State",203,260638,52909603,8.5,275334,55892756,8.1
2015Q3,"Statewide Total",2162,287606,621804146,100.0,317804,687092130,100.0
2015Q4,Anchorage,733,325063,238270834,49.0,365545,267944316,49.5
2015Q4,Matanuska-Susitna,363,248689,90273958,18.6,270604,98229382,18.2
2015Q4,"Fairbanks North Star",168,225540,37890727,7.8,243166,40851916,7.5
2015Q4,"Kenai Peninsula",193,219159,42297682,8.7,251484,48536464,9.0
2015Q4,Juneau,60,339223,20353400,4.2,372009,22320558,4.1
2015Q4,"Ketchikan Gateway",13,229264,2980432,.6,269915,3508900,.6
2015Q4,"Kodiak Island",28,279668,7830705,1.6,300111,8403111,1.6
2015Q4,Bethel,0,,0,.0,,0,.0
2015Q4,"Rest of State",195,237312,46275856,9.5,263253,51334276,9.5
2015Q4,"Statewide Total",1753,277338,486173594,100.0,308687,541128923,100.0
2015YR,Anchorage,3132,329613,1032346450,49.5,371423,1163297807,50.2
2015YR,Matanuska-Susitna,1513,252631,382230510,18.3,273992,414549913,17.9
2015YR,"Fairbanks North Star",760,228668,173787914,8.3,249088,189306816,8.2
2015YR,"Kenai Peninsula",768,226073,173624409,8.3,256328,196860026,8.5
2015YR,Juneau,304,332935,101212101,4.9,364787,110895324,4.8
2015YR,"Ketchikan Gateway",56,250186,14010401,.7,281764,15778800,.7
2015YR,"Kodiak Island",126,297466,37480704,1.8,314243,39594611,1.7
2015YR,Bethel,18,248126,4466273,.2,276222,4972000,.2
2015YR,"Rest of State",663,250835,166303496,8.0,273397,181262043,7.8
2015YR,"Statewide Total",7340,284123,2085462258,100.0,315602,2316517340,100.0
2014Q1,Anchorage,631,308424,194615559,53.9,350777,221340595,54.0
2014Q1,Matanuska-Susitna,271,219855,59580590,16.5,245428,66511118,16.2
2014Q1,"Fairbanks North Star",134,211865,28389941,7.9,238913,32014322,7.8
2014Q1,"Kenai Peninsula",136,196826,26768305,7.4,228033,31012542,7.6
2014Q1,Juneau,59,295623,17441759,4.8,338644,19979975,4.9
2014Q1,"Ketchikan Gateway",19,259762,4935478,1.4,292212,5552028,1.4
2014Q1,"Kodiak Island",18,253016,4554291,1.3,292000,5256000,1.3
2014Q1,Bethel,10,311601,3116013,.9,338100,3381000,.8
2014Q1,"Rest of State",103,210715,21703648,6.0,239790,24698420,6.0
2014Q1,"Statewide Total",1381,261481,361105584,100.0,296702,409746000,100.0
2014Q2,Anchorage,938,326110,305891267,53.5,368269,345436358,54.2
2014Q2,Matanuska-Susitna,391,235988,92271335,16.1,252149,98590084,15.5
2014Q2,"Fairbanks North Star",260,232182,60367240,10.6,255156,66340633,10.4
2014Q2,"Kenai Peninsula",209,221391,46270736,8.1,249851,52218877,8.2
2014Q2,Juneau,80,320156,25612514,4.5,363396,29071701,4.6
2014Q2,"Ketchikan Gateway",21,249822,5246252,.9,290583,6102240,1.0
2014Q2,"Kodiak Island",32,265297,8489496,1.5,310406,9933000,1.6
2014Q2,Bethel,5,183137,915684,.2,194200,971000,.2
2014Q2,"Rest of State",112,235428,26367926,4.6,259806,29098239,4.6
2014Q2,"Statewide Total",2048,279020,571432450,100.0,311407,637762132,100.0
2014Q3,Anchorage,1103,319168,352042481,52.0,364112,401615912,52.8
2014Q3,Matanuska-Susitna,511,242465,123899500,18.3,265330,135583626,17.8
2014Q3,"Fairbanks North Star",313,225327,70527216,10.4,242542,75915758,10.0
2014Q3,"Kenai Peninsula",241,223603,53888248,8.0,255296,61526432,8.1
2014Q3,Juneau,111,309635,34369499,5.1,352277,39102800,5.1
2014Q3,"Ketchikan Gateway",19,248913,4729344,.7,263723,5010737,.7
2014Q3,"Kodiak Island",46,269060,12376744,1.8,292174,13440000,1.8
2014Q3,Bethel,12,272217,3266599,.5,294250,3531000,.5
2014Q3,"Rest of State",102,217267,22161233,3.3,247475,25242499,3.3
2014Q3,"Statewide Total",2458,275533,677260864,100.0,309589,760968764,100.0
2014Q4,Anchorage,799,316792,253117089,50.2,356092,284517901,50.6
2014Q4,Matanuska-Susitna,383,237089,90805110,18.0,256162,98109950,17.5
2014Q4,"Fairbanks North Star",198,220850,43728317,8.7,242670,48048705,8.6
2014Q4,"Kenai Peninsula",228,219292,49998648,9.9,246743,56257446,10.0
2014Q4,Juneau,87,312708,27205602,5.4,352602,30676363,5.5
2014Q4,"Ketchikan Gateway",17,234819,3991924,.8,259515,4411750,.8
2014Q4,"Kodiak Island",46,260249,11971472,2.4,281222,12936195,2.3
2014Q4,Bethel,7,231530,1620709,.3,240286,1682000,.3
2014Q4,"Rest of State",93,234615,21819162,4.3,270728,25177684,4.5
2014Q4,"Statewide Total",1858,271398,504258033,100.0,302378,561817994,100.0
2014YR,Anchorage,3471,318544,1105666396,52.3,360965,1252910766,52.9
2014YR,Matanuska-Susitna,1556,235576,366556535,17.3,256295,398794778,16.8
2014YR,"Fairbanks North Star",905,224323,203012714,9.6,245657,222319418,9.4
2014YR,"Kenai Peninsula",814,217354,176925937,8.4,246948,201015297,8.5
2014YR,Juneau,337,310473,104629374,4.9,352614,118830839,5.0
2014YR,"Ketchikan Gateway",76,248724,18902998,.9,277326,21076755,.9
2014YR,"Kodiak Island",142,263324,37392003,1.8,292713,41565195,1.8
2014YR,Bethel,34,262324,8919005,.4,281324,9565000,.4
2014YR,"Rest of State",410,224517,92051969,4.4,254187,104216842,4.4
2014YR,"Statewide Total",7745,272958,2114056931,100.0,306042,2370294890,100.0
2013Q1,Anchorage,654,298980,195533232,55.6,331989,217120899,55.5
2013Q1,Matanuska-Susitna,245,230984,56591136,16.1,254284,62299466,15.9
2013Q1,"Fairbanks North Star",145,213260,30922764,8.8,239090,34668115,8.9
2013Q1,"Kenai Peninsula",120,207142,24857036,7.1,232665,27919752,7.1
2013Q1,Juneau,68,298057,20267881,5.8,322172,21907700,5.6
2013Q1,"Ketchikan Gateway",11,241510,2656615,.8,263000,2893000,.7
2013Q1,"Kodiak Island",20,285745,5714907,1.6,320874,6417473,1.6
2013Q1,Bethel,4,268668,1074670,.3,289500,1158000,.3
2013Q1,"Rest of State",66,217695,14367849,4.1,252522,16666483,4.3
2013Q1,"Statewide Total",1333,264056,351986090,100.0,293362,391050888,100.0
2013Q2,Anchorage,1000,311556,311555600,56.0,346534,346533767,56.5
2013Q2,Matanuska-Susitna,362,233024,84354567,15.2,249328,90256773,14.7
2013Q2,"Fairbanks North Star",223,230865,51482907,9.2,252852,56385971,9.2
2013Q2,"Kenai Peninsula",177,214317,37934107,6.8,239469,42386064,6.9
2013Q2,Juneau,109,317250,34580264,6.2,350681,38224208,6.2
2013Q2,"Ketchikan Gateway",22,314675,6922859,1.2,357000,7854000,1.3
2013Q2,"Kodiak Island",29,278587,8079021,1.5,300552,8716000,1.4
2013Q2,Bethel,8,240577,1924614,.3,270625,2165000,.4
2013Q2,"Rest of State",90,219431,19748813,3.5,235693,21212325,3.5
2013Q2,"Statewide Total",2020,275536,556582752,100.0,303829,613734108,100.0
2013Q3,Anchorage,1235,318268,393060462,55.8,360033,444641152,56.5
2013Q3,Matanuska-Susitna,440,240309,105735780,15.0,259397,114134860,14.5
2013Q3,"Fairbanks North Star",303,234077,70925422,10.1,253341,76762224,9.7
2013Q3,"Kenai Peninsula",229,203402,46579113,6.6,236374,54129697,6.9
2013Q3,Juneau,129,316442,40821068,5.8,357397,46104178,5.9
2013Q3,"Ketchikan Gateway",22,271021,5962465,.8,300227,6605000,.8
2013Q3,"Kodiak Island",44,270274,11892039,1.7,285875,12578500,1.6
2013Q3,Bethel,10,193512,1935124,.3,226000,2260000,.3
2013Q3,"Rest of State",127,214615,27256140,3.9,237803,30200954,3.8
2013Q3,"Statewide Total",2539,277341,704167613,100.0,310129,787416565,100.0
2013Q4,Anchorage,1051,304863,320411212,56.6,343540,361060191,56.9
2013Q4,Matanuska-Susitna,422,240478,101481833,17.9,260953,110122361,17.4
2013Q4,"Fairbanks North Star",227,217291,49325055,8.7,241069,54722572,8.6
2013Q4,"Kenai Peninsula",173,210478,36412673,6.4,242764,41998209,6.6
2013Q4,Juneau,81,301814,24446958,4.3,357023,28918900,4.6
2013Q4,"Ketchikan Gateway",14,283094,3963318,.7,338602,4740432,.7
2013Q4,"Kodiak Island",23,294044,6763020,1.2,323717,7445500,1.2
2013Q4,Bethel,11,202061,2222675,.4,228291,2511198,.4
2013Q4,"Rest of State",99,209851,20775277,3.7,233986,23164631,3.6
2013Q4,"Statewide Total",2101,269301,565802021,100.0,302087,634683994,100.0
2013YR,Anchorage,3940,309787,1220560506,56.0,347552,1369356009,56.4
2013YR,Matanuska-Susitna,1469,237007,348163316,16.0,256510,376813460,15.5
2013YR,"Fairbanks North Star",898,225675,202656148,9.3,247816,222538882,9.2
2013YR,"Kenai Peninsula",699,208559,145782929,6.7,238103,166433722,6.9
2013YR,Juneau,387,310378,120116171,5.5,349238,135154986,5.6
2013YR,"Ketchikan Gateway",69,282685,19505257,.9,320180,22092432,.9
2013YR,"Kodiak Island",116,279733,32448987,1.5,303082,35157473,1.4
2013YR,Bethel,33,216881,7157083,.3,245279,8094198,.3
2013YR,"Rest of State",382,215047,82148079,3.8,238860,91244393,3.8
2013YR,"Statewide Total",7993,272556,2178538476,100.0,303626,2426885555,100.0
2012Q1,Anchorage,569,279249,158892765,54.7,317456,180632520,55.5
2012Q1,Matanuska-Susitna,209,218701,45708429,15.7,238793,49907774,15.3
2012Q1,"Fairbanks North Star",157,217865,34204765,11.8,231177,36294724,11.1
2012Q1,"Kenai Peninsula",112,194884,21827006,7.5,223755,25060551,7.7
2012Q1,Juneau,40,257678,10307124,3.6,285950,11437980,3.5
2012Q1,"Ketchikan Gateway",16,226404,3622465,1.2,241509,3864150,1.2
2012Q1,"Kodiak Island",10,288895,2888954,1.0,400000,4000000,1.2
2012Q1,Bethel,3,231000,693000,.2,231667,695000,.2
2012Q1,"Rest of State",59,205329,12114395,4.2,232582,13722320,4.2
2012Q1,"Statewide Total",1175,247029,290258903,100.0,277119,325615019,100.0
2012Q2,Anchorage,808,310628,250987138,51.9,344409,278282749,52.1
2012Q2,Matanuska-Susitna,317,224275,71095236,14.7,252319,79985154,15.0
2012Q2,"Fairbanks North Star",276,225610,62268393,12.9,232718,64230139,12.0
2012Q2,"Kenai Peninsula",173,219032,37892585,7.8,257246,44503575,8.3
2012Q2,Juneau,82,321342,26350019,5.5,353570,28992775,5.4
2012Q2,"Ketchikan Gateway",22,282425,6213356,1.3,312409,6873000,1.3
2012Q2,"Kodiak Island",34,287915,9789104,2.0,308128,10476350,2.0
2012Q2,Bethel,6,295822,1774934,.4,325000,1950000,.4
2012Q2,"Rest of State",78,214891,16761487,3.5,242431,18909629,3.5
2012Q2,"Statewide Total",1796,269005,483132252,100.0,297441,534203371,100.0
2012Q3,Anchorage,1045,307941,321797853,55.3,343774,359243844,55.4
2012Q3,Matanuska-Susitna,374,223801,83701714,14.4,244507,91445583,14.1
2012Q3,"Fairbanks North Star",301,228452,68763944,11.8,244492,73592087,11.4
2012Q3,"Kenai Peninsula",177,219511,38853469,6.7,254907,45118620,7.0
2012Q3,Juneau,95,318140,30223270,5.2,360674,34264000,5.3
2012Q3,"Ketchikan Gateway",22,246653,5426356,.9,275114,6052500,.9
2012Q3,"Kodiak Island",22,285558,6282272,1.1,307532,6765700,1.0
2012Q3,Bethel,10,243913,2439131,.4,267400,2674000,.4
2012Q3,"Rest of State",113,218788,24723078,4.2,258065,29161345,4.5
2012Q3,"Statewide Total",2159,269667,582211087,100.0,300286,648317679,100.0
2012Q4,Anchorage,982,309904,304326022,55.0,345603,339381826,55.2
2012Q4,Matanuska-Susitna,389,230689,89738023,16.2,255475,99379873,16.2
2012Q4,"Fairbanks North Star",262,221996,58163064,10.5,239035,62627227,10.2
2012Q4,"Kenai Peninsula",177,206010,36463695,6.6,231057,40897131,6.6
2012Q4,Juneau,94,312001,29328128,5.3,339326,31896662,5.2
2012Q4,"Ketchikan Gateway",19,236165,4487133,.8,284618,5407750,.9
2012Q4,"Kodiak Island",28,232941,6522343,1.2,293839,8227501,1.3
2012Q4,Bethel,5,289412,1447058,.3,308000,1540000,.3
2012Q4,"Rest of State",102,224960,22945958,4.1,253194,25825815,4.2
2012Q4,"Statewide Total",2058,268912,553421424,100.0,298923,615183785,100.0
2012YR,Anchorage,3404,304349,1036003778,54.3,340053,1157540939,54.5
2012YR,Matanuska-Susitna,1289,225169,290243402,15.2,248812,320718384,15.1
2012YR,"Fairbanks North Star",996,224297,223400166,11.7,237695,236744177,11.1
2012YR,"Kenai Peninsula",639,211325,135036755,7.1,243474,155579877,7.3
2012YR,Juneau,311,309352,96208541,5.0,342738,106591417,5.0
2012YR,"Ketchikan Gateway",79,249991,19749310,1.0,280980,22197400,1.0
2012YR,"Kodiak Island",94,271092,25482673,1.3,313506,29469551,1.4
2012YR,Bethel,24,264755,6354123,.3,285792,6859000,.3
2012YR,"Rest of State",352,217457,76544918,4.0,248918,87619109,4.1
2012YR,"Statewide Total",7188,265585,1909023666,100.0,295398,2123319854,100.0
2011Q1,Anchorage,542,290229,157304147,51.7,330725,179253154,52.6
2011Q1,Matanuska-Susitna,241,218293,52608595,17.3,234723,56568315,16.6
2011Q1,"Fairbanks North Star",183,220254,40306467,13.3,233939,42810784,12.6
2011Q1,"Kenai Peninsula",106,193105,20469124,6.7,221343,23462365,6.9
2011Q1,Juneau,47,286208,13451761,4.4,336521,15816499,4.6
2011Q1,"Ketchikan Gateway",7,271500,1900503,.6,291914,2043400,.6
2011Q1,"Kodiak Island",25,270192,6754812,2.2,300379,7509472,2.2
2011Q1,Bethel,3,245437,736310,.2,244000,732000,.2
2011Q1,"Rest of State",57,184902,10539421,3.5,223496,12739288,3.7
2011Q1,"Statewide Total",1211,251091,304071140,100.0,281532,340935277,100.0
2011Q2,Anchorage,766,292459,224023792,52.5,329999,252779523,53.2
2011Q2,Matanuska-Susitna,328,220799,72421925,17.0,231637,75976781,16.0
2011Q2,"Fairbanks North Star",203,227060,46093257,10.8,242806,49289671,10.4
2011Q2,"Kenai Peninsula",177,200425,35475211,8.3,226397,40072340,8.4
2011Q2,Juneau,83,286537,23782542,5.6,329951,27385894,5.8
2011Q2,"Ketchikan Gateway",15,257990,3869849,.9,334467,5017000,1.1
2011Q2,"Kodiak Island",30,280017,8400498,2.0,312947,9388400,2.0
2011Q2,Bethel,10,214922,2149216,.5,235691,2356909,.5
2011Q2,"Rest of State",51,210308,10725711,2.5,252774,12891492,2.7
2011Q2,"Statewide Total",1663,256730,426942001,100.0,285723,475158010,100.0
2011Q3,Anchorage,830,292014,242371699,51.3,328842,272938622,52.0
2011Q3,Matanuska-Susitna,356,215685,76783795,16.3,236873,84326877,16.1
2011Q3,"Fairbanks North Star",287,217161,62325099,13.2,232283,66665093,12.7
2011Q3,"Kenai Peninsula",174,205081,35684060,7.6,231557,40290998,7.7
2011Q3,Juneau,92,299589,27562189,5.8,320470,29483216,5.6
2011Q3,"Ketchikan Gateway",12,253808,3045694,.6,267250,3207000,.6
2011Q3,"Kodiak Island",28,234575,6568110,1.4,276290,7736120,1.5
2011Q3,Bethel,4,212082,848329,.2,246500,986000,.2
2011Q3,"Rest of State",81,211515,17132735,3.6,233839,18940979,3.6
2011Q3,"Statewide Total",1864,253391,472321710,100.0,281424,524574905,100.0
2011Q4,Anchorage,740,303825,224830659,54.0,325900,241165952,54.2
2011Q4,Matanuska-Susitna,317,218154,69154728,16.6,228063,72295872,16.2
2011Q4,"Fairbanks North Star",202,219024,44242900,10.6,231393,46741395,10.5
2011Q4,"Kenai Peninsula",135,206240,27842361,6.7,221111,29850003,6.7
2011Q4,Juneau,74,280558,20761317,5.0,301911,22341415,5.0
2011Q4,"Ketchikan Gateway",13,232508,3022601,.7,245387,3190028,.7
2011Q4,"Kodiak Island",28,241696,6767475,1.6,280134,7843762,1.8
2011Q4,Bethel,9,227921,2051288,.5,235722,2121500,.5
2011Q4,"Rest of State",81,216412,17529384,4.2,239741,19419005,4.4
2011Q4,"Statewide Total",1599,260289,416202713,100.0,278280,444968932,100.0
2011YR,Anchorage,2878,294833,848530297,52.4,328748,946137251,53.0
2011YR,Matanuska-Susitna,1242,218172,270969043,16.7,232824,289167845,16.2
2011YR,"Fairbanks North Star",875,220535,192967723,11.9,234865,205506943,11.5
2011YR,"Kenai Peninsula",592,201809,119470756,7.4,225804,133675706,7.5
2011YR,Juneau,296,289047,85557809,5.3,321037,95027024,5.3
2011YR,"Ketchikan Gateway",47,251886,11838647,.7,286328,13457428,.8
2011YR,"Kodiak Island",111,256675,28490895,1.8,292592,32477754,1.8
2011YR,Bethel,26,222506,5785143,.4,238323,6196409,.3
2011YR,"Rest of State",270,207138,55927251,3.5,237003,63990764,3.6
2011YR,"Statewide Total",6337,255568,1619537564,100.0,281780,1785637124,100.0
2010Q1,Anchorage,615,277852,170878904,49.1,318896,196120801,49.7
2010Q1,Matanuska-Susitna,309,217888,67327331,19.3,239572,74027599,18.7
2010Q1,"Fairbanks North Star",170,217311,36942920,10.6,233564,39705827,10.1
2010Q1,"Kenai Peninsula",162,196403,31817206,9.1,233130,37767121,9.6
2010Q1,Juneau,76,273274,20768823,6.0,313516,23827200,6.0
2010Q1,"Ketchikan Gateway",11,282221,3104431,.9,308545,3394000,.9
2010Q1,"Kodiak Island",26,282976,7357386,2.1,303577,7893000,2.0
2010Q1,Bethel,0,,0,.0,,0,.0
2010Q1,"Rest of State",52,192560,10013130,2.9,234981,12219000,3.1
2010Q1,"Statewide Total",1421,245046,348210131,100.0,277941,394954548,100.0
2010Q2,Anchorage,994,290354,288612303,53.8,331777,329786023,54.5
2010Q2,Matanuska-Susitna,434,219641,95324051,17.8,239317,103863469,17.2
2010Q2,"Fairbanks North Star",293,214216,62765245,11.7,234490,68705498,11.4
2010Q2,"Kenai Peninsula",180,188584,33945097,6.3,220422,39675882,6.6
2010Q2,Juneau,95,266997,25364718,4.7,301911,28681530,4.7
2010Q2,"Ketchikan Gateway",17,231064,3928089,.7,273524,4649900,.8
2010Q2,"Kodiak Island",27,232464,6276533,1.2,261694,7065729,1.2
2010Q2,Bethel,3,211433,634299,.1,243333,730000,.1
2010Q2,"Rest of State",84,229977,19318074,3.6,259387,21788466,3.6
2010Q2,"Statewide Total",2127,252077,536168409,100.0,284413,604946497,100.0
2010Q3,Anchorage,885,287057,254045287,50.0,327975,290257580,51.0
2010Q3,Matanuska-Susitna,373,218141,81366692,16.0,237465,88574274,15.6
2010Q3,"Fairbanks North Star",377,218563,82398202,16.2,237454,89520191,15.7
2010Q3,"Kenai Peninsula",175,198317,34705489,6.8,225975,39545622,6.9
2010Q3,Juneau,78,268228,20921792,4.1,299083,23328473,4.1
2010Q3,"Ketchikan Gateway",19,235996,4483931,.9,289389,5498400,1.0
2010Q3,"Kodiak Island",32,277600,8883200,1.7,325132,10404213,1.8
2010Q3,Bethel,14,200980,2813724,.6,218000,3052000,.5
2010Q3,"Rest of State",89,202260,18001173,3.5,215765,19203106,3.4
2010Q3,"Statewide Total",2042,248589,507619490,100.0,278836,569383859,100.0
2010Q4,Anchorage,823,291481,239889207,52.7,329665,271314082,53.4
2010Q4,Matanuska-Susitna,344,226108,77781082,17.1,244520,84114990,16.5
2010Q4,"Fairbanks North Star",276,220847,60953800,13.4,235886,65104591,12.8
2010Q4,"Kenai Peninsula",141,200026,28203635,6.2,240350,33889301,6.7
2010Q4,Juneau,71,272934,19378327,4.3,306833,21785124,4.3
2010Q4,"Ketchikan Gateway",11,239532,2634853,.6,252764,2780400,.5
2010Q4,"Kodiak Island",33,273823,9036165,2.0,300886,9929222,2.0
2010Q4,Bethel,6,223691,1342148,.3,230500,1383000,.3
2010Q4,"Rest of State",74,211998,15687883,3.4,245067,18134974,3.6
2010Q4,"Statewide Total",1779,255709,454907100,100.0,285799,508435684,100.0
2010YR,Anchorage,3317,287436,953425701,51.6,327850,1087478486,52.3
2010YR,Matanuska-Susitna,1460,220410,321799156,17.4,240124,350580332,16.9
2010YR,"Fairbanks North Star",1116,217796,243060167,13.2,235695,263036107,12.7
2010YR,"Kenai Peninsula",658,195549,128671427,7.0,229298,150877926,7.3
2010YR,Juneau,320,270105,86433660,4.7,305070,97622327,4.7
2010YR,"Ketchikan Gateway",58,243988,14151304,.8,281426,16322700,.8
2010YR,"Kodiak Island",118,267401,31553284,1.7,299086,35292164,1.7
2010YR,Bethel,23,208268,4790171,.3,224565,5165000,.2
2010YR,"Rest of State",299,210770,63020260,3.4,238614,71345546,3.4
2010YR,"Statewide Total",7369,250632,1846905130,100.0,281954,2077720588,100.0
2009Q1,Anchorage,589,273966,161365952,55.6,309054,182032946,55.4
2009Q1,Matanuska-Susitna,247,210298,51943514,17.9,233940,57783279,17.6
2009Q1,"Fairbanks North Star",131,211338,27685327,9.5,237064,31055427,9.5
2009Q1,"Kenai Peninsula",121,180343,21821547,7.5,216381,26182072,8.0
2009Q1,Juneau,44,266825,11740307,4.0,304334,13390700,4.1
