year,survey_area,avg_contract_rent,avg_adjusted_rent,median_contract_rent,median_adjusted_rent,units_surveyed,units_vacant,vacancy_rate,pct_include_heat,pct_include_light,pct_include_hot_water,pct_include_water,pct_include_garbage,pct_include_sewer,pct_include_snow
2013,"Municipality of Anchorage",1119.00,1229.00,1050.00,1155.00,7876,258,3.3,77.0,23.0,78.0,46.0,95.0,46.0,89.0
2013,"Fairbanks North Star Borough",1037.00,1185.00,995.00,1104.00,2897,268,9.3,90.0,16.0,81.0,91.0,83.0,90.0,77.0
2013,"City and Borough of Juneau",1054.00,1176.00,1000.00,1100.00,913,31,3.4,61.0,24.0,57.0,99.0,94.0,99.0,79.0
2013,"Kenai Peninsula Borough",795.00,958.00,770.00,900.00,979,45,4.6,58.0,16.0,57.0,82.0,73.0,82.0,75.0
2013,"Ketchikan Gateway Borough",926.00,1056.00,900.00,994.00,406,40,9.9,78.0,31.0,65.0,44.0,36.0,43.0,63.0
2013,"Kodiak Island Borough",1235.00,1400.00,1200.00,1354.00,390,16,4.1,75.0,8.0,68.0,95.0,95.0,95.0,68.0
2013,"Matanuska-Susitna Borough",985.00,1109.00,830.00,940.00,910,47,5.2,56.0,13.0,53.0,89.0,69.0,91.0,68.0
2013,"City and Borough of Sitka",908.00,1128.00,850.00,1092.00,303,26,8.6,43.0,14.0,45.0,16.0,25.0,25.0,64.0
2013,"Valdez-Cordova Census Area",1078.00,1206.00,1000.00,1150.00,159,15,9.4,81.0,38.0,70.0,82.0,79.0,80.0,84.0
2013,Wrangell-Petersburg,698.00,886.00,700.00,861.00,152,12,7.9,51.0,9.0,45.0,44.0,42.0,39.0,48.0
2012,"Municipality of Anchorage",1076.00,1179.00,995.00,1109.00,7900,205,2.6,79.0,24.0,79.0,54.0,93.0,94.0,85.0
2012,"Fairbanks North Star Borough",1014.00,1120.00,975.00,1045.00,2942,245,8.3,88.0,13.0,79.0,90.0,82.0,89.0,78.0
2012,"City and Borough of Juneau",1039.00,1151.00,985.00,1050.00,981,30,3.1,62.0,27.0,58.0,98.0,94.0,96.0,79.0
2012,"Kenai Peninsula Borough",770.00,911.00,750.00,865.00,865,49,5.7,61.0,22.0,62.0,86.0,74.0,85.0,78.0
2012,"Ketchikan Gateway Borough",914.00,1027.00,900.00,970.00,436,36,8.3,80.0,32.0,68.0,53.0,51.0,53.0,67.0
2012,"Kodiak Island Borough",1195.00,1367.00,1145.00,1311.00,375,9,2.4,77.0,6.0,69.0,94.0,95.0,94.0,71.0
2012,"Matanuska-Susitna Borough",960.00,1081.00,850.00,1008.00,933,33,3.5,57.0,13.0,54.0,89.0,70.0,90.0,69.0
2012,"City and Borough of Sitka",904.00,1103.00,850.00,1039.00,309,24,7.8,44.0,15.0,46.0,17.0,26.0,26.0,61.0
2012,"Valdez-Cordova Census Area",1083.00,1224.00,1000.00,1150.00,160,5,3.1,79.0,39.0,66.0,81.0,79.0,79.0,84.0
2012,Wrangell-Petersburg,676.00,862.00,650.00,861.00,158,7,4.4,53.0,9.0,46.0,46.0,44.0,42.0,50.0
2011,"Municipality of Anchorage",1060.00,1158.00,975.00,1085.00,7742,177,2.3,79.0,23.0,78.0,53.0,94.0,95.0,87.0
2011,"Fairbanks North Star Borough",990.00,1119.00,950.00,971.00,3182,261,8.2,87.0,24.0,77.0,89.0,82.0,87.0,79.0
2011,"City and Borough of Juneau",1048.00,1155.00,950.00,1053.00,1111,36,3.2,63.0,30.0,57.0,98.0,95.0,96.0,80.0
2011,"Kenai Peninsula Borough",752.00,874.00,725.00,835.00,794,65,8.2,61.0,20.0,63.0,85.0,74.0,82.0,78.0
2011,"Ketchikan Gateway Borough",879.00,1005.00,850.00,942.00,407,47,11.5,82.0,32.0,66.0,39.0,38.0,46.0,55.0
2011,"Kodiak Island Borough",1089.00,1216.00,1045.00,1168.00,341,7,2.1,82.0,8.0,74.0,94.0,95.0,94.0,74.0
2011,"Matanuska-Susitna Borough",925.00,1048.00,850.00,898.00,878,43,4.9,57.0,11.0,51.0,88.0,72.0,88.0,70.0
2011,"City and Borough of Sitka",880.00,1083.00,800.00,1031.00,298,24,8.1,44.0,15.0,46.0,14.0,24.0,24.0,55.0
2011,"Valdez-Cordova Census Area",1039.00,1153.00,985.00,1085.00,162,2,1.2,80.0,38.0,67.0,79.0,77.0,77.0,80.0
2011,Wrangell-Petersburg,671.00,848.00,650.00,861.00,161,5,3.1,53.0,7.0,47.0,48.0,47.0,44.0,49.0
2010,"Municipality of Anchorage",1017.00,1116.00,950.00,1042.00,7936,143,1.8,77.0,25.0,77.0,54.0,92.0,93.0,84.0
2010,"Fairbanks North Star Borough",975.00,1109.00,950.00,1064.00,3085,154,5,89.0,18.0,79.0,92.0,83.0,89.0,78.0
2010,"City and Borough of Juneau",1049.00,1148.00,993.00,1050.00,1128,46,4.1,63.0,30.0,57.0,97.0,94.0,94.0,80.0
2010,"Kenai Peninsula Borough",757.00,894.00,725.00,840.00,945,82,8.7,61.0,18.0,58.0,83.0,72.0,79.0,74.0
2010,"Ketchikan Gateway Borough",878.00,1006.00,870.00,1000.00,435,52,12,83.0,21.0,61.0,38.0,37.0,45.0,57.0
2010,"Kodiak Island Borough",1164.00,1318.00,1200.00,1368.00,286,4,1.4,70.0,10.0,71.0,91.0,92.0,91.0,59.0
2010,"Matanuska-Susitna Borough",884.00,1005.00,795.00,865.00,893,47,5.3,59.0,12.0,56.0,89.0,74.0,88.0,71.0
2010,"City and Borough of Sitka",915.00,1132.00,850.00,1069.00,287,23,8,34.0,15.0,38.0,17.0,13.0,13.0,48.0
2010,"Valdez-Cordova Census Area",1037.00,1150.00,950.00,1079.00,185,12,6.5,79.0,36.0,68.0,76.0,74.0,74.0,79.0
2010,Wrangell-Petersburg,636.00,821.00,650.00,783.00,180,8,4.4,59.0,7.0,51.0,46.0,43.0,41.0,52.0
