OBJECTID,ResidencyByState,FishingYear,FisheryGroup,PermitHolders,PermitsIssued,FishermenWhoFished,PermitsFished,EstimatedGrossEarnings,EarningsConfidentialityIfNoData,TotalPoundsLanded,PoundsConfidentialityIfNoData,PoundsExclConfidentialData,EarningsExclConfidentialData,PeopleExclConfidentialData,PermitsExclConfidentialData,AsOfDate
54,Alaska,2017,Salmon,7523,8120,5105,5281,473075769,,670103405,,,,,,2019/04/18 08:00:00+00
55,Alaska,2016,All Fisheries Combined,9543,14376,6357,8562,581816556,,1030090214,,,,,,2018/04/01 08:00:00+00
56,Alaska,2016,Crab,651,753,325,387,68891213,,17867001,,,,,,2018/04/01 08:00:00+00
57,Alaska,2016,Halibut,1527,1567,1320,1328,,X,,X,16089667,79479928,1318,1326,2018/04/01 08:00:00+00
58,Alaska,2016,Herring,1289,1538,183,192,5599831,,44001266,,,,,,2018/04/01 08:00:00+00
59,Alaska,2016,Other Finfish,84,84,38,38,,X,,X,37471,55586,35,35,2018/04/01 08:00:00+00
60,Alaska,2016,Other Groundfish,883,1094,464,526,97876705,,608679531,,,,,,2018/04/01 08:00:00+00
61,Alaska,2016,Other Shellfish,600,720,300,345,11290743,,3017239,,,,,,2018/04/01 08:00:00+00
62,Alaska,2016,Sablefish,478,529,415,463,44333030,,11346427,,,,,,2018/04/01 08:00:00+00
63,Alaska,2016,Salmon,7527,8091,5142,5283,274267792,,329045072,,,,,,2018/04/01 08:00:00+00
64,Alaska,2015,Crab,667,745,352,397,71232555,,24864265,,,,,,2018/04/01 08:00:00+00
65,Alaska,2015,Halibut,1561,1602,1337,1342,73558493,,15706995,,,,,,2018/04/01 08:00:00+00
66,Alaska,2015,Herring,1299,1549,175,186,5551547,,52584973,,,,,,2018/04/01 08:00:00+00
67,Alaska,2015,Other Finfish,74,74,43,43,,X,,X,66144,98584,42,42,2018/04/01 08:00:00+00
68,Alaska,2015,Other Groundfish,920,1126,462,505,98085661,,536639599,,,,,,2018/04/01 08:00:00+00
69,Alaska,2015,Other Shellfish,612,730,282,324,10689041,,3372531,,,,,,2018/04/01 08:00:00+00
70,Alaska,2015,Sablefish,479,525,400,441,43148959,,12301759,,,,,,2018/04/01 08:00:00+00
71,Alaska,2015,Salmon,7593,8166,5687,5810,300095855,,708267931,,,,,,2018/04/01 08:00:00+00
72,Alaska,2014,All Fisheries Combined,9816,14919,7024,9293,667411237,,1092206537,,,,,,2018/04/01 08:00:00+00
73,Alaska,2014,Crab,645,749,320,384,72219199,,21958166,,,,,,2018/04/01 08:00:00+00
