OBJECTID,ResidencyByState,FishingYear,FisheryGroup,PermitHolders,PermitsIssued,FishermenWhoFished,PermitsFished,EstimatedGrossEarnings,EarningsConfidentialityIfNoData,TotalPoundsLanded,PoundsConfidentialityIfNoData,PoundsExclConfidentialData,EarningsExclConfidentialData,PeopleExclConfidentialData,PermitsExclConfidentialData,AsOfDate
233,California,2011,Crab,5,9,2,3,,X,,X,,,,,2018/04/01 08:00:00+00
234,California,2011,Halibut,16,17,13,13,1913276,,382332,,,,,,2018/04/01 08:00:00+00
235,California,2011,Herring,13,14,1,2,,X,,X,,,,,2018/04/01 08:00:00+00
236,California,2011,Other Groundfish,14,15,7,7,,X,,X,53849963,8144456,4,4,2018/04/01 08:00:00+00
237,California,2011,Other Shellfish,34,50,17,23,651132,,296995,,,,,,2018/04/01 08:00:00+00
238,California,2011,Sablefish,7,8,7,7,,X,,X,241067,1155037,5,5,2018/04/01 08:00:00+00
239,California,2011,Salmon,225,234,175,179,13339038,,13160118,,,,,,2018/04/01 08:00:00+00
240,California,2010,All Fisheries Combined,288,348,199,221,23112084,,61471442,,,,,,2018/04/01 08:00:00+00
241,California,2010,Crab,5,8,1,2,,X,,X,,,,,2018/04/01 08:00:00+00
242,California,2010,Halibut,22,23,16,16,2010877,,559503,,,,,,2018/04/01 08:00:00+00
243,California,2010,Herring,15,16,1,2,,X,,X,,,,,2018/04/01 08:00:00+00
244,California,2010,Other Groundfish,12,13,7,7,6571491,,44250287,,,,,,2018/04/01 08:00:00+00
245,California,2010,Other Shellfish,36,52,15,19,418540,,400013,,,,,,2018/04/01 08:00:00+00
246,California,2010,Sablefish,9,10,9,9,,X,,X,241673,871064,7,7,2018/04/01 08:00:00+00
247,California,2010,Salmon,220,226,161,166,12841184,,15837851,,,,,,2018/04/01 08:00:00+00
248,California,2009,All Fisheries Combined,308,368,214,230,22798379,,68463844,,,,,,2018/04/01 08:00:00+00
249,California,2009,Crab,5,7,2,3,,,,,,,,,2018/04/01 08:00:00+00
250,California,2009,Halibut,26,28,19,19,,,,,598170,1444035,18,18,2018/04/01 08:00:00+00
251,California,2009,Herring,16,17,2,3,,,,,,,,,2018/04/01 08:00:00+00
252,California,2009,Other Groundfish,14,15,7,7,8967544,,51078505,,,,,,2018/04/01 08:00:00+00
253,California,2009,Other Shellfish,35,49,16,20,450178,,424125,,,,,,2018/04/01 08:00:00+00
254,California,2009,Sablefish,8,8,6,6,,,,,226097,681111,4,4,2018/04/01 08:00:00+00
255,California,2009,Salmon,239,244,172,172,10641321,,15800521,,,,,,2018/04/01 08:00:00+00
256,California,2008,All Fisheries Combined,317,375,211,231,31537578,,89213102,,,,,,2018/04/01 08:00:00+00
257,California,2008,Crab,6,7,2,2,,,,,,,,,2018/04/01 08:00:00+00
258,California,2008,Halibut,28,29,23,23,,,,,475455,2020762,20,20,2018/04/01 08:00:00+00
259,California,2008,Herring,14,15,2,3,,,,,,,,,2018/04/01 08:00:00+00
260,California,2008,Other Groundfish,20,22,11,11,14806537,,71491370,,,,,,2018/04/01 08:00:00+00
261,California,2008,Other Shellfish,37,51,16,18,332965,,467355,,,,,,2018/04/01 08:00:00+00
262,California,2008,Sablefish,9,9,8,8,1121001,,393807,,,,,,2018/04/01 08:00:00+00
263,California,2008,Salmon,239,242,165,166,10527720,,15792610,,,,,,2018/04/01 08:00:00+00
264,California,2007,All Fisheries Combined,307,362,193,211,22354804,,87753292,,,,,,2018/04/01 08:00:00+00
265,California,2007,Crab,3,4,1,2,,X,,X,,,,,2018/04/01 08:00:00+00
266,California,2007,Halibut,22,23,18,18,,X,,X,298731,1303238,16,16,2018/04/01 08:00:00+00
267,California,2007,Herring,15,16,2,3,,X,,X,,,,,2018/04/01 08:00:00+00
268,California,2007,Other Groundfish,22,25,8,8,8619610,,66284036,,,,,,2018/04/01 08:00:00+00
269,California,2007,Other Shellfish,29,43,9,12,301391,,364095,,,,,,2018/04/01 08:00:00+00
270,California,2007,Sablefish,7,7,6,6,,X,,X,324105,801163,4,4,2018/04/01 08:00:00+00
271,California,2007,Salmon,241,244,161,162,9876065,,20050368,,,,,,2018/04/01 08:00:00+00
272,Oregon,2022,All Fisheries Combined,370,447,285,320,123983547, ,362908154, ,,,,,2024/01/02 09:00:00+00
273,Oregon,2022,Crab,15,18,5,7,17880886, ,1861381, ,,,,,2024/01/02 09:00:00+00
274,Oregon,2022,Halibut,51,55,44,46,0,Yes,0,Yes,1057869,6217925,44,44,2024/01/02 09:00:00+00
275,Oregon,2022,Herring,19,20,1,1,0,Yes,0,Yes,,,,,2024/01/02 09:00:00+00
276,Oregon,2022,Other Groundfish,47,47,42,42,60631300, ,332730130, ,,,,,2024/01/02 09:00:00+00
277,Oregon,2022,Other Shellfish,10,10,3,3,0,Yes,0,Yes,,,,,2024/01/02 09:00:00+00
278,Oregon,2022,Sablefish,13,13,14,14,6992641, ,2595535, ,,,,,2024/01/02 09:00:00+00
279,Oregon,2022,Salmon,270,284,205,207,32160353, ,24637273, ,,,,,2024/01/02 09:00:00+00
280,Oregon,2021,All Fisheries Combined,360,435,267,301,108156241, ,331793170, ,,,,,2024/01/02 09:00:00+00
281,Oregon,2021,Crab,15,19,10,12,32318077, ,5614072, ,,,,,2024/01/02 09:00:00+00
282,Oregon,2021,Halibut,36,39,25,26,0,Yes,0,Yes,822058,4518547,25,25,2024/01/02 09:00:00+00
283,Oregon,2021,Herring,20,22,3,3,0,Yes,0,Yes,,,,,2024/01/02 09:00:00+00
284,Oregon,2021,Other Groundfish,52,52,45,45,40157536, ,304474307, ,,,,,2024/01/02 09:00:00+00
285,Oregon,2021,Other Shellfish,10,10,5,5,217694, ,36668, ,,,,,2024/01/02 09:00:00+00
286,Oregon,2021,Sablefish,13,13,10,10,4401905, ,1985610, ,,,,,2024/01/02 09:00:00+00
287,Oregon,2021,Salmon,268,280,197,200,26503255, ,18848691, ,,,,,2024/01/02 09:00:00+00
288,Oregon,2020,All Fisheries Combined,366,460,268,312,87363452, ,321686701, ,,,,,2024/01/02 09:00:00+00
289,Oregon,2020,Crab,12,17,7,11,20830625, ,4620796, ,,,,,2024/01/02 09:00:00+00
290,Oregon,2020,Halibut,48,50,27,28,0,Yes,0,Yes,763990,2570032,26,26,2024/01/02 09:00:00+00
291,Oregon,2020,Herring,19,21,3,3,0,Yes,0,Yes,,,,,2024/01/02 09:00:00+00
292,Oregon,2020,Other Groundfish,57,58,51,52,46869426, ,299004906, ,,,,,2024/01/02 09:00:00+00
293,Oregon,2020,Other Shellfish,10,10,4,4,97178, ,26887, ,,,,,2024/01/02 09:00:00+00
294,Oregon,2020,Sablefish,14,17,11,14,2217677, ,1352794, ,,,,,2024/01/02 09:00:00+00
295,Oregon,2020,Salmon,276,287,196,200,14718420, ,15904599, ,,,,,2024/01/02 09:00:00+00
296,Oregon,2019,All Fisheries Combined,377,480,300,360,92397206, ,386070154, ,,,,,2024/01/02 09:00:00+00
297,Oregon,2019,Crab,12,19,7,13,13956819, ,3749376, ,,,,,2024/01/02 09:00:00+00
298,Oregon,2019,Halibut,54,57,47,49,,Yes,,Yes,845353,3473946,47,47,2024/01/02 09:00:00+00
299,Oregon,2019,Herring,23,28,5,6,,Yes,,Yes,13770,83076,5,5,2024/01/02 09:00:00+00
300,Oregon,2019,Other Groundfish,52,52,48,48,46224594, ,356277231, ,,,,,2024/01/02 09:00:00+00
301,Oregon,2019,Other Shellfish,20,20,12,12,287642, ,104861, ,,,,,2024/01/02 09:00:00+00
302,Oregon,2019,Sablefish,22,25,19,21,2976662, ,1361982, ,,,,,2024/01/02 09:00:00+00
303,Oregon,2019,Salmon,267,279,208,211,25289815, ,23427695, ,,,,,2024/01/02 09:00:00+00
304,Oregon,2018,All Fisheries Combined,391,493,306,363,110783380,,444853484,,,,,,2019/04/18 08:00:00+00
305,Oregon,2018,Crab,16,27,9,16,13614062,,3367763,,,,,,2019/04/18 08:00:00+00
306,Oregon,2018,Halibut,54,55,47,47,2850158,,713541,,,,,,2019/04/18 08:00:00+00
307,Oregon,2018,Herring,24,27,1,1,,Yes,,Yes,,,,,2019/04/18 08:00:00+00
308,Oregon,2018,Other Groundfish,59,59,54,54,71357028,,421719718,,,,,,2019/04/18 08:00:00+00
309,Oregon,2018,Other Shellfish,21,21,14,14,226232,,113339,,,,,,2019/04/18 08:00:00+00
310,Oregon,2018,Sablefish,19,24,16,19,2664616,,982870,,,,,,2019/04/18 08:00:00+00
311,Oregon,2018,Salmon,268,280,209,212,20018451,,17649073,,,,,,2019/04/18 08:00:00+00
312,Oregon,2017,All Fisheries Combined,411,505,318,371,117545998,,512056013,,,,,,2019/04/18 08:00:00+00
313,Oregon,2017,Crab,18,26,12,19,18519159,,4205065,,,,,,2019/04/18 08:00:00+00
314,Oregon,2017,Halibut,52,53,46,47,,Yes,,Yes,694628,3238515,46,46,2019/04/18 08:00:00+00
315,Oregon,2017,Herring,25,28,2,2,,Yes,,Yes,,,,,2019/04/18 08:00:00+00
316,Oregon,2017,Other Groundfish,66,66,62,62,69556885,,483308762,,,,,,2019/04/18 08:00:00+00
317,Oregon,2017,Other Shellfish,25,26,15,15,,Yes,,Yes,105158,300121,12,12,2019/04/18 08:00:00+00
318,Oregon,2017,Sablefish,17,18,14,15,2907559,,756346,,,,,,2019/04/18 08:00:00+00
319,Oregon,2017,Salmon,277,288,208,211,22782868,,22087756,,,,,,2019/04/18 08:00:00+00
320,Oregon,2016,All Fisheries Combined,421,519,335,393,137700008,,592129048,,,,,,2018/04/01 08:00:00+00
321,Oregon,2016,Crab,18,30,13,24,31574557,,8182999,,,,,,2018/04/01 08:00:00+00
322,Oregon,2016,Halibut,57,57,51,51,4227402,,813142,,,,,,2018/04/01 08:00:00+00
323,Oregon,2016,Herring,24,26,0,0,0,,0,,,,,,2018/04/01 08:00:00+00
324,Oregon,2016,Other Groundfish,69,70,65,65,82878212,,564495738,,,,,,2018/04/01 08:00:00+00
325,Oregon,2016,Other Shellfish,21,23,11,11,,X,,X,108918,93669,9,9,2018/04/01 08:00:00+00
326,Oregon,2016,Sablefish,22,23,18,19,,X,,X,640708,2328547,16,16,2018/04/01 08:00:00+00
327,Oregon,2016,Salmon,280,290,221,223,16273967,,17782128,,,,,,2018/04/01 08:00:00+00
328,Oregon,2015,All Fisheries Combined,418,515,347,408,126099483,,555489927,,,,,,2018/04/01 08:00:00+00
329,Oregon,2015,Crab,16,25,10,17,,X,,X,7120309,18851928,8,12,2018/04/01 08:00:00+00
330,Oregon,2015,Halibut,59,59,57,57,4724825,,976584,,,,,,2018/04/01 08:00:00+00
331,Oregon,2015,Herring,23,24,0,0,0,,0,,,,,,2018/04/01 08:00:00+00
332,Oregon,2015,Other Groundfish,68,69,61,61,79313040,,521896919,,,,,,2018/04/01 08:00:00+00
333,Oregon,2015,Other Shellfish,18,20,9,9,166075,,123200,,,,,,2018/04/01 08:00:00+00
334,Oregon,2015,Sablefish,26,27,23,24,2988661,,868015,,,,,,2018/04/01 08:00:00+00
335,Oregon,2015,Salmon,281,291,238,240,13444836,,22625115,,,,,,2018/04/01 08:00:00+00
336,Oregon,2014,All Fisheries Combined,425,530,351,413,138874241,,545766884,,,,,,2018/04/01 08:00:00+00
337,Oregon,2014,Crab,22,32,12,21,37133992,,12249124,,,,,,2018/04/01 08:00:00+00
338,Oregon,2014,Halibut,60,60,55,55,4705207,,982067,,,,,,2018/04/01 08:00:00+00
339,Oregon,2014,Herring,24,26,0,0,0,,0,,,,,,2018/04/01 08:00:00+00
340,Oregon,2014,Other Groundfish,67,71,62,63,73010956,,514648955,,,,,,2018/04/01 08:00:00+00
341,Oregon,2014,Other Shellfish,19,22,13,13,390816,,175211,,,,,,2018/04/01 08:00:00+00
342,Oregon,2014,Sablefish,30,31,27,28,4090129,,1274221,,,,,,2018/04/01 08:00:00+00
343,Oregon,2014,Salmon,277,288,234,233,19543143,,16437306,,,,,,2018/04/01 08:00:00+00
344,Oregon,2013,All Fisheries Combined,423,536,347,413,158748426,,604470454,,,,,,2018/04/01 08:00:00+00
345,Oregon,2013,Crab,21,32,10,20,34290402,,12149736,,,,,,2018/04/01 08:00:00+00
346,Oregon,2013,Halibut,65,65,55,55,5627891,,1460824,,,,,,2018/04/01 08:00:00+00
347,Oregon,2013,Herring,24,25,0,0,0,,0,,,,,,2018/04/01 08:00:00+00
348,Oregon,2013,Other Groundfish,79,82,70,70,95806571,,569693037,,,,,,2018/04/01 08:00:00+00
349,Oregon,2013,Other Shellfish,19,21,11,11,380777,,161349,,,,,,2018/04/01 08:00:00+00
350,Oregon,2013,Sablefish,32,33,28,29,4025707,,1600840,,,,,,2018/04/01 08:00:00+00
351,Oregon,2013,Salmon,267,278,227,228,18617078,,19404668,,,,,,2018/04/01 08:00:00+00
352,Oregon,2012,All Fisheries Combined,434,558,353,433,150604214,,510384071,,,,,,2018/04/01 08:00:00+00
353,Oregon,2012,Crab,23,34,12,21,31310420,,10909543,,,,,,2018/04/01 08:00:00+00
354,Oregon,2012,Halibut,70,70,62,62,7903359,,1838325,,,,,,2018/04/01 08:00:00+00
355,Oregon,2012,Herring,25,27,0,0,0,,0,,,,,,2018/04/01 08:00:00+00
356,Oregon,2012,Other Groundfish,79,85,69,70,86854483,,476451248,,,,,,2018/04/01 08:00:00+00
357,Oregon,2012,Other Shellfish,21,23,12,13,203094,,115276,,,,,,2018/04/01 08:00:00+00
358,Oregon,2012,Sablefish,32,33,29,30,6176373,,2953773,,,,,,2018/04/01 08:00:00+00
359,Oregon,2012,Salmon,271,286,229,237,18156485,,18115906,,,,,,2018/04/01 08:00:00+00
360,Oregon,2011,All Fisheries Combined,438,565,356,438,149289544,,550840188,,,,,,2018/04/01 08:00:00+00
361,Oregon,2011,Crab,20,30,12,19,30732709,,8600130,,,,,,2018/04/01 08:00:00+00
362,Oregon,2011,Halibut,70,70,63,63,8004900,,1649913,,,,,,2018/04/01 08:00:00+00
363,Oregon,2011,Herring,25,26,2,2,,X,,X,,,,,2018/04/01 08:00:00+00
364,Oregon,2011,Other Groundfish,87,92,75,76,85097153,,520467042,,,,,,2018/04/01 08:00:00+00
365,Oregon,2011,Other Shellfish,26,27,16,16,,X,,X,83093,152621,14,14,2018/04/01 08:00:00+00
366,Oregon,2011,Sablefish,33,35,32,33,7002136,,2367776,,,,,,2018/04/01 08:00:00+00
367,Oregon,2011,Salmon,269,285,224,229,18213919,,17368555,,,,,,2018/04/01 08:00:00+00
368,Oregon,2010,All Fisheries Combined,440,565,357,434,109035296,,323894643,,,,,,2018/04/01 08:00:00+00
369,Oregon,2010,Crab,22,33,13,19,22975044,,8253375,,,,,,2018/04/01 08:00:00+00
370,Oregon,2010,Halibut,78,79,68,68,9178641,,2503048,,,,,,2018/04/01 08:00:00+00
371,Oregon,2010,Herring,25,25,3,3,,X,,X,,,,,2018/04/01 08:00:00+00
372,Oregon,2010,Other Groundfish,76,82,68,69,53318834,,291780327,,,,,,2018/04/01 08:00:00+00
373,Oregon,2010,Other Shellfish,21,22,12,12,1640973,,505038,,,,,,2018/04/01 08:00:00+00
374,Oregon,2010,Sablefish,35,35,31,33,5346655,,1965115,,,,,,2018/04/01 08:00:00+00
375,Oregon,2010,Salmon,276,289,227,230,16551822,,18655380,,,,,,2018/04/01 08:00:00+00
376,Oregon,2009,All Fisheries Combined,438,575,347,424,88563188,,269276069,,,,,,2018/04/01 08:00:00+00
377,Oregon,2009,Crab,20,30,13,21,20199407,,9807456,,,,,,2018/04/01 08:00:00+00
378,Oregon,2009,Halibut,78,80,69,69,6890305,,2963784,,,,,,2018/04/01 08:00:00+00
379,Oregon,2009,Herring,21,21,1,1,,,,,,,,,2018/04/01 08:00:00+00
380,Oregon,2009,Other Groundfish,80,90,64,66,43277293,,237330554,,,,,,2018/04/01 08:00:00+00
381,Oregon,2009,Other Shellfish,22,23,11,11,,,,,133156,83756,8,8,2018/04/01 08:00:00+00
382,Oregon,2009,Sablefish,37,37,31,33,4091950,,1462413,,,,,,2018/04/01 08:00:00+00
383,Oregon,2009,Salmon,277,294,223,223,12816225,,17414294,,,,,,2018/04/01 08:00:00+00
384,Oregon,2008,All Fisheries Combined,433,582,342,424,117955872,,290921741,,,,,,2018/04/01 08:00:00+00
385,Oregon,2008,Crab,20,32,11,20,27366737,,9681066,,,,,,2018/04/01 08:00:00+00
386,Oregon,2008,Halibut,81,83,73,74,,,,,2928485,12175601,73,73,2018/04/01 08:00:00+00
387,Oregon,2008,Herring,21,21,1,1,,,,,,,,,2018/04/01 08:00:00+00
388,Oregon,2008,Other Groundfish,87,98,69,72,63390063,,262463284,,,,,,2018/04/01 08:00:00+00
389,Oregon,2008,Other Shellfish,22,24,12,12,,,,,169652,105184,9,9,2018/04/01 08:00:00+00
390,Oregon,2008,Sablefish,37,38,30,34,3802404,,1376458,,,,,,2018/04/01 08:00:00+00
391,Oregon,2008,Salmon,272,286,212,211,11024883,,14281357,,,,,,2018/04/01 08:00:00+00
392,Oregon,2007,All Fisheries Combined,437,552,329,392,91040308,,354784813,,,,,,2018/04/01 08:00:00+00
393,Oregon,2007,Crab,18,25,8,12,11459401,,4368243,,,,,,2018/04/01 08:00:00+00
394,Oregon,2007,Halibut,77,78,68,68,11674559,,2708025,,,,,,2018/04/01 08:00:00+00
395,Oregon,2007,Herring,22,22,1,1,,X,,X,,,,,2018/04/01 08:00:00+00
396,Oregon,2007,Other Groundfish,71,74,58,58,53455420,,329340794,,,,,,2018/04/01 08:00:00+00
397,Oregon,2007,Other Shellfish,23,25,12,12,173793,,189804,,,,,,2018/04/01 08:00:00+00
398,Oregon,2007,Sablefish,33,34,29,33,3582613,,1823414,,,,,,2018/04/01 08:00:00+00
399,Oregon,2007,Salmon,281,294,207,208,10664075,,16352372,,,,,,2018/04/01 08:00:00+00
400,Washington,2022,All Fisheries Combined,1737,2209,1297,1524,606566700, ,3020771098, ,,,,,2024/01/02 09:00:00+00
401,Washington,2022,Crab,86,96,63,72,45257085, ,7426444, ,,,,,2024/01/02 09:00:00+00
402,Washington,2022,Halibut,142,176,127,141,29661477, ,5035406, ,,,,,2024/01/02 09:00:00+00
403,Washington,2022,Herring,138,171,11,13,2088914, ,13324602, ,,,,,2024/01/02 09:00:00+00
404,Washington,2022,Other Groundfish,193,202,167,172,281806715, ,2805829294, ,,,,,2024/01/02 09:00:00+00
405,Washington,2022,Other Shellfish,57,85,28,43,2712130, ,432332, ,,,,,2024/01/02 09:00:00+00
406,Washington,2022,Sablefish,100,111,89,96,38698039, ,15419527, ,,,,,2024/01/02 09:00:00+00
407,Washington,2022,Salmon,1292,1368,976,987,0,Yes,0,Yes,173118625,206131995,975,986,2024/01/02 09:00:00+00
408,Washington,2021,All Fisheries Combined,1777,2252,1304,1541,678520161, ,3601860097, ,,,,,2024/01/02 09:00:00+00
409,Washington,2021,Crab,87,111,71,91,162384824, ,29027316, ,,,,,2024/01/02 09:00:00+00
410,Washington,2021,Halibut,131,158,102,119,23608273, ,4534508, ,,,,,2024/01/02 09:00:00+00
411,Washington,2021,Herring,136,171,17,19,0,Yes,0,Yes,61025,203214,15,15,2024/01/02 09:00:00+00
412,Washington,2021,Other Groundfish,201,202,174,175,273587716, ,3372136570, ,,,,,2024/01/02 09:00:00+00
413,Washington,2021,Other Shellfish,61,90,35,57,4653922, ,639791, ,,,,,2024/01/02 09:00:00+00
414,Washington,2021,Sablefish,95,110,78,92,26060616, ,13952400, ,,,,,2024/01/02 09:00:00+00
415,Washington,2021,Salmon,1328,1410,976,988,187275460, ,175204320, ,,,,,2024/01/02 09:00:00+00
416,Washington,2020,All Fisheries Combined,1825,2358,1284,1537,630274528, ,3711155957, ,,,,,2024/01/02 09:00:00+00
417,Washington,2020,Crab,93,137,68,107,104681693, ,23600343, ,,,,,2024/01/02 09:00:00+00
418,Washington,2020,Halibut,148,165,102,111,0,Yes,0,Yes,3970131,13117745,102,108,2024/01/02 09:00:00+00
419,Washington,2020,Herring,136,174,16,16,315164, ,63459, ,,,,,2024/01/02 09:00:00+00
420,Washington,2020,Other Groundfish,229,235,199,202,400416457, ,3564921091, ,,,,,2024/01/02 09:00:00+00
421,Washington,2020,Other Shellfish,62,92,31,46,2304193, ,482753, ,,,,,2024/01/02 09:00:00+00
422,Washington,2020,Sablefish,98,130,74,98,0,Yes,0,Yes,7722500,13613965,72,96,2024/01/02 09:00:00+00
423,Washington,2020,Salmon,1344,1425,947,957,0,Yes,0,Yes,110176080,95579557,944,954,2024/01/02 09:00:00+00
424,Washington,2019,All Fisheries Combined,1859,2401,1474,1777,619034125, ,4250710269, ,,,,,2024/01/02 09:00:00+00
425,Washington,2019,Crab,82,133,62,107,84929057, ,21674914, ,,,,,2024/01/02 09:00:00+00
426,Washington,2019,Halibut,182,192,165,171,17645072, ,4422724, ,,,,,2024/01/02 09:00:00+00
427,Washington,2019,Herring,137,176,17,18,981166, ,9323917, ,,,,,2024/01/02 09:00:00+00
428,Washington,2019,Other Groundfish,234,242,213,218,323272906, ,4031789678, ,,,,,2024/01/02 09:00:00+00
429,Washington,2019,Other Shellfish,68,98,48,69,3830346, ,683960, ,,,,,2024/01/02 09:00:00+00
430,Washington,2019,Sablefish,112,130,102,114,,Yes,,Yes,7757426,19996918,100,111,2024/01/02 09:00:00+00
431,Washington,2019,Salmon,1354,1430,1076,1080,,Yes,,Yes,174809915,168017300,1075,1079,2024/01/02 09:00:00+00
432,Washington,2018,All Fisheries Combined,1877,2447,1434,1742,866763944,,3959019936,,,,,,2019/04/18 08:00:00+00
433,Washington,2018,Crab,83,132,60,108,73504675,,18144881,,,,,,2019/04/18 08:00:00+00
434,Washington,2018,Halibut,185,195,160,167,16034730,,4124688,,,,,,2019/04/18 08:00:00+00
435,Washington,2018,Herring,141,184,17,20,1007903,,8565377,,,,,,2019/04/18 08:00:00+00
436,Washington,2018,Other Groundfish,235,242,207,211,612870634,,3792206451,,,,,,2019/04/18 08:00:00+00
437,Washington,2018,Other Shellfish,77,112,52,73,3725881,,741150,,,,,,2019/04/18 08:00:00+00
438,Washington,2018,Sablefish,124,141,112,125,26139474,,8270144,,,,,,2019/04/18 08:00:00+00
439,Washington,2018,Salmon,1359,1441,1035,1038,,Yes,,Yes,124871203,132206234,1026,1029,2019/04/18 08:00:00+00
440,Washington,2017,All Fisheries Combined,1911,2504,1473,1807,896509720,,3941889702,,,,,,2019/04/18 08:00:00+00
441,Washington,2017,Crab,91,145,66,119,90036532,,19640824,,,,,,2019/04/18 08:00:00+00
442,Washington,2017,Halibut,194,205,177,184,24049057,,5170807,,,,,,2019/04/18 08:00:00+00
443,Washington,2017,Herring,144,193,22,25,1504582,,13567438,,,,,,2019/04/18 08:00:00+00
444,Washington,2017,Other Groundfish,247,250,211,213,573469895,,3686705004,,,,,,2019/04/18 08:00:00+00
445,Washington,2017,Other Shellfish,74,106,42,65,3911949,,693421,,,,,,2019/04/18 08:00:00+00
446,Washington,2017,Sablefish,125,142,112,126,,Yes,,Yes,7248098,32120040,111,124,2019/04/18 08:00:00+00
447,Washington,2017,Salmon,1380,1463,1068,1075,171213622,,208816248,,,,,,2019/04/18 08:00:00+00
448,Washington,2016,All Fisheries Combined,1984,2550,1526,1841,873128775,,3856941647,,,,,,2018/04/01 08:00:00+00
449,Washington,2016,Crab,96,149,74,124,128294861,,33824389,,,,,,2018/04/01 08:00:00+00
450,Washington,2016,Halibut,210,211,186,186,,X,,X,4893103,24155240,185,185,2018/04/01 08:00:00+00
451,Washington,2016,Herring,146,187,25,26,719134,,6496892,,,,,,2018/04/01 08:00:00+00
452,Washington,2016,Other Groundfish,259,265,224,228,584397802,,3668096624,,,,,,2018/04/01 08:00:00+00
453,Washington,2016,Other Shellfish,81,110,44,62,,X,,X,535651,1896639,42,58,2018/04/01 08:00:00+00
454,Washington,2016,Sablefish,132,139,114,120,,X,,X,6315052,24401037,112,117,2018/04/01 08:00:00+00
455,Washington,2016,Salmon,1417,1489,1086,1095,107719762,,136419199,,,,,,2018/04/01 08:00:00+00
456,Washington,2015,All Fisheries Combined,1984,2590,1549,1890,904040214,,3986442305,,,,,,2018/04/01 08:00:00+00
457,Washington,2015,Crab,98,164,75,133,144426321,,49645047,,,,,,2018/04/01 08:00:00+00
458,Washington,2015,Halibut,222,223,202,202,23608586,,4947716,,,,,,2018/04/01 08:00:00+00
459,Washington,2015,Herring,155,200,25,27,1285153,,13146417,,,,,,2018/04/01 08:00:00+00
460,Washington,2015,Other Groundfish,265,269,221,221,608536714,,3692083192,,,,,,2018/04/01 08:00:00+00
461,Washington,2015,Other Shellfish,85,114,51,67,1830302,,711066,,,,,,2018/04/01 08:00:00+00
462,Washington,2015,Sablefish,140,146,128,134,27736577,,7937654,,,,,,2018/04/01 08:00:00+00
463,Washington,2015,Salmon,1402,1474,1099,1106,96616560,,217971213,,,,,,2018/04/01 08:00:00+00
464,Washington,2014,All Fisheries Combined,1984,2611,1558,1916,762573223,,3394506452,,,,,,2018/04/01 08:00:00+00
465,Washington,2014,Crab,91,153,66,122,131255684,,43152279,,,,,,2018/04/01 08:00:00+00
466,Washington,2014,Halibut,222,223,197,197,21733036,,4643560,,,,,,2018/04/01 08:00:00+00
467,Washington,2014,Herring,156,208,39,45,1652781,,21149078,,,,,,2018/04/01 08:00:00+00
468,Washington,2014,Other Groundfish,268,276,234,238,439789910,,3156056504,,,,,,2018/04/01 08:00:00+00
469,Washington,2014,Other Shellfish,79,112,51,70,3793887,,833642,,,,,,2018/04/01 08:00:00+00
470,Washington,2014,Sablefish,136,142,127,133,30300108,,9260477,,,,,,2018/04/01 08:00:00+00
471,Washington,2014,Salmon,1427,1497,1104,1111,134047817,,159410912,,,,,,2018/04/01 08:00:00+00
472,Washington,2013,All Fisheries Combined,2004,2670,1566,1940,824297840,,3219628864,,,,,,2018/04/01 08:00:00+00
473,Washington,2013,Crab,102,162,67,123,138238360,,48339919,,,,,,2018/04/01 08:00:00+00
474,Washington,2013,Halibut,229,230,204,204,24297334,,6466882,,,,,,2018/04/01 08:00:00+00
475,Washington,2013,Herring,157,216,52,55,3217012,,20683569,,,,,,2018/04/01 08:00:00+00
476,Washington,2013,Other Groundfish,281,289,225,227,464742363,,2898604482,,,,,,2018/04/01 08:00:00+00
477,Washington,2013,Other Shellfish,86,115,57,77,5199144,,950533,,,,,,2018/04/01 08:00:00+00
478,Washington,2013,Sablefish,148,157,136,147,28693022,,11263846,,,,,,2018/04/01 08:00:00+00
479,Washington,2013,Salmon,1430,1501,1102,1107,159910604,,233319633,,,,,,2018/04/01 08:00:00+00
480,Washington,2012,All Fisheries Combined,2026,2738,1586,2002,827024389,,2976644018,,,,,,2018/04/01 08:00:00+00
481,Washington,2012,Crab,113,187,82,148,167145980,,60592068,,,,,,2018/04/01 08:00:00+00
482,Washington,2012,Halibut,241,241,217,217,31537297,,7431228,,,,,,2018/04/01 08:00:00+00
483,Washington,2012,Herring,155,206,23,27,3106722,,14283335,,,,,,2018/04/01 08:00:00+00
484,Washington,2012,Other Groundfish,276,285,224,228,455836031,,2739858530,,,,,,2018/04/01 08:00:00+00
485,Washington,2012,Other Shellfish,80,105,54,69,5444344,,931952,,,,,,2018/04/01 08:00:00+00
486,Washington,2012,Sablefish,159,169,150,162,43800625,,12247882,,,,,,2018/04/01 08:00:00+00
487,Washington,2012,Salmon,1452,1545,1127,1151,120153390,,141299023,,,,,,2018/04/01 08:00:00+00
488,Washington,2011,All Fisheries Combined,2074,2792,1625,2050,777754073,,2825450118,,,,,,2018/04/01 08:00:00+00
489,Washington,2011,Crab,111,188,76,145,162836418,,43710262,,,,,,2018/04/01 08:00:00+00
490,Washington,2011,Halibut,246,246,226,227,49646697,,10317491,,,,,,2018/04/01 08:00:00+00
491,Washington,2011,Herring,160,209,35,37,1787279,,19248544,,,,,,2018/04/01 08:00:00+00
