X,Y,OBJECTID,CommunityName,EntityName,GradCount,DataYear,AsOfDate,SchoolDistrict,Shape
-17814204.6299313,11280363.8443696,42,Wainwright,Alak School,7,2016,2017/02/21 09:00:00+00,North Slope Borough Schools,
-17814204.6299313,11280363.8443696,43,Wainwright,Alak School,6,2014,2015/01/23 09:00:00+00,North Slope Borough Schools,
-17814204.6299313,11280363.8443696,44,Wainwright,Alak School,8,2013,2014/01/22 09:00:00+00,North Slope Borough Schools,
-18325590.0650018,9023931.61383108,45,Alakanuk,Alakanuk School,15,2013,2014/01/22 09:00:00+00,Lower Yukon Schools,
-18325590.0650018,9023931.61383108,46,Alakanuk,Alakanuk School,5,2014,2015/01/23 09:00:00+00,Lower Yukon Schools,
-18325590.0650018,9023931.61383108,47,Alakanuk,Alakanuk School,11,2015,2016/03/09 09:00:00+00,Lower Yukon Schools,
-18325590.0650018,9023931.61383108,48,Alakanuk,Alakanuk School,7,2016,2017/02/21 09:00:00+00,Lower Yukon Schools,
-18325590.0650018,9023931.61383108,49,Alakanuk,Alakanuk School,10,2017,2018/01/17 09:00:00+00,Lower Yukon Schools,
-16679287.9938426,8670263.62882565,50,Anchorage,Alaska Middle College School,6,2013,2014/01/22 09:00:00+00,Anchorage Schools,
-16679287.9938426,8670263.62882565,51,Anchorage,Alaska Middle College School,6,2013,2014/01/22 09:00:00+00,Anchorage Schools,
-16679287.9938426,8670263.62882565,52,Anchorage,Alaska Middle College School,35,2014,2015/01/23 09:00:00+00,Anchorage Schools,
-16679287.9938426,8670263.62882565,53,Anchorage,Alaska Middle College School,35,2014,2015/01/23 09:00:00+00,Anchorage Schools,
-16679287.9938426,8670263.62882565,54,Anchorage,Alaska Middle College School,34,2015,2016/03/09 09:00:00+00,Anchorage Schools,
-16679287.9938426,8670263.62882565,55,Anchorage,Alaska Middle College School,34,2015,2016/03/09 09:00:00+00,Anchorage Schools,
-16679287.9938426,8670263.62882565,56,Anchorage,Alaska Middle College School,50,2016,2017/02/21 09:00:00+00,Anchorage Schools,
-16679287.9938426,8670263.62882565,57,Anchorage,Alaska Middle College School,50,2016,2017/02/21 09:00:00+00,Anchorage Schools,
-15917101.8819018,9183330.41042592,58,Tok,Alaska REACH Academy,4,2017,2018/01/17 09:00:00+00,Alaska Gateway Schools,
-15917101.8819018,9183330.41042592,59,Tok,Alaska REACH Academy,5,2016,2017/02/21 09:00:00+00,Alaska Gateway Schools,
-15917101.8819018,9183330.41042592,60,Tok,Alaska REACH Academy,3,2015,2016/03/09 09:00:00+00,Alaska Gateway Schools,
-15917101.8819018,9183330.41042592,61,Tok,Alaska REACH Academy,3,2013,2014/01/22 09:00:00+00,Alaska Gateway Schools,
-15917101.8819018,9183330.41042592,62,Tok,Alaska REACH Academy,6,2014,2015/01/23 09:00:00+00,Alaska Gateway Schools,
