X,Y,OBJECTID,Place,Geo_Src,e_Per_Capita_Income,m_Per_Capita_Income,e_median_Household_Income,m_median_Household_Income,e_median_Family_Income,m_median_Family_Income,e_Pop_of_Poverty_Det,m_Pop_of_Poverty_Det,e_Pop_Below_125pct_Poverty,m_Pop_Below_125pct_Poverty,e_Pop_Below_Poverty,m_Pop_Below_Poverty,e_Pop_18_64_of_Poverty_Det,m_Pop_18_64_of_Poverty_Det,e_Pop_18_64_Below_Poverty,m_Pop_18_64_Below_Poverty,e_Pop_65_plus_of_Poverty_Det,m_Pop_65_plus_of_Poverty_Det,e_Pop_65_plus_Below_Poverty,m_Pop_65_plus_Below_Poverty,e_Pop_under_18_of_Poverty_Det,m_Pop_under_18_of_Poverty_Det,e_Pop_under_18_Below_Poverty,m_Pop_under_18_Below_Poverty,e_Households_Below_Poverty,m_Households_Below_Poverty,Start_Year,End_Year,PlaceID
-16114687.4108778,8722067.99700202,3488,Valdez-Cordova Census Area,C,31029,2540,62238,9499,87373,8384,,,,,,,,,,,,,,,,,,,105,35,2007,2011,{47D3091E-8C06-4BC8-B4D6-CF0ECF3B0F54}
-18166327.890096,8926584.6256831,3489,Kusilvak Census Area,C,11476,459,39583,2301,40067,3142,,,,,,,,,,,,,,,,,,,370,51,2007,2011,{EF9C5E4E-265E-4453-B87F-401952925FE6}
-14736875.9211032,7652635.44015356,3490,Wrangell,C,29643,4307,50000,5936,54773,19885,,,,,,,,,,,,,,,,,,,40,38,2007,2011,{587C69F7-2A28-4CEE-BA2C-1A7F7DCCBED1}
-15556902.4498982,8302149.31659159,3491,Yakutat,C,37556,7606,74844,9257,81250,17656,,,,,,,,,,,,,,,,,,,2,3,2007,2011,{BF799AFC-92DA-47A3-89EF-4BB1B31FDE2B}
-16812037.2290032,9668260.5175691,3492,Yukon-Koyukuk Census Area,C,19923,911,35335,3786,49417,4731,,,,,,,,,,,,,,,,,,,214,38,2007,2011,{1F2FC561-C032-423A-85B7-32591979EA75}
-19663507.7911574,6776337.60629079,3493,Adak,P,31242,9803,66667,13478,67292,15289,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{C712D789-18CD-4C6C-A0FB-E5B7BB9B1B86}
-17162487.1875705,7749255.80747254,3494,Akhiok,P,7890,2758,16250,6166,25417,56760,,,,,,,,,,,,,,,,,,,5,6,2007,2011,{68670103-A544-40F0-AD9E-7215DEC2434C}
-17972431.0159371,8606059.10759937,3495,Akiachak,P,13074,2444,45313,17771,41250,19613,,,,,,,,,,,,,,,,,,,33,14,2007,2011,{D381614D-1B3D-4C01-A916-B139441D4A88}
-17948041.6926256,8604612.88598838,3496,Akiak,P,13469,3171,37969,4138,35833,6692,,,,,,,,,,,,,,,,,,,14,11,2007,2011,{B9E3D976-5DA3-4850-884A-E7818D521898}
-18453825.976754,7195635.68739133,3497,Akutan,P,25384,6884,35000,3126,35750,5068,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{D57C95FC-45D5-44E0-B99B-5325C15EBE66}
-18330707.5476733,9023905.19268546,3498,Alakanuk,P,14141,2273,38333,5965,40114,5684,,,,,,,,,,,,,,,,,,,24,11,2007,2011,{8142710A-7405-430F-9A0B-C44338B4B31A}
-16998632.6281501,10030290.617505,3499,Alatna,P,,,,,,,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{88A2EC6A-4FB2-4D64-9FA0-19C13D5A37FB}
-15697227.7428421,9008184.66778997,3500,Alcan Border,P,,,,,,,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{3A2BEA63-41B6-445E-BF20-B04461C94803}
-17657678.5273638,8240980.59809748,3501,Aleknagik,P,18230,5199,50313,6284,53438,12445,,,,,,,,,,,,,,,,,,,10,9,2007,2011,{D9F6FF1F-CC12-41CB-B678-41BBCC900FF9}
-17018639.3674516,7968179.28755084,3502,Aleneva,P,,,,,,,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{29D4602C-A471-4961-BBEC-AB22938F5F26}
-16992862.437114,10031835.3089084,3503,Allakaket,P,15611,3939,18929,3328,19375,28150,,,,,,,,,,,,,,,,,,,5,6,2007,2011,{D9E1C7EB-2990-486A-BEC6-DF457C95E944}
-17572508.2979883,10180738.1984948,3504,Ambler,P,14767,5004,57625,29209,45000,18600,,,,,,,,,,,,,,,,,,,11,8,2007,2011,{E98663F6-E635-4427-85F1-48E3042D196E}
-16891159.3456548,10489279.941021,3505,Anaktuvuk Pass,P,18946,4671,46250,11782,47917,36386,,,,,,,,,,,,,,,,,,,4,4,2007,2011,{C8F22DE3-2D24-49CD-A867-3855226D712F}
-16902085.2269946,8350131.34239944,3506,Anchor Point,P,26940,3335,52926,6817,58750,10040,,,,,,,,,,,,,,,,,,,26,24,2007,2011,{C20E1D6B-1DBC-4F69-B3F3-1AEC09EDDD83}
-16686218.0875525,8675653.72291914,3507,Anchorage,P,35580,672,75485,1150,87708,1548,,,,,,,,,,,,,,,,,,,3804,458,2007,2011,{41989645-CCA3-466B-9817-909C7EBD3FF1}
-16607841.8425473,9437496.73630837,3508,Anderson,P,50245,12853,67500,11209,72500,17278,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{3999FA6E-F8E0-4528-9406-C991F8BB8C52}
-14981471.2754118,7862919.3185571,3509,Angoon,P,17366,5582,23971,7917,31250,12070,,,,,,,,,,,,,,,,,,,46,29,2007,2011,{B81542E6-6232-4F35-AEC4-F6C46F2BBDE1}
-17758530.6291833,8759944.08337012,3510,Aniak,P,22010,3065,60673,6525,61591,5912,,,,,,,,,,,,,,,,,,,18,15,2007,2011,{4D22DC8A-9F5A-4C83-B835-F1133D6A8060}
-17833307.7073289,9015553.00610678,3511,Anvik,P,10981,3362,14643,20979,34583,47486,,,,,,,,,,,,,,,,,,,5,7,2007,2011,{AED9D55C-5519-4DA0-A4A7-28349D8498CD}
-16200942.2921759,10485277.8122488,3512,Arctic Village,P,17551,3887,27000,14447,40469,23171,,,,,,,,,,,,,,,,,,,5,7,2007,2011,{3FD9E5F5-DE1E-47BC-A8FC-ECEFCA7C2EA8}
-19391877.4279502,6835970.93964706,3513,Atka,P,35663,9484,96071,20090,130625,163428,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{C80F8014-AF4E-4834-B4A8-DED62C0786C1}
-18064527.563622,8593130.12141586,3514,Atmautluak,P,12289,3239,48750,10366,46250,7717,,,,,,,,,,,,,,,,,,,7,7,2007,2011,{887F3239-34EE-4A3A-9B7A-522E212DA730}
-17524309.1239729,11227484.1041681,3515,Atqasuk,P,18747,3409,56500,18189,52813,12548,,,,,,,,,,,,,,,,,,,4,5,2007,2011,{A79A606F-AA69-4994-A5A0-5E8AFE9EBA9A}
19277285.2935183,6950872.61663701,3516,Attu Station,P,58761,56830,,,,,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{4B169010-F268-45A8-8444-F0B5873ABDEE}
-16409897.2332955,9557080.87200411,3517,Badger,P,30238,2082,82515,4742,87049,4250,,,,,,,,,,,,,,,,,,,238,123,2007,2011,{DAC7203E-0D8F-434C-A2FA-C699EDD5B8CB}
-17450559.5702569,11501957.3747615,3518,Utqiagvik,P,26159,3799,89153,16871,100521,30100,,,,,,,,,,,,,,,,,,,75,46,2007,2011,{2697EF3A-7387-4208-B455-A046543D1AA7}
-16631388.3051022,8437358.45632469,3519,Bear Creek,P,22988,4166,78420,23242,79127,11806,,,,,,,,,,,,,,,,,,,13,21,2007,2011,{2B076D8C-6D9B-439C-90F1-92FEAE651E60}
-16408175.5504662,9976173.30142884,3520,Beaver,P,13849,4551,20938,11467,22500,39637,,,,,,,,,,,,,,,,,,,9,7,2007,2011,{FF43C1B1-9D83-4F8A-B3B2-E404ACC9D5B1}
-16814033.880103,8665458.63172155,3521,Beluga,P,,,66189,260,,,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{D72A5701-11AB-4596-AA0D-A2881CCB42B1}
-18008351.1575292,8578036.2426842,3522,Bethel,P,29261,2645,91302,12914,95033,15728,,,,,,,,,,,,,,,,,,,80,44,2007,2011,{7B1302D1-C2B4-402C-8C43-141B93681692}
-16865833.0263745,10133834.8462918,3523,Bettles,P,47560,7938,92188,78518,116250,72146,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{C4674250-987C-40CD-B550-D246607343D4}
-16234228.4764685,9387246.18503888,3524,Big Delta,P,21760,5961,49345,18181,32333,27318,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{3DD78FBE-F02D-4634-B206-835BAF4DDD8E}
-16677792.4607889,8753752.14376509,3525,Big Lake,P,28126,4217,56111,11241,65982,11724,,,,,,,,,,,,,,,,,,,61,44,2007,2011,{2AA584CB-3B03-4D75-8F91-A995C37D4C4D}
-16232379.5305256,9949191.5835814,3526,Birch Creek,P,11513,3047,23750,21045,,,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{6EA0B92C-E267-478F-99A6-DA6EAC948390}
-18533827.0925877,9697033.79061887,3527,Brevig Mission,P,8873,2091,30625,6365,28250,8022,,,,,,,,,,,,,,,,,,,33,14,2007,2011,{01088110-F1CF-4DF6-A7C8-446D20A2B257}
-17936800.4854698,9870732.665245,3528,Buckland,P,9344,1874,42188,10113,43393,5690,,,,,,,,,,,,,,,,,,,22,9,2007,2011,{2FD931D4-12DB-45C2-834A-4B4559E54BA5}
-16587840.1502488,8786318.64725492,3529,Buffalo Soapstone,P,33957,7337,69125,22367,88750,22383,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{2D6814D6-89F0-4625-BF64-3C6A59C5FA97}
-16590548.7890119,8751263.55536645,3530,Butte,P,32615,3007,75446,10109,85500,7658,,,,,,,,,,,,,,,,,,,30,18,2007,2011,{9A9D4747-657F-4044-BB90-7E45B94AB987}
-16574958.5798197,9197127.80929988,3531,Cantwell,P,24678,4669,53542,6874,53646,9867,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{E263C114-3707-494D-84BF-BCBDC754E133}
-16121504.109879,9760330.07088335,3532,Central,P,21110,6654,31750,27342,59464,22001,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{5729F5A2-2D55-4611-8C20-838834BEA9AA}
