X,Y,CommunityName,HFRetailGal,EntityName,ReportingPeriod,ReportingYear,AsOfDate,OBJECTID,ReportingSeason,ReportingDate
-480768.456775202,1486120.89410419,Kotlik,5.82,Kotlik Yupik Enterprises,Jan,2019,,49,Winter,2019/01/15 09:00:00+00
-377013.715648148,1906544.48611949,Kotzebue,6.24,Crowley Fuel,Jan,2019,,50,Winter,2019/01/15 09:00:00+00
-338182.669797935,1681583.81082618,Koyuk,4.743,Koyuk Native Corporation,Jan,2019,,51,Winter,2019/01/15 09:00:00+00
-509341.421585239,1133719.63178881,Kwigillingok,5.69,KWIK Marina Inc.,Jan,2019,,52,Winter,2019/01/15 09:00:00+00
1110.1843822052,837018.823366526,Larsen Bay,4.05,City of Larsen Bay,Jan,2019,,53,Winter,2019/01/15 09:00:00+00
-422939.120937902,1348502.57937497,Marshall,6.25,Maserculiq Inc.,Jan,2019,,54,Winter,2019/01/15 09:00:00+00
-80396.1108252345,1443158.11815246,McGrath,6.76,Northern Petroleum,Jan,2019,,55,Winter,2019/01/15 09:00:00+00
218083.07061332,1695656.59737064,Minto,3.25,North Fork Store,Jan,2019,,56,Winter,2019/01/15 09:00:00+00
-504640.533465355,1383006.48491385,Mountain Village,6,Azachorak Fuel,Jan,2019,,57,Winter,2019/01/15 09:00:00+00
-447900.339245922,689960.464606835,Nelson Lagoon,4.99,Nelson Lagoon Enterprises,Jan,2019,,58,Winter,2019/01/15 09:00:00+00
234989.287041507,1630972.24399515,Nenana,3.14,Nenana Heating,Jan,2019,,59,Winter,2019/01/15 09:00:00+00
-187051.232425995,1055625.0881875,New Stuyahok,6.76,New Stuyahok Village Corporation,Jan,2019,,60,Winter,2019/01/15 09:00:00+00
-47715.5850566393,1109006.41072581,Nondalton,5.5826,City of Nondalton,Jan,2019,,61,Winter,2019/01/15 09:00:00+00
-310203.95042872,1891560.16964191,Noorvik,5.6368,Morris Trading Post,Jan,2019,,62,Winter,2019/01/15 09:00:00+00
115434.355028723,2251263.44261842,Nuiqsut,2.3,Kuukpik Corporation,Jan,2019,,63,Winter,2019/01/15 09:00:00+00
-195453.203694237,1646254.07648895,Nulato,4.8,City of Nulato,Jan,2019,,64,Winter,2019/01/15 09:00:00+00
-456125.054896778,1241722.08129476,Nunapitchuk,5.35,Nunapitchuk Ltd.,Jan,2019,,65,Winter,2019/01/15 09:00:00+00
43179.509619964,801115.998141873,Old Harbor,4.65,City of Old Harbor,Jan,2019,,66,Winter,2019/01/15 09:00:00+00
88385.3853077032,881147.13012034,Ouzinkie,3.53,Ouzinkie Native Corporation,Jan,2019,,67,Winter,2019/01/15 09:00:00+00
1036362.75188977,1023817.93801456,Pelican,4.41,Pelican Fuel,Jan,2019,,68,Winter,2019/01/15 09:00:00+00
1261271.08419403,957469.206997323,Petersburg,3.54,Petro Marine,Jan,2019,,69,Winter,2019/01/15 09:00:00+00
-463440.278725839,1359992.70645285,Pilot Station,6.55,Pilot Station Native Corporation,Jan,2019,,70,Winter,2019/01/15 09:00:00+00
1238268.67859453,896185.506006416,Point Baker,5.35,Point Baker Trading Post,Jan,2019,,71,Winter,2019/01/15 09:00:00+00
-526202.60112902,2093518.87211088,Point Hope,1.74,Tigara Corporation,Jan,2019,,72,Winter,2019/01/15 09:00:00+00
66076.0433834472,874380.056336525,Port Lions,4.3,Kizhuyak Oil Sales,Jan,2019,,73,Winter,2019/01/15 09:00:00+00
-441451.852918794,1110782.82189395,Quinhagak,5,Qanirtuuq Corporation,Jan,2019,,74,Winter,2019/01/15 09:00:00+00
-70886.7990080763,1642768.92037799,Ruby,5.5,Dineega Fuel Company,Jan,2019,,75,Winter,2019/01/15 09:00:00+00
-384325.307776448,1333013.66724658,Russian Mission,4.8,Russian Mission Corporation,Jan,2019,,76,Winter,2019/01/15 09:00:00+00
-944349.868773236,843619.420781122,Saint George,7.14,Delta Fuel Company,Jan,2019,,77,Winter,2019/01/15 09:00:00+00
-398870.645006686,1525392.61226927,Saint Michael,4.63,Saint Michael Fuel Company,Jan,2019,,78,Winter,2019/01/15 09:00:00+00
-411466.861134354,612219.93928279,Sand Point,4.6904,TDX Svcs,Jan,2019,,79,Winter,2019/01/15 09:00:00+00
-805515.136213651,1625678.78277187,Savoonga,4.45,ANICA (Savoonga Native Store),Jan,2019,,80,Winter,2019/01/15 09:00:00+00
-604790.129936927,1371265.24459968,Scammon Bay,6.47,Askinuk Corporation,Jan,2019,,81,Winter,2019/01/15 09:00:00+00
128947.580591873,1051951.17416714,Seldovia,5.73,Seldovia Fuel and Lube,Jan,2019,,82,Winter,2019/01/15 09:00:00+00
-541048.640165177,1860130.42371255,Shishmaref,4.4187,Shishmaref Native Store,Jan,2019,,83,Winter,2019/01/15 09:00:00+00
-167084.821254186,1306713.95158893,Sleetmute,6.31,Henry Hill Store,Jan,2019,,84,Winter,2019/01/15 09:00:00+00
-410655.966695141,1531965.84908907,Stebbins,4.55,Tapraq Fuel Company,Jan,2019,,85,Winter,2019/01/15 09:00:00+00
90121.6496562936,1691441.77576932,Tanana,4.4268,Tanana Tribal Council,Jan,2019,,86,Winter,2019/01/15 09:00:00+00
-574543.17179758,1754008.50735403,Teller,5.31,Teller Native Fuel Business,Jan,2019,,87,Winter,2019/01/15 09:00:00+00
1326319.36788725,846815.094827237,Thorne Bay,3.54,Petro Marine,Jan,2019,,88,Winter,2019/01/15 09:00:00+00
-364120.520402744,1024741.77608156,Togiak,5.59,Togiak Natives Limited,Jan,2019,,89,Winter,2019/01/15 09:00:00+00
-604707.768126036,1222202.94569942,Toksook Bay,6,Nunakauiak Yupik Corporation,Jan,2019,,90,Winter,2019/01/15 09:00:00+00
-475945.642041781,1181762.44420864,Tuntutuliak,4.75,Qinarmiut Corporation,Jan,2019,,91,Winter,2019/01/15 09:00:00+00
