X,Y,OBJECTID,Place,Geo_Src,e_Pop_Total,m_Pop_Total,e_Pop_Male,m_Pop_Male,e_Pop_Female,m_Pop_Female,Start_Year,End_Year,PlaceID,IsMostRecent
-17572508.2979883,10180738.1984948,42,Ambler,P,260,89,132,47,128,50,2007,2011,{E98663F6-E635-4427-85F1-48E3042D196E},
-16891159.3456548,10489279.941021,43,Anaktuvuk Pass,P,407,101,206,64,201,51,2007,2011,{C8F22DE3-2D24-49CD-A867-3855226D712F},
-16902085.2269946,8350131.34239944,44,Anchor Point,P,2025,257,1086,153,939,135,2007,2011,{C20E1D6B-1DBC-4F69-B3F3-1AEC09EDDD83},
-16686218.0875525,8675653.72291914,45,Anchorage,P,287390,,145572,,141818,,2007,2011,{41989645-CCA3-466B-9817-909C7EBD3FF1},
-16607841.8425473,9437496.73630837,46,Anderson,P,403,151,267,127,136,58,2007,2011,{3999FA6E-F8E0-4528-9406-C991F8BB8C52},
-14981471.2754118,7862919.3185571,47,Angoon,P,399,86,210,60,189,47,2007,2011,{B81542E6-6232-4F35-AEC4-F6C46F2BBDE1},
-17758530.6291833,8759944.08337012,48,Aniak,P,564,102,278,56,286,59,2007,2011,{4D22DC8A-9F5A-4C83-B835-F1133D6A8060},
-17833307.7073289,9015553.00610678,49,Anvik,P,102,39,49,21,53,26,2007,2011,{AED9D55C-5519-4DA0-A4A7-28349D8498CD},
-16200942.2921759,10485277.8122488,50,Arctic Village,P,84,33,54,27,30,17,2007,2011,{3FD9E5F5-DE1E-47BC-A8FC-ECEFCA7C2EA8},
-19391877.4279502,6835970.93964706,51,Atka,P,60,33,44,23,16,13,2007,2011,{C80F8014-AF4E-4834-B4A8-DED62C0786C1},
-18064527.563622,8593130.12141586,52,Atmautluak,P,326,87,156,48,170,47,2007,2011,{887F3239-34EE-4A3A-9B7A-522E212DA730},
-17524309.1239729,11227484.1041681,53,Atqasuk,P,325,94,173,52,152,48,2007,2011,{A79A606F-AA69-4994-A5A0-5E8AFE9EBA9A},
19277285.2935183,6950872.61663701,54,Attu Station,P,18,35,18,35,0,78,2007,2011,{4B169010-F268-45A8-8444-F0B5873ABDEE},
-16409897.2332955,9557080.87200411,55,Badger,P,19266,1122,9861,721,9405,619,2007,2011,{DAC7203E-0D8F-434C-A2FA-C699EDD5B8CB},
-17450559.5702569,11501957.3747615,56,Utqiagvik,P,4153,43,2355,191,1798,187,2007,2011,{2697EF3A-7387-4208-B455-A046543D1AA7},
-16631388.3051022,8437358.45632469,57,Bear Creek,P,2318,544,1199,291,1119,320,2007,2011,{2B076D8C-6D9B-439C-90F1-92FEAE651E60},
-16408175.5504662,9976173.30142884,58,Beaver,P,77,44,32,17,45,34,2007,2011,{FF43C1B1-9D83-4F8A-B3B2-E404ACC9D5B1},
-16814033.880103,8665458.63172155,59,Beluga,P,43,57,0,78,43,57,2007,2011,{D72A5701-11AB-4596-AA0D-A2881CCB42B1},
-18008351.1575292,8578036.2426842,60,Bethel,P,6036,15,3079,142,2957,142,2007,2011,{7B1302D1-C2B4-402C-8C43-141B93681692},
-16865833.0263745,10133834.8462918,61,Bettles,P,25,23,17,17,8,8,2007,2011,{C4674250-987C-40CD-B550-D246607343D4},
-16234228.4764685,9387246.18503888,62,Big Delta,P,536,205,307,128,229,99,2007,2011,{3DD78FBE-F02D-4634-B206-835BAF4DDD8E},
-16677792.4607889,8753752.14376509,63,Big Lake,P,3479,416,1791,224,1688,238,2007,2011,{2AA584CB-3B03-4D75-8F91-A995C37D4C4D},
-16232379.5305256,9949191.5835814,64,Birch Creek,P,16,13,10,7,6,7,2007,2011,{6EA0B92C-E267-478F-99A6-DA6EAC948390},
-18533827.0925877,9697033.79061887,65,Brevig Mission,P,326,70,169,42,157,36,2007,2011,{01088110-F1CF-4DF6-A7C8-446D20A2B257},
