X,Y,OBJECTID,CommunityName,EntityName,FacilityName,WastewaterTreatmentSystemID,WastewaterTreatmentSystemClass,WastewaterTreatmentSystemSize,NumberOfServiceConnectionsToWWT,NumberofResidentsServedByWWT,WastewaterTreatmentSystemURL,DataYear,AsOfDate
1115221.9606187,940259.193142503,60,Sitka,City and Borough of Sitka,Sitka Wastewater Treatment System,14,2,"1,000,001 - 5,000,000",2900,8200,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Sitka,2018,2018/09/01 09:00:00+00
1042115.23964389,1199030.95656772,61,Skagway,Municipality of Skagway,Skagway Wastewater Treatment System,218,2,"500,001 - 1,000,000",375,850,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Skagway,2018,2018/09/01 09:00:00+00
160632.582202239,1170692.12281848,62,Soldotna,City of Soldotna,Soldotna Wastewater Treatment System,214,3,"1,000,001 - 5,000,000",1300,3800,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Soldotna,2018,2018/09/01 09:00:00+00
200806.56670358,1377989.09447198,63,Talkeetna,Matanuska-Susitna Borough,Talkeetna Wastewater Treatment System,207,Stabilization Pond,"10,000 - 50,000",215,450,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Talkeetna,2018,2018/09/01 09:00:00+00
1326319.36780349,846815.094681642,64,Thorne Bay,City of Thorne Bay,Thorne Bay Wastewater Treatment System,197,1,"100,001 - 500,000",203,348,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Thorne Bay,2018,2018/09/01 09:00:00+00
-364120.520142951,1024741.77639347,65,Togiak,City of Togiak,Togiak Wastewater Treatment System,192,Stabilization Pond,"50,001 - 100,000",130,800,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Togiak,2018,2018/09/01 09:00:00+00
-604707.768289762,1222202.94538677,66,Toksook Bay,City of Toksook Bay,Toksook Bay Wastewater Treatment System,28,Stabilization Pond,"10,000 - 50,000",113,500,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Toksook Bay,2018,2018/09/01 09:00:00+00
-766479.910139296,525927.743741745,67,Akutan,Trident Seafoods,Trident Seafoods Corp. Akutan Wastewater Treatment System,99,2,"50,001 - 100,000",1,500,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Akutan,2018,2018/09/01 09:00:00+00
-332652.664322719,1562728.30181316,68,Unalakleet,City of Unalakleet,Unalakleet Wastewater Treatment System,171,Stabilization Pond,"100,001 - 500,000",203,800,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Unalakleet,2018,2018/09/01 09:00:00+00
-821101.945535994,506511.381795409,69,Unalaska,City of Unalaska,Unalaska Wastewater Treatment System,175,2,"1,000,001 - 5,000,000",526,4300,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Unalaska,2018,2018/09/01 09:00:00+00
88868.2011327796,860470.588669438,70,Kodiak Station,United States Coast Guard,USCG Kodiak Wastewater Treatment System,164,2,"1,000,001 - 5,000,000",267,3150,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Kodiak,2018,2018/09/01 09:00:00+00
409518.872223388,1262298.70086066,71,Valdez,City of Valdez,Valdez Wastewater Treatment System,129,2,"1,000,001 - 5,000,000",1103,4300,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Valdez,2018,2018/09/01 09:00:00+00
-227607.668604852,2305095.97733778,72,Wainwright,North Slope Borough,Wainwright Wastewater Treatment System,126,2,"10,000 - 50,000",202,556,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Wainwright,2018,2018/09/01 09:00:00+00
240926.821790618,1297506.21701674,73,Wasilla,City of Wasilla,Wasilla Wastewater Treatment System,122,2,"100,001 - 500,000",895,2685,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Wasilla,2018,2018/09/01 09:00:00+00
1306628.34437958,932518.315842665,74,Wrangell,City and Borough of Wrangell,Wrangell Wastewater Treatment System,119,1,"1,000,001 - 5,000,000",1150,1900,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Wrangell,2018,2018/09/01 09:00:00+00
796588.039697423,1148740.78124436,75,Yakutat,City and Borough of Yakutat,Yakutat Wastewater Treatment System,115,1,"100,001 - 500,000",266,634,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Yakutat,2018,2018/09/01 09:00:00+00
-401780.778407573,1237051.63300341,76,Akiachak,Akiachak Native Community,Akiachak Wastewater Treatment System,485,Stabilization Pond,Lagoon,56,627,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Akiachak,2013,
-542392.682179724,1456437.7217301,77,Alakanuk,City of Alakanuk,Alakanuk Wastewater Treatment System,46,Stabilization Pond,"10,000 - 50,000",145,685,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Alakanuk,2013,
94894.1750052113,2021732.2117518,78,Anaktuvuk Pass,North Slope Borough,Anaktuvuk Pass Wastewater Treatment System,430,2,"10,000 - 50,000",105,329,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Anaktuvuk Pass,2013,
219654.776002566,1255116.0131335,79,Anchorage,Municipality of Anchorage,John M. Asplund Wastewater Treatment System,21,"3
","greater than 50,000,000",91610,238186,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Anchorage,2013,
-101340.085091652,2367854.78427591,80,Utqiagvik,North Slope Borough,Barrow Wastewater Treatment System,59,2,"500,001 - 1,000,000",1246,4065,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Barrow,2013,
-420708.278759602,1225426.14172369,81,Bethel,City of Bethel,Bethel Wastewater Treatment System,63,Stabilization Pond,"500,001 - 1,000,000",,5800,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Bethel,2013,
-611354.424196487,1336742.93853633,82,Chevak,City of Chevak,Chevak Wastewater Treatment System,263,Stabilization Pond,"10,000 - 50,000",190,950,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Chevak,2013,
449342.259723163,1201051.13488894,83,Cordova,City of Cordova,Cordova Wastewater Treatment System,68,3,"1,000,001 - 5,000,000",850,1699,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Cordova,2013,
1296030.657618,812250.477935671,84,Craig,City of Craig,Craig Wastewater Treatment System,72,2,"500,001 - 1,000,000",489,1200,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Craig,2013,
217277.130689913,2262085.46202091,85,Prudhoe Bay,British Petroleum Exploration Alaska,CSTF Wastewater Treatment System,438,3,"100,001 - 500,000",1,500,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Prudhoe Bay,2013,
-255124.356832352,1013454.33726759,86,Dillingham,City of Dillingham,Dillingham Wastewater Treatment System,77,1,"100,001 - 500,000",235,2250,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Dillingham,2013,
237525.488311705,1267348.44932404,87,Eagle River,Municipality of Anchorage,Eagle River Wastewater Treatment System,19,3,"5,000,001 - 10,000,000",6267,16294,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Eagle River,2013,
329641.524583777,1651455.25684685,88,Eielson AFB,United States Air Force,Eielson Wastewater Treatment System,143,2,"1,000,001 - 5,000,000",716,9100,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Eielson AFB,2013,
-533862.500692765,1465251.09820479,89,Emmonak,City of Emmonak,Emmonak Wastewater Treatment System,83,Stabilization Pond,"10,000 - 50,000",198,747,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Emmonak,2013,
403401.069508971,1583732.89992751,90,Fort Greely,Doyon Utilities,Fort Greely Wastewater Treatment System,35,1,"100,001 - 500,000",88,770,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Fort Greely,2013,
389073.564338591,1871099.73034416,91,Fort Yukon,City of Fort Yukon,Fort Yukon Wastewater Treatment System,88,Stabilization Pond,"50,001 - 100,000",190,600,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Fort Yukon,2013,
-136929.048064206,1645322.79561483,92,Galena,City of Galena,Galena Wastewater Treatment System,92,Stabilization Pond,"10,000 - 50,000",63,500,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Galena,2013,
-861997.814385761,1650244.02772454,93,Gambell,City of Gambell,Gambell Wastewater Treatment System,95,Stabilization Pond,"10,000 - 50,000",102,750,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Gambell,2013,
262653.505970678,1230166.70526492,94,Girdwood,Municipality of Anchorage,Girdwood Wastewater Treatment System,20,3,"1,000,001 - 5,000,000",1370,3055,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Girdwood,2013,
1050532.36170362,1080255.03181135,95,Gustavus,National Park Service,Bartlett Cove Wastewater Treatment Plant,482,2,"10,000 - 50,000",22,550,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Gustavus,2013,
297451.122435015,1667250.52583679,96,Fairbanks,Golden Heart Utilities,GHU Wastewater Treatment System,8,3,"5,000,001 - 10,000,000",8430,56000,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Fairbanks,2013,
240926.821790618,1297506.21701674,97,Wasilla,Goose Creek Correctional Center,Goose Creek Correctional Center Wastewater Treatment Facility,494,2,"100,001 - 500,000",,1836,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Wasilla,2013,
1041543.03861916,1173102.92792167,98,Haines,Haines Borough,Haines Wastewater Treatment System,102,2,"1,000,001 - 5,000,000",550,1800,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Haines,2013,
138629.431040531,1075412.72148041,99,Homer,City of Homer,Homer Wastewater Treatment System,110,2,"50,001 - 100,000",1500,5400,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Homer,2013,
1076331.88660443,1052302.38238846,100,Hoonah,City of Hoonah,Hoonah Wastewater Treatment System,278,1,"100,001 - 500,000",300,900,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Hoonah,2013,
1128714.87956297,1089944.9642957,101,Juneau,City and Borough of Juneau,Auke Bay Wastewater Treatment System,7,2,"100,001 - 500,000",169,,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Juneau,2013,
1128714.87956297,1089944.9642957,102,Juneau,City and Borough of Juneau,Mendenhall Wastewater Treatment System,1,3,"5,000,001 - 10,000,000",4598,,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Juneau,2013,
1128714.87956297,1089944.9642957,103,Juneau,City and Borough of Juneau,Juneau Douglas Wastewater Treatment System,2,2,"5,000,001 - 10,000,000",2038,,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Juneau,2013,
399600.549522878,2270028.55628686,104,Kaktovik,North Slope Borough,Kaktovik (Barter IS) Wastewater Treatment System,37,2,"10,000 - 50,000",111,286,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Kaktovik,2013,
-459491.849519205,1241856.61570698,105,Kasigluk,Kasigluk Traditional Elders Council,Kasigluk Wastewater Treatment System,74,Stabilization Pond,"less than 10,000",1,648,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Kasigluk,2013,
150304.996499052,1177925.7016563,106,Kenai,City of Kenai,Kenai Wastewater Treatment System,294,2,"1,000,001 - 5,000,000",1793,5380,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Kenai,2013,
1390950.75261407,828555.095764524,107,Ketchikan,City of Ketchikan,Charcoal Point Wastewater Treatment System,291,2,"5,000,001 - 10,000,000",3163,8500,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Ketchikan,2013,
1390950.75261407,828555.095764524,108,Ketchikan,Ketchikan Gateway Borough,Forest Park Wastewater Treatment System,10,1,"50,001 - 100,000",150,,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Ketchikan,2013,
1390950.75261407,828555.095764524,109,Ketchikan,Ketchikan Gateway Borough,Mountain Point Wastewater Treatment System,348,2,"10,000 - 50,000",257,,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Ketchikan,2013,
-154171.846612016,967957.789115918,110,King Salmon,Bristol Bay Borough,King Salmon Wastewater Treatment System,460,1,"50,001 - 100,000",125,465,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=King Salmon,2013,
1296632.86184224,821637.582091861,111,Klawock,City of Klawock,Klawock Wastewater Treatment System,313,1,"500,001 - 1,000,000",334,955,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Klawock,2013,
95027.5224946353,866747.936870668,112,Kodiak,City of Kodiak,Kodiak Wastewater Treatment System,317,3,"5,000,001 - 10,000,000",2570,9400,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Kodiak,2013,
-480768.456791228,1486120.89399359,113,Kotlik,City of Kotlik,Kotlik Wastewater Treatment System,489,Stabilization Pond,Lagoon,130,690,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Kotlik,2013,
-377013.715663124,1906544.48634538,114,Kotzebue,City of Kotzebue,Kotzebue Wastewater Treatment System,325,Stabilization Pond,"500,001 - 1,000,000",1037,3104,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Kotzebue,2013,
1403405.22415269,807389.176396484,115,Metlakatla,Metlakatla Indian Community,Metlakatla Wastewater Treatment System,341,1,"50,001 - 100,000",400,1300,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Metlakatla,2013,
-504640.533462796,1383006.48457438,116,Mountain Village,City of Mountain Village,Mountain Village Wastewater Treatment System,,Stabilization Pond,Lagoon,180,750,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Mountain Village,2013,
