X,Y,OBJECTID,CommunityName,EntityName,FacilityName,WastewaterTreatmentSystemID,WastewaterTreatmentSystemClass,WastewaterTreatmentSystemSize,NumberOfServiceConnectionsToWWT,NumberofResidentsServedByWWT,WastewaterTreatmentSystemURL,DataYear,AsOfDate
160632.582202239,1170692.12281848,141,Soldotna,City of Soldotna,Soldotna Wastewater Treatment System,214,3,"1,000,001 - 5,000,000",1300,3800,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Soldotna,2013,
200806.56670358,1377989.09447198,142,Talkeetna,Matanuska-Susitna Borough,Talkeetna Wastewater Treatment System,207,Stabilization Pond,"10,000 - 50,000",215,450,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Talkeetna,2013,
1326319.36780349,846815.094681642,143,Thorne Bay,City of Thorne Bay,Thorne Bay Wastewater Treatment System,197,1,"100,001 - 500,000",203,348,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Thorne Bay,2013,
-364120.520142951,1024741.77639347,144,Togiak,City of Togiak,Togiak Wastewater Treatment System,192,Stabilization Pond,"50,001 - 100,000",130,800,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Togiak,2013,
-604707.768289762,1222202.94538677,145,Toksook Bay,City of Toksook Bay,Toksook Bay Wastewater Treatment System,28,Stabilization Pond,"10,000 - 50,000",113,500,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Toksook Bay,2013,
-766479.910139296,525927.743741745,146,Akutan,Trident Seafoods,Trident Seafoods Corp. Akutan Wastewater Treatment System,99,2,"50,001 - 100,000",1,500,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Akutan,2013,
-332652.664322719,1562728.30181316,147,Unalakleet,City of Unalakleet,Unalakleet Wastewater Treatment System,171,Stabilization Pond,"100,001 - 500,000",203,800,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Unalakleet,2013,
-821101.945535994,506511.381795409,148,Unalaska,City of Unalaska,Unalaska Wastewater Treatment System,175,1,"1,000,001 - 5,000,000",526,4300,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Unalaska,2013,
88868.2011327796,860470.588669438,149,Kodiak Station,United States Coast Guard,USCG Kodiak Wastewater Treatment System,164,2,"1,000,001 - 5,000,000",267,3150,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Kodiak,2013,
409518.872223388,1262298.70086066,150,Valdez,City of Valdez,Valdez Wastewater Treatment System,129,2,"1,000,001 - 5,000,000",1103,4300,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Valdez,2013,
-227607.668604852,2305095.97733778,151,Wainwright,North Slope Borough,Wainwright Wastewater Treatment System,126,2,"10,000 - 50,000",202,556,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Wainwright,2013,
240926.821790618,1297506.21701674,152,Wasilla,City of Wasilla,Wasilla Wastewater Treatment System,122,2,"100,001 - 500,000",895,2685,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Wasilla,2013,
1306628.34437958,932518.315842665,153,Wrangell,City and Borough of Wrangell,Wrangell Wastewater Treatment System,119,1,"1,000,001 - 5,000,000",1150,1900,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Wrangell,2013,
796588.039697423,1148740.78124436,154,Yakutat,City and Borough of Yakutat,Yakutat Wastewater Treatment System,115,1,"100,001 - 500,000",266,634,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Yakutat,2013,
