X,Y,OBJECTID,Place,Geo_Src,e_Total_Units,m_Total_Units,e_Total_Occupied_Units,m_Total_Occupied_Units,e_Vacant_Units,m_Vacant_Units,e_Owner_Vacancy_Rate,m_Owner_Vacancy_Rate,e_Rental_Vacancy_Rate,m_Rental_Vacancy_Rate,Start_Year,End_Year,PlaceID
-14736875.9211032,7652635.44015356,798,Wrangell,C,1486,112,1149,89,337,74,2.7,2.3,6.1,4.8,2009,2013,{587C69F7-2A28-4CEE-BA2C-1A7F7DCCBED1}
-15556902.4498982,8302149.31659159,799,Yakutat,C,436,45,254,42,182,29,1.6,2.5,3.6,6,2009,2013,{BF799AFC-92DA-47A3-89EF-4BB1B31FDE2B}
-16812037.2290032,9668260.5175691,800,Yukon-Koyukuk Census Area,C,4020,49,2056,82,1964,65,1.3,0.5,8.3,2.6,2009,2013,{1F2FC561-C032-423A-85B7-32591979EA75}
-19663507.7911574,6776337.60629079,801,Adak,P,689,26,41,17,648,25,27.3,16.2,70.3,11,2009,2013,{C712D789-18CD-4C6C-A0FB-E5B7BB9B1B86}
-17162487.1875705,7749255.80747254,802,Akhiok,P,42,15,34,15,8,6,0,46.5,0,77.5,2009,2013,{68670103-A544-40F0-AD9E-7215DEC2434C}
-17972431.0159371,8606059.10759937,803,Akiachak,P,165,18,132,17,33,9,0,16.2,3.6,10.5,2009,2013,{D381614D-1B3D-4C01-A916-B139441D4A88}
-17948041.6926256,8604612.88598838,804,Akiak,P,99,18,94,18,5,5,0,23.6,0,46.5,2009,2013,{B9E3D976-5DA3-4850-884A-E7818D521898}
-18453825.976754,7195635.68739133,805,Akutan,P,33,16,24,14,9,7,0,62.2,0,73.6,2009,2013,{D57C95FC-45D5-44E0-B99B-5325C15EBE66}
-18330707.5476733,9023905.19268546,806,Alakanuk,P,168,20,152,22,16,7,0,16.2,4.9,7.1,2009,2013,{8142710A-7405-430F-9A0B-C44338B4B31A}
-16998632.6281501,10030290.617505,807,Alatna,P,11,4,1,2,10,4,0,100,100,100,2009,2013,{88A2EC6A-4FB2-4D64-9FA0-19C13D5A37FB}
-15697227.7428421,9008184.66778997,808,Alcan Border,P,22,13,13,18,9,10,,,18.2,35.5,2009,2013,{3A2BEA63-41B6-445E-BF20-B04461C94803}
-17657678.5273638,8240980.59809748,809,Aleknagik,P,129,14,57,16,72,12,0,37.2,25,21.3,2009,2013,{D9F6FF1F-CC12-41CB-B678-41BBCC900FF9}
-17018639.3674516,7968179.28755084,810,Aleneva,P,17,13,8,13,9,13,,,0,82.3,2009,2013,{29D4602C-A471-4961-BBEC-AB22938F5F26}
-16992862.437114,10031835.3089084,811,Allakaket,P,48,11,31,8,17,8,0,52,0,70.1,2009,2013,{D9E1C7EB-2990-486A-BEC6-DF457C95E944}
-17572508.2979883,10180738.1984948,812,Ambler,P,98,15,71,17,27,9,0,33.1,3.4,9.2,2009,2013,{E98663F6-E635-4427-85F1-48E3042D196E}
-16891159.3456548,10489279.941021,813,Anaktuvuk Pass,P,91,21,78,22,13,7,0,32.2,0,40.5,2009,2013,{C8F22DE3-2D24-49CD-A867-3855226D712F}
-16902085.2269946,8350131.34239944,814,Anchor Point,P,1399,73,1002,82,397,65,3.6,2,6.7,7.3,2009,2013,{C20E1D6B-1DBC-4F69-B3F3-1AEC09EDDD83}
-16686218.0875525,8675653.72291914,815,Anchorage,P,113278,255,105208,801,8070,737,1.2,0.4,4.2,0.9,2009,2013,{41989645-CCA3-466B-9817-909C7EBD3FF1}
-16607841.8425473,9437496.73630837,816,Anderson,P,163,29,81,28,82,19,5.7,9.3,21.1,26.1,2009,2013,{3999FA6E-F8E0-4528-9406-C991F8BB8C52}
-14981471.2754118,7862919.3185571,817,Angoon,P,242,41,158,39,84,18,2.1,4,4.3,3.6,2009,2013,{B81542E6-6232-4F35-AEC4-F6C46F2BBDE1}
-17758530.6291833,8759944.08337012,818,Aniak,P,224,30,171,32,53,11,1.8,2.7,16.9,12.1,2009,2013,{4D22DC8A-9F5A-4C83-B835-F1133D6A8060}
-17833307.7073289,9015553.00610678,819,Anvik,P,57,17,39,20,18,8,0,43.2,9.1,25,2009,2013,{AED9D55C-5519-4DA0-A4A7-28349D8498CD}
-16200942.2921759,10485277.8122488,820,Arctic Village,P,77,14,52,13,25,8,0,36.1,21.4,32.1,2009,2013,{3FD9E5F5-DE1E-47BC-A8FC-ECEFCA7C2EA8}
-19391877.4279502,6835970.93964706,821,Atka,P,42,9,20,7,22,7,0,64.5,30,42.7,2009,2013,{C80F8014-AF4E-4834-B4A8-DED62C0786C1}
-18064527.563622,8593130.12141586,822,Atmautluak,P,65,14,62,15,3,3,0,31.7,0,67.2,2009,2013,{887F3239-34EE-4A3A-9B7A-522E212DA730}
-17524309.1239729,11227484.1041681,823,Atqasuk,P,74,23,70,20,4,6,0,34.1,0,46.5,2009,2013,{A79A606F-AA69-4994-A5A0-5E8AFE9EBA9A}
19277285.2935183,6950872.61663701,824,Attu Station,P,0,9,0,9,0,9,,,,,2009,2013,{4B169010-F268-45A8-8444-F0B5873ABDEE}
-16409897.2332955,9557080.87200411,825,Badger,P,7808,259,7022,304,786,255,1.7,1.9,12.2,7.7,2009,2013,{DAC7203E-0D8F-434C-A2FA-C699EDD5B8CB}
-17450559.5702569,11501957.3747615,826,Utqiagvik,P,1599,88,1280,96,319,85,0,3.8,6.1,4.1,2009,2013,{2697EF3A-7387-4208-B455-A046543D1AA7}
-16631388.3051022,8437358.45632469,827,Bear Creek,P,774,155,629,167,145,91,0,4.1,0,12.4,2009,2013,{2B076D8C-6D9B-439C-90F1-92FEAE651E60}
-16408175.5504662,9976173.30142884,828,Beaver,P,54,9,38,12,16,7,0,43.2,0,77.5,2009,2013,{FF43C1B1-9D83-4F8A-B3B2-E404ACC9D5B1}
-16814033.880103,8665458.63172155,829,Beluga,P,44,27,7,5,37,28,0,100,0,100,2009,2013,{D72A5701-11AB-4596-AA0D-A2881CCB42B1}
-18008351.1575292,8578036.2426842,830,Bethel,P,2418,130,1842,128,576,117,0,2.2,8.5,4.8,2009,2013,{7B1302D1-C2B4-402C-8C43-141B93681692}
-16865833.0263745,10133834.8462918,831,Bettles,P,31,11,10,6,21,9,0,100,33.3,41.8,2009,2013,{C4674250-987C-40CD-B550-D246607343D4}
-16234228.4764685,9387246.18503888,832,Big Delta,P,309,38,194,44,115,35,0,12.2,0,36.1,2009,2013,{3DD78FBE-F02D-4634-B206-835BAF4DDD8E}
-16677792.4607889,8753752.14376509,833,Big Lake,P,2817,90,1376,129,1441,125,3.4,2.7,7.1,8.6,2009,2013,{2AA584CB-3B03-4D75-8F91-A995C37D4C4D}
-16232379.5305256,9949191.5835814,834,Birch Creek,P,23,8,9,8,14,6,0,95,0,100,2009,2013,{6EA0B92C-E267-478F-99A6-DA6EAC948390}
-18533827.0925877,9697033.79061887,835,Brevig Mission,P,98,31,95,30,3,3,0,43.2,0,25.7,2009,2013,{01088110-F1CF-4DF6-A7C8-446D20A2B257}
-17936800.4854698,9870732.665245,836,Buckland,P,116,18,115,17,1,3,0,26,0,31.7,2009,2013,{2FD931D4-12DB-45C2-834A-4B4559E54BA5}
-16587840.1502488,8786318.64725492,837,Buffalo Soapstone,P,383,51,295,46,88,30,0,7.1,8.3,13.1,2009,2013,{2D6814D6-89F0-4625-BF64-3C6A59C5FA97}
-16590548.7890119,8751263.55536645,838,Butte,P,1278,64,1169,70,109,56,1.7,1.2,1.9,2.8,2009,2013,{9A9D4747-657F-4044-BB90-7E45B94AB987}
-16574958.5798197,9197127.80929988,839,Cantwell,P,213,22,93,25,120,22,10.3,8.2,11.8,27.6,2009,2013,{E263C114-3707-494D-84BF-BCBDC754E133}
-16121504.109879,9760330.07088335,840,Central,P,163,20,57,22,106,22,11.3,9.8,0,64.5,2009,2013,{5729F5A2-2D55-4611-8C20-838834BEA9AA}
-15999716.2175498,10057166.2574094,841,Chalkyitsik,P,50,10,20,9,30,8,0,64.5,0,87.9,2009,2013,{98D5F010-433A-452A-8E40-1DC756B3B809}
-16703629.7221717,8966595.56435427,842,Chase,P,169,45,14,21,155,43,39.1,57.3,,,2009,2013,{427130A7-E294-4C77-9945-66799C9AE903}
-18287603.8577055,8435002.51586496,843,Chefornak,P,92,14,83,16,9,5,0,24.8,0,62.2,2009,2013,{A446B551-74BE-4F56-B131-523C342C41BA}
-16471851.3428201,9562652.6716704,844,Chena Ridge,P,2610,195,2226,202,384,218,0.6,1.2,0,3.1,2009,2013,{ED0D2D29-01A6-4CF8-83BC-B974F9DDF83B}
-16476658.3627789,8414356.69050082,845,Chenega,P,49,14,28,13,21,10,0,64.5,6.3,20.2,2009,2013,{05CB5D5F-15BA-4574-8F40-04CAFA9B5770}
-18433453.2225289,8748225.03058707,846,Chevak,P,245,21,203,22,42,12,0,13.5,0,26,2009,2013,{8ECE306F-1205-474A-AF5D-5A82326AFDD3}
-16528585.7995315,8810988.71208775,847,Chickaloon,P,215,31,106,29,109,23,0,19.2,0,64.5,2009,2013,{CF24E3C4-5B20-4D19-BAA0-498A17870CA8}
-15799981.5073964,9368230.73085785,848,Chicken,P,20,14,0,9,20,14,,,,,2009,2013,{0C46910A-CF22-422A-A69E-499EC6219D46}
-17648342.8318143,7620462.28603756,849,Chignik Lagoon,P,69,12,28,12,41,8,0,56.4,0,70.1,2009,2013,{5FBF89C8-6F1F-4610-B81F-18286B0993C8}
-17673425.6845703,7609093.07634509,850,Chignik Lake,P,52,15,21,12,31,10,0,60.1,0,95,2009,2013,{F821657B-F119-4950-BB18-F827B06C680C}
-17634583.1537608,7618623.8936503,851,Chignik,P,84,15,31,13,53,10,0,52,0,67.2,2009,2013,{99F023D0-9290-48CE-8E68-5683A57192DC}
-16945366.5635001,7887490.67201661,852,Chiniak,P,32,14,7,12,25,15,61.1,61.1,,,2009,2013,{9C0DF89A-A248-470E-82A5-F25ED75A098A}
-15811293.2362289,8873304.3872249,853,Chisana,P,0,9,0,9,0,9,,,,,2009,2013,{6DF664D4-9279-4A4A-9BF8-BCA1A2EF6222}
-16103943.6835133,8994702.92422141,854,Chistochina,P,91,35,46,27,45,21,0,39.9,14.3,27.3,2009,2013,{72692AC5-B991-4B3E-A2AD-8EA498D7AF48}
-16079111.6919015,8745393.57916078,855,Chitina,P,97,22,29,16,68,15,0,64.5,11.1,20.1,2009,2013,{5CD6634F-015C-4D3A-8F00-755FB6A3D186}
-17726740.7758825,8759043.86328533,856,Chuathbaluk,P,37,16,29,17,8,5,21.4,26.5,0,54.8,2009,2013,{493BC9A8-7869-476D-9319-B88C76EB388A}
-16037437.1538392,9829561.30812307,857,Circle,P,52,13,37,13,15,6,0,49.6,0,60.1,2009,2013,{98B27D83-9E27-4EE6-A6AB-CEED07523629}
-16854020.1963051,8450323.80317593,858,Clam Gulch,P,123,34,59,27,64,26,0,28.1,0,100,2009,2013,{EC16CE1C-0D9C-429D-A6DE-133FCC9D3FF9}
-17649480.0562589,8144709.0209932,859,Clark's Point,P,48,9,25,9,23,5,0,77.5,0,58.2,2009,2013,{16FFACBB-CCBD-4A00-829F-F89904105FD5}
-14786374.5823039,7561211.62728565,860,Coffman Cove,P,175,42,74,29,101,30,0,28.1,50,36,2009,2013,{1F684F46-814E-4675-B09B-A8449105B5E9}
-16844818.5447846,8482380.58204922,861,Cohoe,P,951,89,600,89,351,64,1.7,2,10.8,15.6,2009,2013,{9F0FE231-3223-4A37-89B8-9182CD7AB22F}
-18113349.5399095,7402060.39389685,862,Cold Bay,P,74,18,31,15,43,9,33.3,35.6,0,48.5,2009,2013,{E5A46A8B-30C9-4FDF-A19D-A6A96277A26C}
-16719029.6188946,10229447.6395967,863,Coldfoot,P,3,4,0,9,3,4,,,,,2009,2013,{1210EAEB-20DF-40DD-8BAB-A09C48AE9887}
-16453332.4338201,9570778.8919546,864,College,P,5468,275,4902,338,566,219,2.9,2.3,7.6,5.9,2009,2013,{BF7F929A-CAE2-486C-83EF-C7AF2FADFA2B}
-16676595.5791161,8510749.69663507,865,Cooper Landing,P,309,72,110,51,199,60,0,20.8,0,46.5,2009,2013,{CB929A5F-AF01-4DE3-8855-87193B97F75F}
-16175312.0055638,8848480.42628687,866,Copper Center,P,235,36,123,35,112,16,1.3,3.3,0,33.6,2009,2013,{609CFD2F-EC75-4F32-BDD7-C33D0C9FECE2}
-16225948.4460254,8521876.53212947,867,Cordova,P,1142,89,830,107,312,81,0.3,0.5,19.4,16,2009,2013,{3921BE55-50DD-4433-8958-D5D2F2D001AE}
-15138316.180303,8265975.50286927,868,Covenant Life,P,45,40,32,36,13,20,0,70.1,0,50.8,2009,2013,{E4085300-359F-4509-9843-50524D6A0692}
-14822310.7172787,7454810.18503479,869,Craig,P,577,47,504,49,73,22,3.7,3.5,3.4,2.8,2009,2013,{CAEF7CF3-5B35-45C3-9D11-A9E32B99E79B}
-17600258.9864611,8828483.63717886,870,Crooked Creek,P,38,12,28,12,10,6,0,50.8,0,87.9,2009,2013,{8B69F4F5-9833-40B1-B264-CBE2A5544BC8}
-16627741.9393352,8493690.12094984,871,Crown Point,P,41,34,35,33,6,11,0,39.3,,,2009,2013,{07E54FE2-DCBE-4AD4-8894-6E012A80DDB1}
-18114891.8501924,9897862.18415849,872,Deering,P,64,13,34,12,30,9,0,58.2,0,53.4,2009,2013,{A2CE0B1C-09FD-4927-A2E9-B20CC0109806}
-16223331.6925964,9361751.89718577,873,Delta Junction,P,528,57,347,54,181,31,2.1,2.3,22.9,11.6,2009,2013,{763EEB4F-118C-4AEA-A931-D707FE999A12}
-16160672.5513182,9321163.46278051,874,Deltana,P,938,76,636,88,302,67,0,4,5.7,8.3,2009,2013,{AB4874F1-29EA-49F7-9573-6DC9A2C45F81}
-16871303.7259016,8327977.94967564,875,Diamond Ridge,P,634,59,430,57,204,44,0,5.2,24.1,16.8,2009,2013,{C8495E9B-FA1E-4A9D-90EA-248D8DB63522}
-17640029.2383221,8188902.08219489,876,Dillingham,P,1021,43,743,56,278,44,1.6,2.2,10.6,5.7,2009,2013,{08E18522-8DAC-4DFC-975E-26751FE81958}
-18807627.4390229,9811020.63817553,877,Diomede,P,40,10,26,10,14,7,0,50.8,20,27.7,2009,2013,{9E47594D-5392-4A49-8FCD-026556C904AE}
-16036561.2555728,9263429.15495555,878,Dot Lake,P,15,16,0,9,15,16,,,,,2009,2013,{03A313E3-0987-4B72-8EC9-6C92E01A12A2}
-16035499.1835844,9262839.66483944,879,Dot Lake Village,P,34,11,16,9,18,9,0,82.3,0,82.3,2009,2013,{4B63BED6-48D5-4881-B4C0-D73B0D2651F2}
-16097000.0382138,9267756.62343433,880,Dry Creek,P,40,15,19,18,21,11,0,95,0,64.5,2009,2013,{64B2729B-A777-4917-9D20-77822FE68CFE}
-15701145.1188037,9541571.00919845,881,Eagle Village,P,32,11,22,11,10,7,0,62.2,0,82.3,2009,2013,{F6BC6030-25E0-4E0A-BA46-B294A0338BDA}
-15719157.8167796,9552995.61796396,882,Eagle,P,134,17,42,15,92,13,0,43.2,0,64.5,2009,2013,{99E4149C-E691-4714-88EC-9EDCEF72C195}
-14878758.0609857,7549487.03891262,883,Edna Bay,P,10,13,10,13,0,9,,,0,73.6,2009,2013,{85B7409D-F9A3-4D1C-8587-BA31448CD26E}
-18037041.1291412,8448636.97364217,884,Eek,P,105,12,79,14,26,9,0,26,17.6,20.4,2009,2013,{59543E82-DA08-4E48-BAA3-B0E7C0FF4767}
-17518988.4125428,8011365.49685887,885,Egegik,P,295,20,19,10,276,20,11.8,16.5,28.6,41.7,2009,2013,{F7D03E2F-5588-4343-BE94-44E824B7A836}
-16372988.328609,9522017.29511211,886,Eielson AFB,P,1060,106,654,124,406,119,0,70.1,21.7,12.3,2009,2013,{A74F371F-C334-4DC3-88A4-A4FCC1B1E8FD}
-17530376.0001536,8256476.2989067,887,Ekwok,P,61,15,46,15,15,7,0,42.5,0,58.2,2009,2013,{FAF5958B-8A56-4E28-B3B1-66B772A5A166}
-15177910.0843907,8008163.78366283,888,Elfin Cove,P,41,14,22,15,19,15,0,60.1,0,87.9,2009,2013,{4BAA8104-672E-401E-88E8-341E10A478B8}
-18063202.2799259,9508086.85094371,889,Elim,P,101,19,86,19,15,8,0,27.3,0,46.5,2009,2013,{962DB38D-BABD-43F0-AF8E-6B3C0964C131}
-18315378.7724165,9045765.64857705,890,Emmonak,P,232,30,206,28,26,11,0,12.4,1.7,5.2,2009,2013,{6E142FF4-3A51-4D60-9F7A-8B65E66A9133}
-16472701.2757039,9570394.18361401,891,Ester,P,1383,301,1257,332,126,112,0,3.1,0,3.2,2009,2013,{C975E5F6-90CB-420B-9766-C43941847789}
-16382673.0104282,8844601.11827285,892,Eureka Roadhouse,P,106,44,0,9,106,44,,,,,2009,2013,{463333A9-778A-4087-B2B6-C834DF7F1809}
-16865546.7834434,10134617.5060728,893,Evansville,P,20,13,11,11,9,6,0,87.9,0,100,2009,2013,{FF9ACB36-15C3-4C3B-831F-7686F69D80ED}
-15077462.2436435,8055392.88265615,894,Excursion Inlet,P,11,17,0,9,11,17,,,,,2009,2013,{E209147C-83F5-4D19-AD3F-CB78B1F679F5}
-16444254.1310858,9566271.87088456,895,Fairbanks,P,13254,517,11553,489,1701,266,1.6,1.3,7.6,2.1,2009,2013,{7102AFBB-6F0A-4C7A-92FF-6F5A6D66AB18}
-18191245.5091054,7333781.24025852,896,False Pass,P,46,9,11,8,35,8,72.2,27.5,0,95,2009,2013,{223C147A-542C-4057-8AE2-C5C99FC10AB1}
-16602782.7855767,8774282.41258619,897,Farm Loop,P,396,57,355,58,41,26,0,7,0,21.9,2009,2013,{803C9DC0-CB68-4FB4-8746-A65C69A5905F}
-16448634.4496328,9579406.8471837,898,Farmers Loop,P,1534,211,1281,185,253,135,0,2,23.7,22.9,2009,2013,{69F4E278-CF90-4297-B76E-3E6C8AF33FFF}
-16599487.2199191,9354104.28255344,899,Ferry,P,40,17,7,11,33,16,0,87.9,,,2009,2013,{6271DC39-C422-443B-AB71-71A2246047FD}
-16614286.7218702,8786763.92855068,900,Fishhook,P,1730,108,1517,115,213,87,0.5,0.8,1.4,3.3,2009,2013,{90DA2B6B-1B09-4D7A-A466-E6B55B21AEE8}
-17589314.4415182,8967508.78411107,901,Flat,P,3,4,0,9,3,4,,,,,2009,2013,{3C695476-5C5E-4120-9E30-BF42C37A0EAF}
-16221914.8450569,9347686.74831746,902,Fort Greely,P,400,64,239,63,161,42,0,100,21.6,9.6,2009,2013,{025A0F26-3C9F-4F08-ADB2-F18FEC8DF739}
-16168185.7498793,10033547.7525708,903,Fort Yukon,P,325,27,241,29,84,17,2.9,3.9,9.2,7.3,2009,2013,{641D75DC-10FB-4C68-9F27-A8720C97B6C0}
-16599728.6961623,9503867.71164907,904,Four Mile Road,P,17,11,12,10,5,7,0,67.2,,,2009,2013,{1A2DC081-51F5-4F8F-AE9B-516B4A83C31C}
-16432793.9877687,9597343.51160326,905,Fox,P,369,153,281,120,88,116,0,11.1,0,16.4,2009,2013,{DF0AA24E-FAFB-4033-9E30-014BC53D341A}
-16799889.6251575,8367196.72013879,906,Fox River,P,299,37,149,35,150,22,0,15.2,9.7,15.6,2009,2013,{B93DB68F-0ECD-4E8C-8511-88FA35BB40CF}
-16842489.7784406,8338861.63035312,907,Fritz Creek,P,1124,80,786,89,338,52,3.8,2.9,1.3,1.8,2009,2013,{4B339CC2-7B7F-4B2F-8003-C1DE90E459CD}
-16782773.8061664,8512348.26522147,908,Funny River,P,993,147,357,111,636,129,0,6.3,0,24.2,2009,2013,{CF70B6E1-31BB-4019-97D8-DD470A6AD914}
-16174930.5308121,8931084.928701,909,Gakona,P,169,31,79,32,90,14,1.6,4.8,30.4,29.6,2009,2013,{ED284F88-6827-4DC4-B028-5F0BFA6CF129}
-17463481.4673962,9540909.30970136,910,Galena,P,291,27,190,27,101,14,0.6,1.7,12.3,10.6,2009,2013,{9CB98028-F75A-4D46-A951-AB787D2CF82E}
-19115652.3162477,9293331.31835673,911,Gambell,P,211,21,164,20,47,10,0.8,2,10.4,10.1,2009,2013,{961462BD-8155-4FFF-863B-A652CC389066}
-15084889.2779131,7979062.95814535,912,Game Creek,P,5,7,5,7,0,9,,,0,100,2009,2013,{6506427D-91A9-4004-B55F-B5D8AC6ECBEC}
-16613317.4039532,8758849.9036378,913,Gateway,P,1844,102,1744,95,100,40,1.3,1.2,4.7,4.9,2009,2013,{A1A00D41-E402-42E4-B4DE-FF2EE4036F66}
-16444783.7969041,8810336.16300173,914,Glacier View,P,262,54,99,35,163,53,0,21,0,60.1,2009,2013,{723F2211-DF24-4A26-B478-AC2F7B43D3AF}
-16200078.5853976,8885907.89955149,915,Glennallen,P,345,60,152,61,193,48,15.5,15.9,14.9,20.6,2009,2013,{0F6D14AC-19B0-4FFB-87AF-FBC82152C2A8}
-16461866.9911581,9589250.74599279,916,Goldstream,P,1802,240,1517,222,285,188,0,1.5,22.4,24.5,2009,2013,{C63A334D-9CE5-410F-9042-CB548BBECC87}
-18149163.7092426,9488854.6563609,917,Golovin,P,59,11,44,11,15,8,3.2,8.8,0,62.2,2009,2013,{D18E8CFB-89C1-437A-ADAA-399023E0587C}
-17987254.5448644,8205983.87575918,918,Goodnews Bay,P,85,15,78,16,7,6,0,26.7,0,60.1,2009,2013,{86CBBCFB-1DC1-4C75-A1A2-84F6C19F0635}
-17818435.347773,9077346.19079628,919,Grayling,P,67,16,47,17,20,8,0,46.5,0,49.6,2009,2013,{DD04D244-B150-4D0C-83D9-26AAE567CC97}
-16182723.4384067,8923110.2138984,920,Gulkana,P,61,20,43,19,18,6,0,41.1,15.4,21,2009,2013,{5A851423-1D34-45BF-9EE7-8765E762667F}
-15110403.2200725,8054653.85527571,921,Gustavus,P,493,61,275,50,218,31,9.4,5.9,4.2,6.4,2009,2013,{3D5231FD-4F19-414E-A871-FAFF3941FF8F}
-15077988.5827901,8231204.39941615,922,Haines,P,1106,122,966,108,140,57,0,3.3,0.8,1.8,2009,2013,{0E1213D7-970C-4532-B874-5742D6D4989B}
-16834155.0181038,8310709.31435036,923,Halibut Cove,P,111,37,9,9,102,37,0,77.5,,,2009,2013,{74696C73-F1AA-4DBA-8D8F-2D4FFAEFCC7E}
-16891397.2203785,8385282.91736017,924,Happy Valley,P,558,51,239,44,319,48,3.9,4.1,0,49.6,2009,2013,{452DEEAD-0063-4786-BCAF-5835043C441F}
-16319358.7215527,9444737.68062037,925,Harding-Birch Lakes,P,653,100,106,62,547,99,19.1,16.1,0,64.5,2009,2013,{55DEA83C-221E-4084-B00F-536B59BE5069}
-16587254.777931,9316925.80601147,926,Healy,P,776,64,419,74,357,70,3.2,3.7,4.8,6.9,2009,2013,{8905A89B-A676-4C0A-BEB5-C17AD570F833}
-16111658.2040413,9349746.071627,927,Healy Lake,P,16,8,0,9,16,8,,,,,2009,2013,{093A0B52-9C15-4F33-8872-681E456A939D}
-14844209.8903727,7855606.08949882,928,Hobart Bay,P,4,7,0,9,4,7,,,,,2009,2013,{6882E91E-F23E-4649-BC1E-168B1173F2E7}
-14766533.0256532,7456025.7270008,929,Hollis,P,77,31,40,30,37,20,0,47.5,0,58.2,2009,2013,{6B0D4814-B112-41E9-8F10-11A29507E7CA}
-17785718.6399316,8906350.75108969,930,Holy Cross,P,85,15,64,16,21,8,0,33.1,0,56.4,2009,2013,{6F84CE74-EDA0-4424-A080-4A7C0F08E5DF}
-16868465.81571,8321603.53233034,931,Homer,P,2747,136,2207,115,540,73,1.5,0.9,10.9,3.1,2009,2013,{74B62695-129C-4E06-A228-C50EFCC9A872}
-15077747.2756412,7990363.35004359,932,Hoonah,P,379,50,312,48,67,14,0.5,1.5,4.4,4,2009,2013,{67C77481-D454-4AD4-8099-C6A3005285DE}
-18489770.3696312,8748753.13931634,933,Hooper Bay,P,261,27,253,28,8,6,0,10.2,0,25.4,2009,2013,{8D01840C-135C-49A1-A1FE-5C63881EEF8A}
-16655870.3446364,8607003.67067398,934,Hope,P,162,53,38,40,124,41,0,95,0,41.1,2009,2013,{B94A5304-F56C-49FE-A615-8E72E73F6255}
-16675818.5394593,8772227.92788698,935,Houston,P,991,36,716,50,275,51,5.7,2.9,9.9,6.9,2009,2013,{15846556-C6AB-448D-B51D-2DE0E8727969}
-17171946.3984402,9889412.09162593,936,Hughes,P,35,8,19,7,16,7,0,73.6,0,67.2,2009,2013,{9D089209-6790-456D-85A0-4D3282C8B989}
-17409778.5580137,9795714.29290359,937,Huslia,P,119,16,95,16,24,7,0,27.3,0,39.3,2009,2013,{049CEFC6-7BD3-4DA4-98C6-3D0DBE9942E3}
-14785845.8993254,7401935.14035916,938,Hydaburg,P,174,27,139,25,35,12,0,17.9,19.2,14,2009,2013,{BDF65BBA-7D3D-4EFD-8DC7-59E48EA68082}
-14474374.0343285,7541662.57032641,939,Hyder,P,100,34,48,27,52,24,0,56.4,0,41.8,2009,2013,{BC2CDE0E-83BC-4AC5-8095-1EB202D71049}
-17355102.7045931,8251041.6914682,940,Igiugig,P,19,8,12,7,7,6,0,95,0,64.5,2009,2013,{729C1584-C0E2-49D1-B9B4-275E3D55B9D1}
-17244068.1727719,8345325.87716697,941,Iliamna,P,58,12,38,12,20,7,0,47.5,0,58.2,2009,2013,{5ADEA6FC-9615-4F6E-9B68-F73ADD743B06}
-17753695.8436945,7539216.10761165,942,Ivanof Bay,P,13,6,0,9,13,6,,,,,2009,2013,{1D96F2EA-F1A3-4CC9-868D-090FD22E1CD6}
-14962078.6937559,8030570.02206249,943,Juneau,P,13044,99,12099,215,945,193,0.6,0.6,4.7,2.6,2009,2013,{E5B6208B-DD7F-4DBA-951C-0C5D616E79BF}
-16859641.2601891,8325962.6009038,944,Kachemak,P,382,46,315,48,67,20,0,7.6,11.6,10.1,2009,2013,{3D257994-65F8-4489-A35E-C42F284CB327}
-14910666.7973801,7754898.24217148,945,Kake,P,279,48,210,47,69,17,0,16.2,1,2.9,2009,2013,{2F5F6904-B47C-439D-9AC1-64135C4403A6}
-15986909.7903373,11110050.6733152,946,Kaktovik,P,85,13,61,14,24,7,0,31.7,21.4,24.4,2009,2013,{9B8441F9-AEFE-4E1D-BD2C-725FCCBB0299}
-16825114.5363892,8508889.41408404,947,Kalifornsky,P,3565,163,2991,193,574,155,1,1.3,12.8,8.1,2009,2013,{644B47A1-3B29-48C4-8EF0-4585B2204F2E}
-17669178.6093313,9433180.26880334,948,Kaltag,P,81,12,58,14,23,8,0,31.3,12.5,31,2009,2013,{5790AC9E-408E-42C0-BDC7-490DB0451EAD}
-17191812.8544779,7875966.31581525,949,Karluk,P,23,14,10,12,13,8,0,70.1,,,2009,2013,{BF30433A-BCB7-443D-A9C4-767CA6C76820}
-14739137.9815801,7467308.14069165,950,Kasaan,P,39,13,20,9,19,9,0,60.1,28.6,45.4,2009,2013,{559A9BCF-E97B-4506-925E-E21FB8E9FED9}
-18091584.5955234,8601655.73883504,951,Kasigluk,P,110,17,102,17,8,5,0,25.7,2.7,9.1,2009,2013,{3816D857-92C5-45BF-B884-7D2529E878D4}
-16837835.1503007,8472439.76775224,952,Kasilof,P,238,76,151,69,87,50,0,14.1,0,34.1,2009,2013,{CB8D5160-2521-4803-9207-2BBA48832C17}
-16836940.0550994,8525261.80014671,953,Kenai,P,3108,208,2820,185,288,98,2.5,2.5,3.9,3.1,2009,2013,{C4939227-7B0D-42C1-9C0D-69118EE45B96}
-16135471.4316221,8797146.85900219,954,Kenny Lake,P,218,37,68,43,150,33,21.1,18.4,,,2009,2013,{FF44E793-74FE-4F17-9EB7-78D774DF5F63}
-14654990.9162499,7428611.09414802,955,Ketchikan,P,3763,150,3322,173,441,120,1.6,1.4,10.1,4.9,2009,2013,{081D88E7-5D78-4E36-AC3C-F753262F026C}
