X,Y,OBJECTID,Place,Geo_Src,e_Households_Total,m_Households_Total,e_Household_Inc_under_10000,m_Household_Inc_under_10000,e_Household_Inc_10000_14999,m_Household_Inc_10000_14999,e_Household_Inc_25000_34999,m_Household_Inc_25000_34999,e_Household_Inc_35000_49999,m_Household_Inc_35000_49999,e_Household_Inc_50000_74999,m_Household_Inc_50000_74999,e_Household_Inc_75000_99999,m_Household_Inc_75000_99999,e_Household_Inc_100000_149999,m_Household_Inc_100000_149999,e_Household_Inc_15000_24999,m_Household_Inc_15000_24999,e_Household_Inc_150000_199999,m_Household_Inc_150000_199999,e_Household_Inc_200000_Plus,m_Household_Inc_200000_Plus,e_Household_Median_Income,m_Household_Median_Income,e_Household_Mean_Income,m_Household_Mean_Income,e_Household_With_Earnings,m_Household_With_Earnings,e_Household_Mean_Earnings,m_Household_Mean_Earnings,e_Household_With_SS,m_Household_With_SS,e_Household_Mean_SS_Income,m_Household_Mean_SS_Income,e_Household_Mean_Retire_Inc,m_Household_Mean_Retire_Inc,e_Household_Mean_Sup_SS_Inc,m_Household_Mean_Sup_SS_Inc,e_Household_Mean_Assist_Inc,m_Household_Mean_Assist_Inc,Start_Year,End_Year,IsMostRecent,PlaceID
-17461200.9527081,7980415.41283284,16,Lake and Peninsula Borough,C,562,65,57,25,31,15,59,22,69,26,57,22,98,26,90,33,79,27,13,10,9,8,51429,6658,59655,6983,525,63,54917,6970,71,22,12362,2490,12020,5934,6620,1888,4157,2083,2007,2011,,{08965FEC-CECD-4B69-9010-FEC9535D56A9}
-16598667.700856,8764845.10272645,17,Matanuska-Susitna Borough,C,30609,429,1313,247,1108,147,2236,286,2309,270,3297,275,6119,422,5185,382,5865,399,1929,239,1248,202,70343,1779,81319,1784,26102,513,77891,1938,6248,275,14454,607,28797,1514,8088,979,3724,334,2007,2011,,{851E4746-8FE8-4393-9369-E3F9F1633855}
-18284961.2940734,9564519.04249024,18,Nome Census Area,C,2756,136,151,41,150,44,369,78,283,70,313,65,601,121,299,94,305,87,211,77,74,50,52435,4834,67008,4190,2533,142,60497,4287,496,78,12778,979,17132,4603,5830,1036,4894,759,2007,2011,,{6825185D-29C7-42DB-A603-4F37EDDF219C}
-17452941.2456418,11502979.9634856,19,North Slope Borough,C,1966,160,110,67,33,17,133,51,110,36,227,85,360,85,239,52,493,99,182,74,79,45,76667,8480,85856,6097,1775,161,74003,6123,338,47,14296,1453,18238,4350,7855,2780,3911,1090,2007,2011,,{2DA35656-FC1D-4370-A191-64BB54EB5787}
-18100557.8568522,10126255.5868285,20,Northwest Arctic Borough,C,1797,94,115,39,60,22,144,32,171,40,290,49,363,55,222,42,282,50,132,41,18,15,59893,4471,69215,4055,1645,105,57879,4074,424,39,12198,1265,14516,3171,8490,2245,4105,555,2007,2011,,{351F5989-A7A7-4518-A5E4-E67316B8C2DD}
-14791655.2627998,7442966.61866863,22,Prince of Wales-Hyder Census Area,C,2351,92,86,32,163,55,355,79,268,55,438,69,351,71,239,59,330,56,74,30,47,18,45513,3083,60413,3106,1929,95,57053,3572,659,63,13945,964,19381,3515,7265,1321,3815,900,2007,2011,,{7ED5387A-A8FC-42E5-B364-246EE5926A4D}
-15065826.601253,7770144.80039453,23,Sitka,C,3632,163,80,47,148,82,302,129,318,157,461,129,690,160,537,180,769,167,185,84,142,63,69798,7590,79736,5294,3207,160,74211,5474,724,128,13319,1845,29459,5265,5973,1454,2420,734,2007,2011,,{99E9981F-255D-4678-9D2E-704DC07798D6}
-15062828.5556362,8279546.78541121,24,Skagway,C,430,90,7,8,5,6,28,30,20,16,51,32,116,45,84,44,57,26,18,15,44,30,73000,6545,88057,13062,397,90,78058,12859,86,29,16966,4955,15418,7592,,,,,2007,2011,,{F040B0E7-B5F6-47BE-82E0-63A3AC90CEC9}
-15943021.6241255,9315564.93027635,25,Southeast Fairbanks Census Area,C,2523,220,45,18,121,51,224,73,267,78,391,74,517,136,413,94,359,104,147,54,39,30,59917,6243,70878,4221,2158,241,66638,4078,500,49,15911,1501,22131,3082,9227,2613,4014,1247,2007,2011,,{9E47F9E2-5A8D-4DD2-96DE-4A9F52F35A57}
-18166327.890096,8926584.6256831,27,Kusilvak Census Area,C,1714,66,131,34,102,28,279,40,236,33,298,48,366,50,161,29,84,23,49,19,8,7,39583,2301,48736,2209,1546,72,40127,2313,400,36,10675,862,10171,1463,5760,783,5134,486,2007,2011,,{EF9C5E4E-265E-4453-B87F-401952925FE6}
