OBJECTID,EntityName,Graduates,In_Cohort,Rate,Year,shape
119,Lake and Peninsula Borough School District,26,29,0.8966,2016,
120,Lake and Peninsula Borough School District,25,28,0.8929,2015,
121,Lower Kuskokwim School District,178,291,0.6117,2018,
122,Lower Kuskokwim School District,142,274,0.5182,2017,
123,Lower Kuskokwim School District,145,278,0.5216,2016,
124,Lower Kuskokwim School District,128,240,0.5333,2015,
125,Lower Yukon School District,85,138,0.6159,2018,
126,Lower Yukon School District,88,133,0.6617,2017,
127,Lower Yukon School District,80,138,0.5797,2016,
128,Lower Yukon School District,80,134,0.597,2015,
129,Matanuska-Susitna Borough School District,1176,1413,0.8323,2018,
130,Matanuska-Susitna Borough School District,1084,1338,0.8102,2017,
131,Matanuska-Susitna Borough School District,1042,1327,0.7852,2016,
132,Matanuska-Susitna Borough School District,1055,1360,0.7757,2015,
133,Mt. Edgecumbe High School,100,101,0.9901,2018,
134,Mt. Edgecumbe High School,100,103,0.9709,2017,
135,Mt. Edgecumbe High School,84,85,0.9882,2016,
136,Mt. Edgecumbe High School,90,92,0.9783,2015,
137,Nenana City School District,67,174,0.3851,2018,
138,Nenana City School District,48,171,0.2807,2017,
139,Nenana City School District,52,169,0.3077,2016,
140,Nenana City School District,65,219,0.2968,2015,
141,Nome Public Schools,33,43,0.7674,2018,
142,Nome Public Schools,28,45,0.6222,2017,
143,Nome Public Schools,35,48,0.7292,2016,
144,Nome Public Schools,37,48,0.7708,2015,
145,North Slope Borough School District,92,135,0.6815,2018,
146,North Slope Borough School District,87,111,0.7838,2017,
147,North Slope Borough School District,66,113,0.5841,2016,
148,North Slope Borough School District,65,93,0.6989,2015,
149,Northwest Arctic Borough School District,94,124,0.7581,2018,
150,Northwest Arctic Borough School District,118,146,0.8082,2017,
151,Northwest Arctic Borough School District,99,133,0.7444,2016,
152,Northwest Arctic Borough School District,83,111,0.748,2015,
153,Pelican City School District,0,0,,2018,
154,Pelican City School District,0,1,0,2017,
155,Pelican City School District,2,2,1,2016,
156,Pelican City School District,1,1,1,2015,
157,Petersburg Borough School District,43,48,0.8958,2018,
158,Petersburg Borough School District,29,32,0.9063,2017,
159,Petersburg Borough School District,30,31,0.9677,2016,
160,Petersburg Borough School District,30,33,0.9091,2015,
161,Pribilof School District,0,0,,2018,
162,Pribilof School District,3,4,0.75,2017,
163,Pribilof School District,3,3,1,2016,
164,Pribilof School District,6,7,0.8571,2015,
165,Saint Mary's School District,8,12,0.6667,2018,
166,Saint Mary's School District,8,11,0.7273,2017,
167,Saint Mary's School District,9,13,0.6923,2016,
168,Saint Mary's School District,11,16,0.6875,2015,
169,Sitka School District,88,115,0.7652,2018,
170,Sitka School District,82,105,0.781,2017,
171,Sitka School District,73,101,0.7228,2016,
172,Sitka School District,65,97,0.6701,2015,
173,Skagway School District,7,8,0.875,2018,
174,Skagway School District,10,11,0.9091,2017,
175,Skagway School District,2,3,0.6667,2016,
176,Skagway School District,3,3,1,2015,
177,Southeast Island School District,12,14,0.8571,2018,
178,Southeast Island School District,8,11,0.7273,2017,
179,Southeast Island School District,17,19,0.8947,2016,
180,Southeast Island School District,15,17,0.8824,2015,
181,Southwest Region School District,28,41,0.6829,2018,
182,Southwest Region School District,20,30,0.6667,2017,
183,Southwest Region School District,18,37,0.4865,2016,
184,Southwest Region School District,30,52,0.5769,2015,
185,Tanana City School District,4,5,0.8,2018,
186,Tanana City School District,3,3,1,2017,
187,Tanana City School District,1,2,0.5,2016,
188,Tanana City School District,2,4,0.5,2015,
189,Unalaska City School District,29,32,0.9063,2018,
190,Unalaska City School District,31,31,1,2017,
191,Unalaska City School District,28,29,0.9655,2016,
192,Unalaska City School District,36,38,0.9474,2015,
193,Valdez City School District,33,45,0.7333,2018,
194,Valdez City School District,45,55,0.8182,2017,
195,Valdez City School District,38,46,0.8261,2016,
196,Valdez City School District,42,61,0.6885,2015,
197,Wrangell Public School District,18,20,0.9,2018,
